> HerLC-Azenta
 %Min windows = 0% of gene
 Largest magnitude %Min = 53 at codon 173 
[codon window], [value], [random reverse translation average]
1, 94.09, 29.70985
2, 94.1, 29.2196
3, 94.23, 28.74595
4, 94.59, 28.767
5, 94.59, 28.7422
6, 94.5, 28.7439
7, 94.58, 29.50705
8, 94.74, 29.22825
9, 94.74, 29.37285
10, 94.56, 29.32495
11, 94.2, 28.88765
12, 100, 28.29935
13, 98.91, 27.7898
14, 98.89, 28.357
15, 98.91, 29.6796
16, 98.91, 28.02035
17, 98.96, 29.51375
18, 98.87, 28.5566
19, 97.17, 28.5763
20, 97.09, 28.73965
21, 96.95, 28.2815
22, 93.45, 27.6589
23, 91.17, 28.2851
24, 91.01, 28.97485
25, 86.56, 27.76885
26, 86.84, 29.47815
27, 87.19, 31.0313
28, 83.37, 31.4589
29, 84.02, 31.6539
30, 87.04, 30.5785
31, 87.27, 30.6253
32, 84.28, 29.3782
33, 84.22, 29.7314
34, 84.22, 29.7103
35, 85.48, 29.5799
36, 87.17, 29.49465
37, 88.14, 29.11665
38, 86.32, 29.2527
39, 89.73, 28.93315
40, 92.05, 29.1719
41, 92.05, 27.68175
42, 94.81, 28.7437
43, 94.73, 28.11175
44, 94.91, 27.74475
45, 97.33, 28.0096
46, 97.25, 28.09695
47, 97.16, 30.0947
48, 97.16, 29.7276
49, 98.68, 30.5965
50, 98.68, 30.8945
51, 98.67, 31.1564
52, 98.65, 31.55585
53, 98.67, 31.2664
54, 98.55, 31.68925
55, 100, 31.4475
56, 100, 30.86995
57, 100, 30.1339
58, 100, 30.3955
59, 100, 28.8895
60, 100, 27.84825
61, 100, 27.2555
62, 100, 27.2513
63, 98.03, 28.35835
64, 97.95, 26.6256
65, 97.87, 26.269
66, 97.7, 24.78435
67, 97.74, 25.71445
68, 97.69, 24.61075
69, 95.94, 23.901
70, 94.14, 24.166
71, 94.13, 24.5026
72, 93.96, 24.62505
73, 93.37, 25.4504
74, 92.94, 25.13225
75, 90.02, 24.5071
76, 89.79, 26.2664
77, 89.54, 27.35335
78, 88.55, 29.3754
79, 88.95, 30.885
80, 92.67, 30.0498
81, 92.46, 30.16765
82, 92.96, 32.67455
83, 93.17, 32.6695
84, 93.03, 33.0617
85, 93.03, 31.9813
86, 91.21, 31.74165
87, 94.13, 30.61655
88, 94.28, 30.10345
89, 94.58, 30.56685
90, 90.87, 30.57725
91, 91.77, 31.6444
92, 93.9, 31.6786
93, 94.03, 31.2026
94, 94.23, 32.83445
95, 94.45, 31.85115
96, 94.45, 32.3572
97, 94.53, 31.18655
98, 94.86, 31.1951
99, 94.53, 29.9455
100, 94.75, 30.0489
101, 94.41, 28.91335
102, 94.38, 30.33015
103, 97.3, 31.47125
104, 97.29, 31.34705
105, 97.3, 31.32365
106, 97.18, 30.7583
107, 100, 30.3537
108, 100, 29.0991
109, 97.15, 28.77085
110, 97.14, 28.3226
111, 97.1, 28.0583
112, 90.33, 28.01695
113, 81.54, 27.7067
114, 81.54, 28.21085
115, 81.54, 27.5039
116, 70.87, 28.22175
117, 66.48, 28.14485
118, 69.57, 27.78335
119, 71.11, 26.44245
120, 68.73, 25.24615
121, 66.57, 25.7666
122, 65.81, 25.6754
123, 65.01, 25.6177
124, 65.78, 27.1793
125, 65.17, 29.13705
126, 68.59, 28.7181
127, 69.12, 29.9856
128, 64, 28.15965
129, 71.24, 28.40705
130, 79.25, 27.3685
131, 77.35, 27.6155
132, 71.73, 28.25125
133, 87.93, 28.27775
134, 91.36, 27.89635
135, 88.3, 28.74535
136, 87.96, 30.35685
137, 91.14, 30.2172
138, 91.45, 29.6938
139, 92.08, 29.21695
140, 92.69, 30.4234
141, 90.96, 29.36335
142, 90.76, 26.97135
143, 90.79, 27.6673
144, 90.07, 26.24395
145, 94.04, 26.22855
146, 94.04, 25.2029
147, 94.22, 25.3956
148, 94.41, 24.998
149, 97.52, 25.48885
150, 97.4, 24.8278
151, 97.51, 25.1024
152, 95.78, 24.84515
153, 95.51, 23.60035
154, 95.32, 22.82255
155, 95.46, 23.50215
156, 93.16, 23.6899
157, 93.13, 21.0076
158, 82.01, 21.3625
159, 75.74, 21.059
160, 76.83, 21.1102
161, 77.52, 21.281
162, 78.32, 22.48755
163, 77.9, 22.5674
164, 67.57, 22.26635
165, 61.08, 22.33835
166, 57.77, 21.8835
167, 59.91, 22.92495
168, 58.43, 22.6587
169, 60.77, 22.75075
170, 60.59, 22.65725
171, 58.21, 22.47305
172, 54.02, 22.1393
173, 53.02, 22.0543
174, 53.18, 23.58935
175, 59.55, 23.5376
176, 66.7, 26.01475
177, 64.14, 26.3456
178, 62.83, 26.46395
179, 61.24, 25.1561
180, 61.24, 25.29365
181, 73.34, 25.2853
182, 85.3, 25.80305
183, 90.78, 28.0311
184, 91.03, 26.84135
185, 91.51, 27.1708
186, 92.22, 27.18235
187, 89.71, 28.9247
188, 90.45, 29.36255
189, 93.03, 29.52085
190, 93.03, 29.71455
191, 93, 29.2288
192, 94.65, 29.13375
193, 92.79, 27.4791
194, 93.41, 29.1241
195, 93.73, 30.0989
196, 93.41, 30.6119


