>hGCSF_Arch1_HC 
 %Min windows = 100% of gene
 Largest magnitude %Min = -60 at codon 16 
[codon window], [value], [random reverse translation average]
1, -40.54, 28.4352
2, -38.83, 27.5008
3, -43.43, 27.16895
4, -41.88, 25.98325
5, -54.91, 26.1866
6, -59.43, 24.48045
7, -52.25, 24.8984
8, -51.54, 24.9757
9, -49.31, 26.54415
10, -40.33, 24.27885
11, -40.58, 26.3062
12, -52.96, 26.9393
13, -57.37, 27.8244
14, -57.37, 29.37445
15, -55.86, 29.5633
16, -60.28, 29.45755
17, -56.87, 29.2291
18, -56.87, 28.85175
19, -55.48, 28.88835
20, -56.01, 29.1768
21, -57.39, 29.4321
22, -56.26, 28.75985
23, -52.63, 29.41695
24, -52, 29.7967
25, -48.67, 30.3402
26, -43.92, 29.04265
27, -47.91, 28.68535
28, -46.53, 27.1945
29, -40.28, 26.73865
30, -33.78, 26.89545
31, -39.16, 25.015
32, -38.88, 24.35705
33, -33.49, 25.6286
34, -38.11, 26.11065
35, -46.05, 26.0094
36, -42.15, 25.75
37, -41.41, 26.949
38, -39.65, 27.012
39, -42.37, 26.69125
40, -45.73, 25.6196
41, -52.53, 26.53335
42, -50.42, 27.01055
43, -53.83, 28.28335
44, -57.22, 29.0645
45, -38.85, 30.09405
46, -39.56, 30.82905
47, -42.48, 29.82295
48, -36.03, 30.3915
49, -29.84, 30.5526
50, -32.05, 30.56865
51, -32.41, 31.41265
52, -31.1, 31.22065
53, -35.26, 31.4749
54, -28.18, 30.82925
55, -26.34, 30.15025
56, -25.35, 30.41065
57, -25.35, 29.8476
58, -19.02, 29.21905
59, -23.48, 29.5061
60, -22.17, 28.5881
61, -21.56, 28.073
62, -38.4, 26.8015
63, -31.56, 25.7119
64, -25.35, 25.4103
65, -30.04, 25.1312
66, -30.04, 25.04805
67, -32.32, 26.46315
68, -35.24, 24.5191
69, -32.8, 24.81495
70, -34.94, 25.0852
71, -37.99, 24.06065
72, -42.71, 24.1087
73, -44.95, 25.33745
74, -44.95, 25.2538
75, -48.07, 23.99805
76, -48.16, 23.40885
77, -41.68, 24.18425
78, -41.68, 24.2672
79, -40.67, 23.9463
80, -50.98, 25.0933
81, -50.57, 25.30775
82, -52.49, 25.41215
83, -58.05, 26.58745
84, -58.36, 24.61125
85, -52.04, 25.16355
86, -52.93, 26.24875
87, -50.2, 27.44145
88, -41.9, 27.688
89, -38.06, 27.44525
90, -36.16, 26.7262
91, -35.17, 28.0154
92, -35.17, 27.8913
93, -35.17, 27.7736
94, -37.5, 26.6011
95, -41.72, 26.7438
96, -40.68, 26.69355
97, -32.23, 27.0222
98, -36.51, 26.90225
99, -31.12, 26.6895
100, -25.77, 26.84775
101, -21.4, 27.36385
102, -20.34, 28.3415
103, -15.97, 28.0755
104, -13.13, 27.02245
105, -24.65, 26.766
106, -28.63, 26.98715
107, -25.35, 26.9862
108, -30.7, 25.8088
109, -35.17, 25.4927
110, -30.43, 25.41055
111, -35.61, 27.96045
112, -32.39, 28.22665
113, -26.45, 29.6327
114, -20.56, 29.03265
115, -14.1, 31.2523
116, -15.81, 29.7932
117, -21.75, 28.3386
118, -26.53, 29.44425
119, -27.2, 29.12585
120, -31.97, 28.10235
121, -37.5, 28.98965
122, -30.69, 30.47415
123, -27.85, 30.8743
124, -19.76, 31.8783
125, -14.84, 33.57865
126, -13.19, 34.1162
127, -11.58, 35.55805
128, -4.56, 33.8002
129, -3.83, 34.2692
130, -5.88, 33.80395
131, -15.72, 32.7598
132, -17.38, 32.7022
133, -21.33, 35.31535
134, -15.87, 36.3623
135, -17.29, 36.708
136, -22.11, 37.78045
137, -21.16, 37.6581
138, -15.06, 36.40945
139, -19.33, 34.8017
140, -17.18, 35.5143
141, -21.1, 34.0988
142, -24.55, 33.3508
143, -22.72, 32.8784
144, -28.43, 31.55775
145, -28.43, 31.7485
146, -33.24, 30.88105
147, -30.73, 30.3133
148, -30.5, 30.56105
149, -33.12, 29.49545
150, -26.18, 28.95625
151, -28.37, 27.92645
152, -27.96, 27.9965
153, -23.28, 26.95815
154, -20.18, 26.3084
155, -24.88, 28.24695
156, -23.64, 28.5331
157, -26.37, 26.2656
158, -27.03, 27.62095
159, -29.41, 27.53645


