> 3B2-IDT
 %Min windows = 7% of gene
 Largest magnitude %Min = -12 at codon 27 
[codon window], [value], [random reverse translation average]
1, 9.72, 30.98795
2, 8.92, 30.96105
3, 12.28, 31.5186
4, 6.29, 30.4751
5, 12.46, 30.22195
6, 14.3, 30.4436
7, 14.3, 29.9556
8, 13.69, 30.76205
9, 16.57, 30.1732
10, 16.57, 29.49435
11, 10.38, 28.879
12, 9.21, 29.6726
13, 8.47, 28.7951
14, 11.59, 28.66025
15, 7.57, 29.2025
16, 5.9, 28.5429
17, 0.47, 28.936
18, 0.76, 29.30635
19, 6.84, 30.40975
20, 7.48, 29.8423
21, 10.75, 31.28195
22, 3.14, 33.5314
23, 7.39, 33.21275
24, 6.37, 33.3481
25, 3.01, 34.01275
26, -0.92, 34.6939
27, -12.3, 34.66975
28, -8.3, 34.3987
29, 9.14, 35.21005
30, 7.25, 34.9136
31, 8.13, 35.23435
32, 21.4, 33.80915
33, 22.32, 34.5253
34, 24.94, 35.43695
35, 16.56, 37.0548
36, 12.99, 37.19575
37, 12.99, 37.19575
38, 14.21, 36.2141
39, 18.02, 34.7064
40, 18.2, 34.7096
41, 20.07, 33.3817
42, 17.5, 32.9231
43, 23.88, 32.44445
44, 26.15, 31.4127
45, 30.04, 33.73875
46, 17.03, 32.1676
47, 18.42, 32.2844
48, 17.25, 32.68115
49, 10.78, 33.2993
50, 10.78, 33.3138
51, 21.72, 32.9573
52, 14.53, 32.0693
53, 10.03, 28.65005
54, 8.32, 28.2014
55, 9.37, 28.1833
56, 5.66, 29.98705
57, 1.55, 30.01675
58, 0.02, 30.6839
59, -1.47, 29.61535
60, 0.51, 29.3272
61, 0.72, 29.3993
62, -2.01, 27.36005
63, 1.54, 27.5168
64, 3.47, 27.4355
65, 14.42, 27.3425
66, 16.05, 27.41385
67, 13.93, 26.13955
68, 5.58, 24.53845
69, 15.64, 23.21005
70, 15.64, 23.7441
71, 16.21, 23.1754
72, 9.21, 25.4611
73, 5.37, 21.821
74, 11.41, 22.26505
75, 10.94, 22.6347
76, 19.08, 25.3178
77, 14.73, 25.60205
78, 14.46, 25.3836
79, 3.48, 24.40955
80, 6.48, 24.58975
81, 4.23, 26.5848
82, -10.8, 27.39175
83, -10.45, 28.4208
84, -10.21, 29.1201
85, -7.3, 30.69885
86, -3.68, 30.4836
87, 8.14, 31.65685
88, 4.85, 31.2087
89, 13.38, 30.1688
90, 21.12, 30.84265
91, 20.76, 30.5645
92, 15.72, 31.0073
93, 17.46, 29.16965
94, 20.22, 29.34785
95, 21.59, 29.45045
96, 26.88, 30.2365
97, 25.94, 30.2766
98, 35.72, 30.21215
99, 35.22, 31.2869
100, 26.58, 31.52335
101, 28.63, 30.92065
102, 30.3, 28.62945
103, 23.9, 27.9706
104, 15.23, 28.45025
105, 17.22, 28.0679
106, 18.72, 28.27505
107, 20.17, 27.7144
108, 15.64, 29.71925
109, 16.49, 30.75805
110, 15.24, 32.56355
111, 17.11, 32.16015
112, 19.27, 32.0509
113, 19.75, 31.83645
114, 14.59, 30.93025
115, 7.16, 30.3937
116, 13.89, 28.54895
117, 16.04, 26.7783
118, 13.44, 26.05085
119, 7.03, 26.0689
120, 4.09, 25.9907
121, 5.12, 25.28755
122, 9.48, 25.99865
123, 10.92, 27.066
124, 11.2, 26.9221
125, 8.4, 24.68105
126, 15.09, 22.87915
127, 17.79, 20.5938
128, 13.41, 20.7588
129, 8.5, 20.6288
130, 8.03, 20.70355


