> RBDJ-IDT
 %Min windows = 7% of gene
 Largest magnitude %Min = -24 at codon 105 
[codon window], [value], [random reverse translation average]
1, 5.19, 31.00075
2, 13.51, 29.45245
3, 13.69, 29.3779
4, 15.25, 32.3901
5, 16.82, 32.4263
6, 10.53, 31.4094
7, 8.15, 32.6676
8, 12.69, 31.9182
9, 14.83, 34.2695
10, 16.92, 34.08375
11, 16.11, 32.8389
12, 17.3, 32.86845
13, 21.02, 31.98935
14, 19.46, 31.69085
15, 9.47, 32.10235
16, 4.08, 31.6022
17, 6.25, 30.0821
18, 2.86, 29.7033
19, 2.86, 30.81635
20, 0.91, 29.11535
21, -0.42, 26.90815
22, 0.38, 26.7329
23, 2.95, 26.4634
24, 2.22, 27.57985
25, 4.38, 27.82585
26, 3.66, 25.25465
27, 6.6, 25.34685
28, 7.5, 27.0301
29, 8.22, 26.8279
30, 8.42, 26.5909
31, 8.61, 26.95465
32, 10.14, 25.08415
33, 23.81, 27.0351
34, 15.96, 27.6558
35, 25.73, 27.19865
36, 23.63, 27.9209
37, 26.43, 29.43925
38, 28.92, 29.1414
39, 20.71, 28.9123
40, 20.89, 29.475
41, 18.84, 26.61675
42, 12.25, 27.22365
43, 15.28, 27.4472
44, 12.38, 27.1682
45, 12.38, 26.3755
46, 11.56, 26.46375
47, 7.94, 26.2175
48, 10.41, 26.05865
49, 18.9, 27.83835
50, 14.75, 26.0855
51, 18.82, 25.2097
52, 9.08, 25.41315
53, 11.8, 24.44165
54, 10.3, 25.14775
55, 18.28, 27.1978
56, 32.37, 28.0534
57, 26.76, 27.61625
58, 27.46, 27.49155
59, 29.83, 26.35465
60, 35.94, 27.5554
61, 33.09, 27.43555
62, 25.91, 27.05055
63, 22.6, 28.0549
64, 29.1, 29.80885
65, 22.34, 30.95105
66, 11.75, 30.25725
67, 13.71, 30.7309
68, 17.56, 32.05525
69, 20, 31.9399
70, 12.03, 32.44965
71, 12.9, 33.7977
72, 1.17, 31.7447
73, -7.16, 31.4356
74, -3.7, 31.9634
75, 0.94, 32.26945
76, 5.78, 32.89515
77, 7.63, 29.844
78, 7.47, 31.2039
79, 19.96, 31.48145
80, 26.76, 29.93675
81, 22.68, 28.21175
82, 21.73, 27.4631
83, 28.84, 28.4947
84, 24.23, 28.8667
85, 16.17, 26.4958
86, 22.74, 27.88355
87, 34.71, 29.6478
88, 38.71, 27.301
89, 44.66, 28.9149
90, 38.31, 28.22015
91, 39.84, 28.26965
92, 38.16, 28.3063
93, 31.98, 27.6185
94, 16.18, 28.93075
95, 18.63, 27.2528
96, 12.78, 27.46025
97, 17.41, 28.08835
98, 9.33, 29.0401
99, 10.38, 29.7233
100, 6.72, 28.2835
101, 6.24, 27.8952
102, 9.64, 28.75035
103, 0.59, 27.4517
104, -23.52, 23.61465
105, -24.85, 23.32845
106, -2.03, 25.23065
107, -0.18, 25.5769
108, -3.94, 25.5919
109, -2.68, 27.68555
110, 0.16, 28.0682
111, 14.4, 28.36015
112, 18.05, 28.78245
113, 17.43, 28.2188
114, 6.43, 27.6964
115, 8.65, 27.5026
116, 14.82, 24.9049
117, 19.62, 24.54655
118, 16.33, 26.6418
119, 11.98, 26.8765
120, 9.18, 27.5157
121, 11.05, 27.82505
122, 17.35, 28.43135
123, 11.51, 26.61
124, 20.86, 27.01335
125, 23.34, 26.95525
126, 21.06, 24.952
127, 28.05, 26.9881
128, 28.33, 29.0452
129, 26.6, 28.47165
130, 34.83, 28.75665
131, 31.34, 30.4267
132, 37.78, 29.9657
133, 38.86, 30.24735
134, 42, 30.7519
135, 39.87, 29.8032
136, 47.18, 29.4193
137, 42.85, 30.7257
138, 43.44, 30.82845
139, 39.7, 30.2864
140, 35.28, 31.4214
141, 27.03, 31.58985
142, 26.25, 31.85145
143, 34.28, 33.22105
144, 21.03, 31.57615
145, 6.66, 29.22135
146, 16, 29.90415
147, 9.42, 30.34975
148, 6.99, 29.51405
149, 3.37, 29.1949
150, 8.7, 29.37305
151, -9.17, 30.52965
152, -4.64, 30.19595
153, -9.46, 30.4561
154, 4.5, 30.11825
155, 4.76, 29.93955
156, 13.64, 31.55125
157, 14.27, 31.27885
158, 10.66, 31.07775
159, 6.15, 31.54845
160, 3.53, 30.5774
161, 3.45, 32.69305
162, 6.25, 33.0619
163, -10.55, 33.28415
164, -12.32, 32.9045
165, 8.05, 30.9941
166, 9.7, 30.72415
167, 7.84, 30.44345
168, 14.59, 28.8817
169, 10.37, 28.22955
170, 8.18, 27.7492
171, 4.72, 26.49455
172, 4.72, 28.1385
173, 2.52, 27.25085
174, 11.19, 27.66915
175, 13.55, 27.8471
176, 22.74, 27.30355
177, 21, 27.4991
178, 24.26, 26.57025
179, 28.25, 27.35875
180, 32.73, 26.8912
181, 36.99, 26.51105
182, 28.86, 26.9744
183, 28.63, 27.13115


