> HerLC-IDT
 %Min windows = 10% of gene
 Largest magnitude %Min = -20 at codon 18 
[codon window], [value], [random reverse translation average]
1, 46.1, 28.7203
2, 36.85, 28.4103
3, 32.89, 28.19015
4, 25.32, 28.3748
5, 25.32, 28.54375
6, 24.02, 28.6333
7, 17.47, 30.19685
8, 13.86, 29.8191
9, 13.86, 29.61465
10, 5.47, 29.39565
11, 3.45, 29.82055
12, 0.33, 29.99815
13, -10.9, 29.47195
14, -20.26, 30.3605
15, -4.52, 30.6411
16, -14.23, 29.0303
17, -8.77, 29.4799
18, -20.83, 27.8609
19, -17.35, 27.91765
20, -13.14, 28.3101
21, 0.3, 28.03135
22, 5.63, 27.65955
23, 7.61, 28.5014
24, 11.52, 28.4325
25, 11.82, 27.453
26, 8.33, 29.65965
27, 15.98, 31.40665
28, 19.06, 31.4753
29, 34.86, 31.01805
30, 42.17, 29.69025
31, 40.35, 28.8747
32, 32.82, 28.14685
33, 39.03, 28.7682
34, 39.03, 29.57505
35, 36.86, 29.48425
36, 37.2, 29.6556
37, 41.99, 29.07275
38, 38.99, 28.90055
39, 37.11, 28.3724
40, 29.05, 28.85805
41, 33.32, 27.2997
42, 38.19, 28.6869
43, 40.23, 27.51125
44, 36.05, 27.76765
45, 38.41, 27.89035
46, 30.46, 28.537
47, 28.35, 30.87555
48, 28.21, 31.16155
49, 26.73, 32.37175
50, 25.11, 32.25825
51, 21.03, 32.28065
52, 15.41, 32.51455
53, 17.05, 31.60995
54, 9.34, 32.2474
55, 9.33, 31.77855
56, 9.8, 32.03305
57, 19.38, 30.67525
58, 19.19, 31.4843
59, 20.65, 30.40565
60, 26.43, 29.91425
61, 35.63, 28.45425
62, 31.16, 28.53345
63, 28.13, 28.99235
64, 25.02, 27.6226
65, 30.15, 27.71525
66, 33.95, 25.8832
67, 43.48, 26.98255
68, 48.78, 26.05525
69, 56.86, 25.4708
70, 53.87, 26.26315
71, 51.21, 26.46595
72, 56.79, 26.90915
73, 66.55, 27.05035
74, 64.37, 27.29295
75, 60.84, 26.0279
76, 59.91, 26.14485
77, 58.93, 27.2886
78, 55.05, 30.03335
79, 67.22, 31.6322
80, 81.39, 31.46065
81, 76.68, 31.29295
82, 71.11, 32.06995
83, 71.98, 32.30945
84, 71.4, 32.0132
85, 72.17, 31.96385
86, 70.54, 31.92615
87, 61.16, 30.8621
88, 65.27, 30.0353
89, 49.11, 30.7051
90, 47.87, 30.4755
91, 52.96, 31.9922
92, 42.76, 32.14285
93, 30.84, 32.09955
94, 22.92, 32.49155
95, 15.91, 31.9457
96, 13.64, 31.5754
97, 14.99, 30.73965
98, 14.52, 30.2835
99, 13.56, 29.42705
100, 17.06, 29.3848
101, 9.03, 28.4621
102, 12.05, 29.56875
103, 15.99, 30.5469
104, 17.67, 31.0571
105, 11.26, 31.3795
106, 21.69, 30.3402
107, 16.63, 30.4651
108, 3.44, 27.68335
109, 10.98, 27.20915
110, 16.42, 26.2853
111, 20.74, 26.7001
112, 28.61, 26.23395
113, 33.74, 26.92395
114, 33.74, 25.7687
115, 33.74, 26.11735
116, 27.78, 25.9403
117, 23, 25.8359
118, 21.95, 26.0445
119, 14.64, 24.6999
120, 11.82, 23.55055
121, 13.06, 23.31865
122, 15.64, 23.2574
123, 12.07, 23.66405
124, 20.71, 24.97135
125, 24.75, 28.44575
126, 25.99, 28.0874
127, 25, 29.6473
128, 21.8, 28.3651
129, 12.36, 27.7482
130, -1.18, 25.88545
131, -14.91, 27.3377
132, -16.91, 27.61645
133, -20.2, 27.8219
134, -15.07, 27.1015
135, -15.31, 27.40095
136, 8.43, 29.721
137, 22.67, 28.7553
138, 26.81, 28.2632
139, 28.53, 28.08985
140, 22.05, 29.6154
141, 16.36, 28.3866
142, 18.08, 25.55895
143, 18.35, 25.96995
144, 23.17, 23.71995
145, 21.96, 23.6432
146, 34.29, 23.7953
147, 36.68, 24.48145
148, 32.15, 23.99935
149, 36.54, 24.0483
150, 47.24, 23.9086
151, 40.32, 24.6231
152, 37.86, 24.6848
153, 33.84, 22.7536
154, 24.28, 22.74545
155, 19.41, 23.73785
156, 19.68, 23.56915
157, 26.79, 21.4685
158, 36.62, 22.2418
159, 43.96, 22.01145
160, 37.45, 22.15715
161, 32.93, 23.6558
162, 28.97, 24.6356
163, 21.82, 25.07255
164, 20.88, 24.5937
165, 23.61, 25.31565
166, 19.64, 25.37705
167, 23.7, 26.52085
168, 22.25, 26.05385
169, 22.97, 25.9975
170, 22.61, 26.023
171, 23.51, 26.25395
172, 26.04, 25.96535
173, 26.52, 25.9703
174, 21, 26.1906
175, 9.83, 25.89575
176, 0.34, 28.10945
177, 3.03, 28.70185
178, -0.36, 27.44855
179, 3.66, 27.9265
180, 2.99, 27.4922
181, 5.15, 28.04855
182, -1.45, 27.8037
183, 5.59, 29.6011
184, -10.2, 27.8702
185, -2.3, 28.69955
186, 1.61, 28.8636
187, 1.74, 30.711
188, -1.1, 31.17145
189, -2.81, 31.0634
190, -2.81, 30.96505
191, 3.45, 31.22535
192, 5.58, 31.2376
193, 7.65, 29.9129
194, 5.68, 31.3668
195, 16.35, 33.2668
196, 14.83, 32.51315


