>hGCSF_Arch1 
 %Min windows = 7% of gene
 Largest magnitude %Min = -20 at codon 153 
[codon window], [value], [random reverse translation average]
1, 11.45, 29.44105
2, 4.41, 28.0663
3, 5.2, 28.85125
4, 18.3, 26.96005
5, 9.58, 27.35285
6, 12.32, 25.8299
7, -2.03, 26.30105
8, 0.03, 27.06685
9, -8.84, 28.454
10, -8.55, 26.96555
11, -8.3, 28.22435
12, -11.39, 29.0087
13, -0.46, 29.4391
14, 10.54, 29.8193
15, 20.54, 29.4071
16, 15.95, 29.3232
17, 16.11, 29.0398
18, 16.74, 28.4195
19, 14.73, 28.51155
20, 23.79, 27.8272
21, 20.37, 27.85935
22, 26.9, 26.4502
23, 22.97, 27.54935
24, 35.36, 27.88365
25, 32.28, 27.43025
26, 39.58, 26.29285
27, 27.51, 26.07335
28, 24.88, 24.92165
29, 26.87, 23.82065
30, 21, 23.97075
31, 12.74, 23.27115
32, 12.42, 22.5742
33, 27.82, 23.48635
34, 32.91, 23.61275
35, 32.67, 24.2941
36, 47.87, 24.12745
37, 34.89, 25.8412
38, 31.36, 25.9917
39, 35.71, 25.70925
40, 35.41, 24.17725
41, 36.62, 25.0933
42, 34.3, 25.486
43, 39.07, 26.0938
44, 49.13, 26.4924
45, 38.75, 28.11005
46, 33.5, 29.15145
47, 38.48, 28.1284
48, 33.92, 28.3514
49, 31.11, 28.4249
50, 23.45, 28.41865
51, 14.5, 29.87635
52, 21.83, 30.18135
53, 16.09, 30.71725
54, 19.57, 31.13225
55, 18.43, 30.4669
56, 9.63, 30.844
57, 19.69, 30.5559
58, 20.64, 30.4344
59, 17.23, 31.4735
60, 11.92, 31.2029
61, 19.92, 30.59755
62, 33.72, 28.58445
63, 36.06, 27.96255
64, 36.06, 27.5909
65, 38.17, 27.53975
66, 44.09, 27.8009
67, 45.32, 28.137
68, 54.84, 26.92225
69, 52.45, 26.92005
70, 45.95, 26.65705
71, 50.52, 25.1638
72, 57.45, 25.3823
73, 52.48, 26.57925
74, 42.44, 26.7704
75, 33.13, 25.3245
76, 41.66, 23.9391
77, 47.56, 24.8407
78, 37.6, 24.41195
79, 35.16, 24.90725
80, 39.26, 26.13855
81, 37.42, 26.7805
82, 36.96, 26.9048
83, 33.99, 27.9117
84, 30.03, 27.238
85, 30.03, 27.423
86, 29.99, 29.38805
87, 34.84, 30.6147
88, 32.5, 30.68305
89, 27.39, 30.11275
90, 30.6, 28.973
91, 37.14, 29.6814
92, 37.14, 29.6796
93, 31.65, 29.9621
94, 22.96, 29.70875
95, 28.25, 30.3785
96, 22.34, 30.02075
97, 19.7, 29.2452
98, 16.89, 29.11765
99, 18.19, 28.9777
100, 7.09, 28.7957
101, 9.25, 29.2501
102, 5.02, 29.376
103, 8.97, 27.75185
104, 6.44, 27.12265
105, 10.08, 26.629
106, 8.27, 26.8906
107, 12.41, 27.41925
108, 2.79, 27.13375
109, 7.77, 27.3027
110, 23.31, 26.71125
111, 34.29, 27.26625
112, 31.48, 27.4433
113, 33.3, 28.9621
114, 27.75, 29.2822
115, 32.56, 30.47275
116, 27.03, 29.4907
117, 34.98, 28.0371
118, 41.63, 28.93785
119, 35.21, 29.15275
120, 31.91, 29.0738
121, 32.67, 30.0501
122, 27.7, 31.7524
123, 32.13, 32.32775
124, 33.54, 32.5597
125, 33.74, 33.33555
126, 32.64, 33.58835
127, 22.77, 34.67705
128, 16.06, 33.6093
129, 22.97, 33.86715
130, 24.2, 33.1152
131, 33.2, 32.0136
132, 33.34, 32.6882
133, 44.09, 35.0211
134, 53.41, 35.46735
135, 54.44, 35.4108
136, 60.4, 36.70595
137, 54.45, 35.4099
138, 49.57, 33.10635
139, 47.57, 31.36595
140, 43.53, 31.92385
141, 41.81, 31.28395
142, 44.46, 30.67775
143, 39.5, 30.2613
144, 38.45, 29.7793
145, 36.92, 29.5133
146, 30.42, 28.652
147, 28.43, 28.4153
148, 23.46, 28.2715
149, 15.52, 26.86985
150, 8.78, 25.81305
151, 2.01, 25.0408
152, -7.9, 25
153, -20.18, 23.0481
154, -19.11, 23.48645
155, -5.36, 26.41845
156, -3.14, 26.8896
157, -3.36, 25.4452
158, 4.54, 27.42805
159, 8.14, 27.65105


