> 3B2-Azenta
 %Min windows = 0% of gene
 Largest magnitude %Min = 8 at codon 61 
[codon window], [value], [random reverse translation average]
1, 100, 31.36755
2, 100, 31.6007
3, 100, 32.03815
4, 100, 32.0252
5, 100, 32.3435
6, 100, 32.3512
7, 100, 32.40395
8, 100, 33.24605
9, 100, 31.8322
10, 100, 32.17045
11, 100, 32.73355
12, 100, 33.1996
13, 100, 31.6597
14, 100, 31.72635
15, 100, 31.9203
16, 98.66, 30.92385
17, 98.71, 30.1476
18, 98.71, 30.42725
19, 98.67, 31.3853
20, 98.6, 31.1711
21, 98.47, 31.1605
22, 98.49, 33.1879
23, 98.52, 32.54485
24, 98.52, 32.86505
25, 96.2, 32.931
26, 96.21, 34.23785
27, 96.26, 33.4549
28, 96.01, 31.81405
29, 96.15, 33.05165
30, 96.22, 32.94955
31, 95.97, 33.12205
32, 95.97, 32.50105
33, 97.75, 33.5173
34, 97.78, 36.17635
35, 97.78, 36.40015
36, 97.81, 36.01935
37, 97.81, 36.01935
38, 97.93, 35.68435
39, 97.81, 34.044
40, 97.81, 34.08235
41, 97.77, 33.0129
42, 100, 32.2266
43, 100, 31.9348
44, 100, 31.2308
45, 84.51, 33.16935
46, 83.44, 31.0645
47, 74.84, 30.73785
48, 74.48, 30.97755
49, 72.48, 30.21435
50, 66.86, 29.31705
51, 66.95, 28.0414
52, 56.79, 27.8009
53, 37.34, 25.9795
54, 26.9, 26.67
55, 26.9, 26.80445
56, 31.65, 28.28875
57, 28.34, 28.8272
58, 22.73, 29.0838
59, 8.25, 29.05095
60, 9.65, 28.76455
61, 8.2, 28.94515
62, 15.71, 28.1387
63, 19.6, 28.6628
64, 21.66, 29.22065
65, 30.54, 28.4685
66, 31.86, 28.9517
67, 31.1, 28.6469
68, 21.38, 27.06765
69, 23.65, 26.94465
70, 45.95, 26.7839
71, 57.59, 25.72395
72, 53, 27.354
73, 48.17, 25.33085
74, 52.27, 25.1415
75, 55.88, 25.09345
76, 76.78, 25.05925
77, 78.68, 25.61775
78, 78.25, 25.6723
79, 85.83, 24.94835
80, 84.56, 24.5918
81, 87.56, 26.0963
82, 87.26, 27.9398
83, 87.94, 29.42165
84, 89.11, 30.26235
85, 92.34, 31.33525
86, 93.66, 30.957
87, 93.44, 31.8306
88, 96.43, 32.1691
89, 98.57, 31.07135
90, 98.61, 31.1982
91, 98.6, 31.1806
92, 98.6, 31.46485
93, 98.58, 30.93685
94, 96.97, 30.9923
95, 97.34, 30.87245
96, 95.51, 31.16175
97, 95.45, 31.2303
98, 95.39, 31.2297
99, 95.4, 31.94315
100, 95.4, 30.82495
101, 95.23, 30.1724
102, 94.97, 29.7871
103, 95.21, 29.94335
104, 95.12, 29.5533
105, 95.12, 28.45095
106, 95.21, 28.16415
107, 95.29, 27.9031
108, 95.61, 30.47905
109, 95.69, 31.7469
110, 95.78, 34.06295
111, 97.37, 33.80325
112, 98.53, 33.73665
113, 97.35, 33.6571
114, 97.6, 32.7001
115, 97.6, 32.0828
116, 97.56, 30.54
117, 97.45, 30.00575
118, 97.38, 29.4989
119, 97.39, 28.70355
120, 97.47, 28.5571
121, 96.24, 28.54925
122, 96.23, 28.4934
123, 96.29, 30.09775
124, 96.3, 30.1956
125, 96.08, 27.5762
126, 95.8, 26.11485
127, 95.38, 23.70525
128, 95.27, 23.7343
129, 95.13, 23.5911
130, 98.57, 23.8024


