> HerLC-Arch1_HC
 %Min windows = 25% of gene
 Largest magnitude %Min = -35 at codon 87 
[codon window], [value], [random reverse translation average]
1, -7.37, 29.1457
2, -9.95, 28.5732
3, -5.31, 28.6403
4, 2.67, 28.7376
5, 2.67, 28.76325
6, 4.47, 29.07765
7, 11.37, 30.3084
8, 6.98, 30.6022
9, 11.27, 30.26605
10, 7.43, 30.431
11, 16.3, 30.77655
12, 14.79, 30.5624
13, 16.22, 29.67035
14, 9, 29.85535
15, 20.11, 31.31925
16, 14.55, 30.08425
17, 17.26, 31.3538
18, 19.11, 30.53455
19, 24.16, 30.8302
20, 21.04, 31.0539
21, 9.69, 30.9376
22, 11.63, 30.7729
23, 18.63, 31.4086
24, 0.66, 30.55665
25, -1.73, 28.58345
26, -2.42, 30.5101
27, -2.33, 31.8248
28, -5.43, 31.63525
29, -2.68, 31.6553
30, -11.06, 31.4199
31, -11.6, 32.29435
32, -24.94, 31.0554
33, -10.39, 30.43615
34, -11.89, 29.85045
35, -8.67, 28.857
36, -11.3, 28.7389
37, -6.88, 27.4705
38, -3.77, 27.54285
39, 3.05, 27.2112
40, 0.92, 27.1255
41, 6.04, 25.9966
42, 9.87, 27.03285
43, 11.4, 25.91055
44, 13.63, 26.23305
45, 11.32, 26.15775
46, 13.2, 25.5323
47, 22.17, 26.00805
48, 24.67, 25.07625
49, 21.96, 26.6006
50, 14.66, 27.0886
51, 11.38, 27.31805
52, 9.64, 28.01085
53, 7.52, 28.2199
54, 7.14, 29.33595
55, 7.69, 28.9934
56, 10.59, 28.4507
57, 8.12, 27.8865
58, 15.59, 28.4633
59, 8.59, 28.08955
60, 6.1, 28.12675
61, 15.79, 26.82495
62, 19.38, 26.98205
63, 23.65, 28.32185
64, 24.5, 27.6758
65, 26.95, 27.6557
66, 30.71, 25.95735
67, 31.51, 26.59625
68, 37.09, 25.88195
69, 40.25, 25.59195
70, 44.49, 25.40805
71, 44.61, 25.68525
72, 41.97, 25.5982
73, 36.34, 27.0908
74, 37.12, 26.72865
75, 28.66, 26.296
76, 36.39, 26.2656
77, 29.92, 26.7827
78, 19.49, 28.36585
79, 8.24, 30.1081
80, -0.17, 28.58795
81, -3.09, 28.7059
82, -16.04, 30.39775
83, -22.59, 30.80775
84, -31.56, 32.1158
85, -31.56, 31.6058
86, -34.67, 31.15525
87, -35.64, 30.5721
88, -28.54, 30.20855
89, -31.99, 30.8251
90, -35.59, 30.26625
91, -19.97, 32.13835
92, -17.41, 32.4785
93, -21.52, 31.90995
94, -1.74, 32.454
95, 4.63, 32.7655
96, 4.63, 32.83915
97, 3.37, 32.46195
98, -0.59, 32.24585
99, 5.36, 31.56935
100, 7.47, 30.7878
101, 11.41, 29.60335
102, 14.44, 30.96605
103, 12.05, 32.50845
104, 21.98, 32.81755
105, 22.35, 32.5034
106, 33.3, 31.83075
107, 28.01, 31.80465
108, 18.23, 29.0437
109, 17.43, 28.28145
110, 19.2, 27.9157
111, 3.31, 28.9541
112, -8.58, 28.11705
113, -4.88, 27.41285
114, 4.92, 27.59465
115, 15.79, 27.9587
116, 10.97, 27.26625
117, 11.31, 27.87675
118, 5.79, 27.64405
119, -0.98, 25.65575
120, 1.78, 24.1349
121, -8.69, 23.84325
122, -15.95, 24.0959
123, -19.89, 24.4456
124, -6.52, 25.79805
125, -6.95, 28.01385
126, -9.19, 27.63975
127, -6.81, 28.7973
128, 0.08, 26.62365
129, -0.65, 25.6748
130, 4.02, 25.4435
131, -7.1, 25.34725
132, -19.9, 24.36165
133, -19.9, 24.7629
134, -10.39, 24.29355
135, 1.42, 24.08675
136, 21.37, 26.07885
137, 18.71, 26.0517
138, 14.59, 26.0952
139, 13.84, 26.039
140, 15.43, 28.0857
141, 9.38, 26.93505
142, 12.08, 24.6019
143, 11.72, 25.20065
144, 8.4, 23.17135
145, 10.47, 23.8586
146, 10.47, 24.29865
147, 13.13, 24.52805
148, 9.38, 24.20005
149, 11.24, 24.058
150, 18.77, 24.1348
151, 16.17, 23.8251
152, 16.91, 23.8536
153, 11.53, 23.708
154, 21.36, 23.5577
155, 24.76, 23.72505
156, 27.15, 23.70225
157, 25.58, 21.7792
158, 35.55, 22.34955
159, 34.47, 22.97245
160, 31.63, 23.28595
161, 33.49, 24.4454
162, 30.63, 24.32495
163, 31.74, 24.8144
164, 23.72, 23.9676
165, 27.23, 23.91565
166, 25.93, 24.01685
167, 20.85, 25.0728
168, 23.14, 25.5398
169, 21.28, 25.59895
170, 20.91, 24.9429
171, 13.38, 24.61275
172, 12.82, 24.343
173, 14.96, 24.21875
174, 8.48, 23.24125
175, -5.64, 22.82645
176, 5.28, 23.7888
177, 12.64, 23.78275
178, 17.27, 23.2994
179, 15.54, 23.49285
180, 23.7, 22.60255
181, 30.03, 22.55545
182, 23.72, 22.69425
183, 24.14, 24.6239
184, 23.39, 22.76355
185, 27.52, 22.1958
186, 28.47, 22.62525
187, 27.82, 24.59985
188, 24.39, 25.10285
189, 24.39, 25.55775
190, 21.45, 25.56665
191, 25.11, 25.9193
192, 24.44, 25.8282
193, 16.88, 25.01785
194, 12.01, 26.47775
195, 11.62, 28.44895
196, 18.23, 28.505


