> HerHC-IDT
 %Min windows = 19% of gene
 Largest magnitude %Min = -26 at codon 62 
[codon window], [value], [random reverse translation average]
1, 12.4, 31.71165
2, 15.47, 32.47265
3, 16.76, 32.30695
4, 8.03, 32.60335
5, 11, 32.3337
6, 8.45, 33.35785
7, 13.85, 34.24425
8, 23.07, 32.09145
9, 32.52, 31.52975
10, 30.66, 30.7266
11, 34.63, 31.2493
12, 45.08, 31.872
13, 41.71, 32.09655
14, 42.21, 31.5631
15, 35.54, 30.5677
16, 35.61, 29.80685
17, 33.92, 30.4043
18, 26.69, 31.4057
19, 30.02, 30.04925
20, 41.5, 30.5576
21, 53.27, 31.617
22, 49.43, 31.55845
23, 59.99, 31.3418
24, 55.27, 31.22785
25, 39.87, 34.98135
26, 34.63, 32.64785
27, 27.55, 34.14755
28, 23.59, 32.90675
29, 19.55, 32.9244
30, 21.51, 33.3241
31, 23.51, 32.70395
32, 22.21, 33.40865
33, 19.52, 33.66395
34, 19.52, 34.0362
35, 17.84, 33.94425
36, 13.85, 34.40255
37, 12.26, 34.7158
38, 4.17, 34.11625
39, 2.59, 34.81715
40, -8.13, 34.0823
41, -12.16, 33.5346
42, 5.67, 33.60335
43, 3.4, 33.7392
44, 18.01, 33.31285
45, 23.77, 33.5723
46, 18.22, 33.57135
47, 14.1, 33.3318
48, 14.44, 33.7951
49, 10.32, 34.45885
50, 10.08, 35.27955
51, 10.29, 34.3195
52, 4.11, 34.52585
53, 6.66, 34.0671
54, 1.23, 33.4149
55, 0.89, 34.27845
56, 2.13, 32.7746
57, 1, 32.78855
58, -0.21, 31.9635
59, -10.71, 30.0045
60, -8.98, 30.04565
61, -22.29, 29.5547
62, -26.19, 30.5803
63, -25.22, 30.65575
64, -21.34, 29.3683
65, -14.83, 29.8845
66, -9.59, 28.52365
67, -10.48, 26.699
68, -5.64, 26.44835
69, -2.83, 25.6509
70, -2.15, 26.58055
71, -4.23, 28.69
72, -0.62, 27.1807
73, 7.34, 27.5112
74, 7.34, 27.15625
75, 8.66, 28.70455
76, 14.66, 28.68905
77, 13.28, 28.5677
78, 13.5, 27.8201
79, 17.02, 27.3037
80, 13.85, 27.13445
81, 14.22, 29.8773
82, 10.97, 29.61985
83, 13.44, 30.55945
84, 20.74, 30.6932
85, 16.1, 31.0085
86, 24.05, 32.05065
87, 28.08, 30.50925
88, 31.06, 28.82555
89, 36.1, 29.6106
90, 33.33, 30.3238
91, 39.2, 30.59
92, 44.53, 29.4405
93, 37.53, 30.22425
94, 39.43, 32.38365
95, 34.51, 32.6931
96, 24.08, 34.0871
97, 33.57, 34.33375
98, 32.72, 31.4822
99, 24.68, 30.85125
