"[codon window], [value], [random reverse translation average]"
"1, 1.56, 30.29775"
"2, 10.52, 29.8699"
"3, 10.28, 29.8234"
"4, 0.98, 31.9094"
"5, 2.35, 32.0983"
"6, 5.76, 31.21665"
"7, 6.36, 32.76175"
"8, 1.4, 30.9672"
"9, -3, 32.87515"
"10, -0.03, 32.43195"
"11, 2.2, 32.15065"
"12, 1.02, 32.1812"
"13, 3.27, 31.41605"
"14, 12.17, 31.08595"
"15, 11.96, 30.7798"
"16, 6.51, 31.05"
"17, 5.85, 29.32605"
"18, 12.28, 29.7225"
"19, -3.19, 30.4408"
"20, -2.96, 29.8177"
"21, 8.89, 28.7099"
"22, 9.5, 28.5463"
"23, 8.34, 28.78135"
"24, 18.47, 28.1726"
"25, 17.73, 28.03565"
"26, 17.96, 26.2184"
"27, 27.08, 25.07375"
"28, 20.08, 25.23405"
"29, 21.96, 25.0754"
"30, 22.14, 24.9253"
"31, 15.97, 25.08535"
"32, 6.6, 23.65705"
"33, 2.7, 24.90855"
"34, 2.44, 25.6861"
"35, -5.63, 26.45375"
"36, 7.48, 27.7397"
"37, 9.23, 28.33365"
"38, 6.47, 28.27345"
"39, 17.35, 28.17135"
"40, 20.67, 27.7516"
"41, 14.89, 25.95435"
"42, 15.3, 25.73925"
"43, 15.41, 26.31"
"44, 8.41, 26.9508"
"45, 8.41, 26.5937"
"46, 6.01, 26.7459"
"47, -2.17, 26.7933"
"48, -5.5, 26.57805"
"49, -5.48, 27.24895"
"50, -1.31, 25.7621"
"51, 8.84, 25.2034"
"52, 13.97, 24.4944"
"53, 16.54, 23.69245"
"54, 7.7, 24.32445"
"55, 4.7, 25.68475"
"56, -20.78, 26.9065"
"57, -15.44, 26.80765"
"58, -25.45, 27.28185"
"59, -32.7, 27.27875"
"60, -32.75, 29.0586"
"61, -38.42, 29.4075"
"62, -39.25, 30.33085"
"63, -45.66, 31.97375"
"64, -43.7, 32.6313"
"65, -30.63, 33.01485"
"66, -29.02, 33.1759"
"67, -24.23, 33.13675"
"68, -40.46, 34.1222"
"69, -40.54, 33.9556"
"70, -49.54, 33.5878"
"71, -30.15, 34.2365"
"72, -22.19, 33.15105"
"73, -15.01, 32.4272"
"74, -19.3, 32.85105"
"75, -14.93, 32.96905"
"76, -7.7, 33.9886"
"77, -12.74, 30.33705"
"78, -1.22, 31.76"
"79, 2.71, 30.23745"
"80, 18.47, 27.7615"
"81, 25.57, 26.9313"
"82, 7.51, 26.46685"
"83, 6.96, 26.97205"
"84, 9.45, 27.2689"
"85, 17.08, 25.75035"
"86, 27.1, 26.5074"
"87, 26.68, 27.97995"
"88, 17.24, 26.25035"
"89, 13.69, 27.2163"
"90, 13.92, 27.3701"
"91, 12.39, 27.3591"
"92, 10.64, 27.4438"
"93, 3.29, 27.448"
"94, 16, 28.82055"
"95, 18.18, 26.3924"
"96, 25.05, 26.8653"
"97, 14.02, 26.69865"
"98, 15.17, 28.8505"
"99, 30.04, 29.71525"
"100, 28.11, 29.08675"
"101, 25.88, 28.8296"
"102, 30.22, 29.0204"
"103, 23.23, 28.8343"
"104, 29.74, 26.0707"
"105, 28.12, 25.8713"
"106, 20.86, 26.824"
"107, 9.1, 26.562"
"108, 8.07, 26.54195"
"109, 7.86, 27.93705"
"110, 15.98, 28.0493"
"111, 13.02, 28.1897"
"112, 2.83, 28.62225"
"113, 0.58, 27.6051"
"114, 4.69, 28.01405"
"115, 4.79, 27.4905"
"116, -7.85, 25.3228"
"117, -13.14, 25.0662"
"118, -18.6, 28.29835"
"119, -25.93, 27.73615"
"120, -10.51, 27.9848"
"121, -20.15, 27.53185"
"122, -16.97, 27.73885"
"123, -18.74, 26.93815"
"124, -19.69, 28.3537"
"125, -19.03, 28.39025"
"126, -13.77, 27.02735"
"127, -15.35, 28.2761"
"128, -26.54, 29.03795"
"129, -30.6, 29.1027"
"130, -22.63, 30.6686"
"131, -23.89, 31.6671"
"132, -31.03, 30.69315"
"133, -32.27, 30.6837"
"134, -16.86, 31.20355"
"135, -13.08, 29.78515"
"136, -4.76, 30.09145"
"137, -20.68, 30.5722"
"138, -13.8, 31.39735"
"139, -16.01, 31.5479"
"140, -13.71, 32.04325"
"141, -5.18, 30.94975"
"142, -3.97, 31.1613"
"143, -4.05, 32.4787"
"144, -4.34, 31.4677"
"145, 0.67, 30.53575"
"146, 0.67, 29.89285"
"147, -9.12, 29.1508"
"148, -11.67, 30.38535"
"149, -6.93, 30.13885"
"150, -1.64, 29.9343"
"151, -26.09, 30.91615"
"152, -23.59, 29.439"
"153, -29.29, 29.75195"
"154, -14.37, 31.08395"
"155, -20.59, 30.9017"
"156, -25.34, 31.87645"
"157, -22.33, 31.6169"
"158, -25.4, 31.46375"
"159, -18.88, 31.75915"
"160, -23.92, 30.8511"
"161, -8.48, 32.91705"
"162, -7.35, 32.26625"
"163, -1.15, 32.40375"
"164, 6.97, 32.20105"
"165, 23.49, 29.93855"
"166, 19.77, 29.5367"
"167, 15.54, 29.6367"
"168, 24.62, 28.1043"
"169, 22.81, 27.76545"
"170, 16.74, 27.9493"
"171, 15.72, 26.71395"
"172, 18.34, 27.5237"
"173, 18.16, 27.6925"
"174, 8.29, 28.339"
"175, 16.1, 28.4206"
"176, 10.8, 27.52055"
"177, 11.13, 27.80045"
"178, -1.21, 27.64665"
"179, 6.25, 28.7586"
"180, 6.07, 28.8261"
"181, 0.06, 28.65365"
"182, -20.59, 28.6589"
"183, -11.28, 29.10755"
