> 3B2-Genescript
 %Min windows = 39% of gene
 Largest magnitude %Min = -52 at codon 1 
[codon window], [value], [random reverse translation average]
1, -52.17, 28.91815
2, -48.01, 29.06615
3, -46.79, 29.2104
4, -49.55, 29.17865
5, -42.3, 29.33755
6, -45.35, 29.10235
7, -44.27, 29.3833
8, -32.51, 30.1873
9, -31.22, 28.6332
10, -21.7, 28.8853
11, -16.07, 29.20595
12, -21.95, 30.78705
13, -22.74, 30.43855
14, -19.88, 30.2977
15, -15.81, 31.10265
16, -12.15, 30.55995
17, -13.05, 30.4005
18, 1.32, 30.08355
19, -4.73, 30.90845
20, -4.71, 31.3641
21, -5.68, 32.1595
22, -13.34, 32.94975
23, -10.14, 32.165
24, -10.14, 31.4514
25, -28.17, 31.96135
26, -16.91, 33.8401
27, -20.18, 34.2503
28, -15.95, 32.7402
29, 3.37, 33.96325
30, 5.05, 33.8684
31, 5.09, 34.36855
32, 18.37, 33.0006
33, 25.56, 33.41955
34, 20.93, 34.73665
35, 6.75, 35.00115
36, 12.7, 35.61555
37, 12.7, 35.61555
38, 19.93, 35.43655
39, 21.74, 34.84095
40, 21.9, 34.931
41, 23.75, 34.0885
42, 32.55, 32.88285
43, 31.87, 31.70375
44, 33.7, 30.1362
45, 32.13, 31.80525
46, 27.46, 29.023
47, 23.74, 29.56005
48, 25.51, 29.83855
49, 19.68, 30.03295
50, 4.48, 29.8236
51, 10.91, 30.05355
52, 10.91, 29.0786
53, 10.33, 26.7848
54, 8.58, 27.01585
55, 8.58, 27.03365
56, 9.04, 28.7122
57, 5.04, 29.2059
58, 2.68, 29.5418
59, -6.94, 28.7532
60, -8.97, 28.35345
61, -8.7, 28.36645
62, -13.5, 27.2228
63, -22.96, 27.8873
64, -25.08, 27.4029
65, -28.55, 26.2191
66, -34.65, 26.45815
67, -30.59, 25.8297
68, -23.79, 23.7307
69, -12.71, 24.66955
70, -19.25, 24.5798
71, -22.62, 23.71875
72, -31.34, 24.3615
73, -21.17, 21.1048
74, -11.85, 20.71985
75, 0.68, 21.8835
76, 14.55, 24.9479
77, 9.55, 25.61005
78, 11.23, 25.58975
79, 9.71, 25.7581
80, 12.57, 26.0758
81, -0.09, 27.59945
82, 3.74, 30.2936
83, 1.89, 31.235
84, 11.43, 31.62475
85, 17.19, 32.49915
86, 19.53, 32.27175
87, 31.56, 33.7986
88, 30.21, 33.50165
89, 26.87, 32.67575
90, 23.16, 32.92585
91, 17.32, 33.21485
92, 6.63, 33.15085
93, -3.24, 31.3799
94, 0.69, 31.497
95, 0.51, 31.4575
96, 2.21, 31.37505
97, 3.52, 31.4537
98, 16.74, 31.6005
99, 13.53, 32.0496
100, 27.25, 32.06485
101, 24.54, 31.8073
102, 20.43, 30.8832
103, 24.35, 30.2738
104, 16.27, 29.97955
105, 14.09, 29.45995
106, 22.71, 28.8463
107, 17.57, 28.3038
108, 19.28, 30.0632
109, 32.88, 31.2547
110, 31.23, 33.19245
111, 28.33, 32.7932
112, 23.9, 32.2871
113, 24.35, 32.0547
114, 31.57, 30.9016
115, 35.42, 30.22285
116, 35.04, 28.71265
117, 26.66, 27.80255
118, 24.67, 27.09525
119, 18.24, 27.16885
120, 5.08, 27.52135
121, 5.68, 26.9946
122, 9.11, 27.10385
123, 1.2, 28.08175
124, 1.33, 27.77375
125, -2.52, 25.91925
126, -12.89, 24.28255
127, -11.82, 22.0346
128, -5.83, 22.2161
129, -2.23, 22.5295
130, -6.2, 22.7233


