"[codon window], [value], [random reverse translation average]"
"1, 57.6, 31.53365"
"2, 58.51, 30.74055"
"3, 56.91, 30.7725"
"4, 58.91, 31.387"
"5, 58.35, 31.4859"
"6, 55.9, 30.361"
"7, 49.2, 31.5805"
"8, 47.51, 30.12565"
"9, 51.21, 32.01855"
"10, 35.21, 32.92155"
"11, 39.38, 32.30015"
"12, 40.57, 32.2774"
"13, 35.21, 31.88285"
"14, 36.59, 31.9585"
"15, 49.07, 29.89955"
"16, 50.31, 29.5345"
"17, 54.04, 27.83"
"18, 46.19, 28.22465"
"19, 33.71, 29.5335"
"20, 30.47, 28.33935"
"21, 32.18, 28.3277"
"22, 31.3, 28.1015"
"23, 36.38, 27.8026"
"24, 35.97, 28.5757"
"25, 42.69, 27.59295"
"26, 34.81, 25.35205"
"27, 37.3, 24.9181"
"28, 29.28, 25.3469"
"29, 29.82, 25.22335"
"30, 26.91, 24.84125"
"31, 21.12, 24.70245"
"32, 10.31, 23.6075"
"33, 15.16, 26.65965"
"34, 13.89, 26.38205"
"35, 13.89, 26.16525"
"36, 21.18, 26.38785"
"37, 22.64, 28.02255"
"38, 21.68, 28.0541"
"39, 19.64, 28.19785"
"40, 11.61, 28.4346"
"41, 17.9, 26.00885"
"42, 7.48, 26.29945"
"43, 10.51, 26.89695"
"44, 15.71, 26.65035"
"45, 16.38, 27.8552"
"46, 14.05, 28.0416"
"47, 9.24, 27.2481"
"48, 6.86, 26.9858"
"49, 17.4, 29.138"
"50, 13.18, 26.9817"
"51, 15.23, 27.32785"
"52, 16.93, 27.10845"
"53, 9.18, 25.84455"
"54, 8.35, 25.65"
"55, 6.92, 27.40815"
"56, 11.02, 28.60275"
"57, 15.21, 28.48475"
"58, 14.73, 28.0263"
"59, 24.8, 27.6988"
"60, 19.24, 29.58035"
"61, 23.57, 29.8103"
"62, 16.05, 29.3277"
"63, 14.61, 29.66135"
"64, 24.37, 31.596"
"65, 26.38, 32.8776"
"66, 22.26, 31.28345"
"67, 23.99, 31.6066"
"68, 18.75, 33.19295"
"69, 16.27, 33.03625"
"70, 12.51, 34.0984"
"71, 21.46, 35.14305"
"72, 28.01, 34.1547"
"73, 25.95, 33.4055"
"74, 23.63, 33.61985"
"75, 20.08, 34.3925"
"76, 10.74, 36.0299"
"77, 12.7, 33.7412"
"78, 12.25, 34.08785"
"79, 24.97, 33.668"
"80, 32.13, 33.01115"
"81, 24.95, 31.548"
"82, 13.24, 29.26355"
"83, 12.35, 31.6303"
"84, 6.67, 31.27355"
"85, 23.89, 29.6436"
"86, 33.38, 30.40065"
"87, 41.53, 30.1832"
"88, 34.01, 28.6165"
"89, 29.5, 28.75655"
"90, 29.05, 28.3477"
"91, 27.52, 28.42185"
"92, 27.85, 28.4183"
"93, 21.8, 27.4042"
"94, 19.57, 26.92035"
"95, 17.41, 25.34005"
"96, 11.53, 25.46315"
"97, 16.23, 25.86945"
"98, 25.38, 27.34505"
"99, 26.09, 28.95"
"100, 25.2, 26.8652"
"101, 24.81, 26.87505"
"102, 15.99, 26.151"
"103, 5.33, 25.35735"
"104, 3.16, 22.84745"
"105, 4.37, 22.8235"
"106, 18.1, 25.81465"
"107, 10.82, 26.8802"
"108, 9.78, 26.88615"
"109, 9.12, 29.37305"
"110, 13.62, 30.63545"
"111, 16.17, 29.7134"
"112, 14.3, 30.84285"
"113, 13.87, 30.23185"
"114, 6.33, 30.51495"
"115, 3.18, 31.289"
"116, 12.73, 29.46775"
"117, 15.9, 29.13765"
"118, 13.03, 30.4554"
"119, 8.81, 29.99075"
"120, 8.04, 29.8472"
"121, 4.09, 29.37035"
"122, 9.18, 29.6554"
"123, 2.76, 27.76515"
"124, 6.31, 27.5643"
"125, 8.7, 27.5859"
"126, 13.79, 25.05495"
"127, 24.58, 27.12035"
"128, 34.49, 29.83695"
"129, 33.52, 29.54695"
"130, 36.07, 30.0077"
"131, 29.57, 31.2847"
"132, 23.59, 29.82175"
"133, 21.7, 29.83445"
"134, 20.79, 31.13005"
"135, 18.3, 29.93305"
"136, 25.5, 30.1018"
"137, 21.23, 31.83695"
"138, 29.5, 32.4832"
"139, 23.42, 32.3571"
"140, 21.65, 32.85195"
"141, 25.89, 33.0203"
"142, 25.1, 33.2471"
"143, 27.29, 34.35125"
"144, 13.94, 31.83285"
"145, 8.42, 29.9924"
"146, 5.75, 29.42365"
"147, 4.71, 29.27545"
"148, 14.06, 29.11625"
"149, 17.66, 28.85655"
"150, 13.15, 28.72725"
"151, 16.88, 28.9733"
"152, 21.69, 29.3767"
"153, 16.92, 29.95895"
"154, 29.25, 30.1922"
"155, 35.83, 30.5252"
"156, 37.34, 32.00425"
"157, 36.99, 31.8167"
"158, 30.75, 31.83635"
"159, 35.16, 32.2371"
"160, 31.41, 31.51295"
"161, 44.41, 34.06315"
"162, 32.82, 33.70475"
"163, 43.22, 34.26715"
"164, 49.31, 33.7665"
"165, 44.06, 31.0563"
"166, 47.53, 31.23055"
"167, 53.14, 31.2292"
"168, 51.96, 29.6738"
"169, 48.95, 28.39905"
"170, 39.45, 27.6292"
"171, 39.91, 25.8547"
"172, 40.67, 26.7885"
"173, 41.57, 26.6802"
"174, 38.07, 27.47515"
"175, 45.21, 27.61645"
"176, 46.33, 27.2408"
"177, 46.52, 27.43075"
"178, 41.81, 26.83975"
"179, 49.32, 28.2332"
"180, 46.28, 28.2149"
"181, 40.09, 27.9265"
"182, 40.68, 28.70535"
"183, 33.74, 28.6835"
