> HerHC-Thermo
 %Min windows = 0% of gene
 Largest magnitude %Min = 25 at codon 311 
[codon window], [value], [random reverse translation average]
1, 95.52, 31.4232
2, 95.58, 32.4168
3, 95.83, 31.9056
4, 91.44, 32.1825
5, 90.98, 32.5522
6, 91.41, 33.5365
7, 95.76, 34.66095
8, 91.49, 34.06575
9, 91.49, 34.12215
10, 89.04, 33.61245
11, 88.04, 34.6503
12, 80.73, 34.5806
13, 80.4, 34.3542
14, 73.77, 33.1368
15, 73.3, 32.28645
16, 71.46, 31.02665
17, 63.3, 31.5867
18, 57.15, 31.77155
19, 52.3, 30.71175
20, 50.35, 30.9944
21, 58.41, 32.10235
22, 51.6, 31.42785
23, 51.6, 31.8236
24, 49.33, 31.9048
25, 56.56, 33.6366
26, 49.01, 32.21255
27, 56.33, 33.80065
28, 61.38, 32.16955
29, 69.05, 32.06395
30, 68.55, 32.8616
31, 77.92, 32.0406
32, 78.71, 32.65945
33, 80.52, 33.70535
34, 80.52, 33.2756
35, 82.42, 33.5104
36, 75.15, 33.90095
37, 74.69, 34.22085
38, 72.35, 33.3599
39, 80.17, 34.4545
40, 78.35, 33.8812
41, 78.46, 32.74045
42, 78.82, 32.40595
43, 81.66, 32.7793
44, 72.57, 32.57635
45, 62.11, 33.4726
46, 63.96, 33.14705
47, 58.12, 33.2314
48, 55.22, 33.78025
49, 49.5, 33.5813
50, 49.5, 33.0739
51, 52.63, 33.31395
52, 55.33, 32.66635
53, 65.77, 31.7053
54, 66.35, 31.41935
55, 60.56, 31.27965
56, 51.69, 30.0113
57, 48.59, 30.11535
58, 44.01, 29.82305
59, 39.39, 28.2311
60, 39.27, 28.23865
61, 46.59, 26.4881
62, 47.8, 28.2081
63, 44.01, 28.3871
64, 54.91, 27.3639
65, 55.79, 27.36095
66, 57.09, 26.23585
67, 52.42, 24.73995
68, 52.27, 25.30965
69, 54.95, 25.41385
70, 55.82, 27.8513
71, 56.59, 29.4267
72, 56.75, 28.53235
73, 56.75, 28.60895
74, 56.75, 28.4673
75, 54.04, 29.1787
76, 57.06, 28.91455
77, 57.15, 28.821
78, 54.78, 28.82995
79, 60.94, 27.74985
80, 63.8, 27.51755
81, 63.12, 29.13545
82, 61.72, 29.7126
83, 64.89, 30.6306
84, 67.39, 31.8879
85, 71.82, 31.23075
86, 70.85, 32.24175
87, 65.17, 29.8251
88, 61.42, 28.24925
89, 71.39, 30.0106
90, 78.85, 30.5304
91, 85.46, 29.96615
92, 96.36, 29.4413
93, 95.9, 30.445
94, 96.32, 31.4148
95, 87.28, 31.7651
96, 88.35, 32.9214
97, 88.11, 33.6219
98, 88.37, 31.1665
99, 89.42, 30.3149
100, 89.18, 29.066
101, 89.18, 26.70255
102, 89.67, 27.7063
103, 83.22, 27.5868
104, 87.26, 28.2205
105, 82.6, 28.0513
106, 82.03, 27.9886
107, 82.27, 27.7569
108, 83, 29.27055
109, 83.73, 30.21335
110, 84.77, 29.73785
111, 84.77, 29.0552
112, 90.21, 28.82095
113, 90, 28.84685
114, 90.44, 28.4939
115, 90.29, 29.25665
116, 82.42, 30.809
117, 76.94, 30.3194
118, 76.87, 30.7785
119, 75.57, 30.59685
120, 75.57, 30.19325
121, 74.81, 30.22815
122, 74.81, 30.0345
123, 75.27, 29.88735
124, 76.66, 30.91165
125, 76.26, 30.2721
126, 77.03, 30.40325
127, 77.36, 31.76145
128, 77.97, 31.15745
129, 79.11, 31.88795
130, 78.39, 31.12465
131, 78.39, 31.136
132, 78.15, 31.10405
133, 84.8, 29.91295
134, 83.9, 30.08445
135, 82.88, 30.24545
136, 80.49, 30.30425
137, 85.48, 31.14045
138, 79.16, 30.14245
139, 84.38, 31.62285
140, 84.38, 30.62955
141, 78.25, 29.777
142, 78.68, 29.27805
143, 78.31, 27.46265
144, 76.07, 26.04535
145, 72.86, 26.63505
146, 72.74, 24.4574
147, 74.88, 25.5943
148, 74.3, 27.2728
149, 75.27, 26.4054
150, 76.5, 26.80785
151, 84.92, 27.2362
152, 85.97, 28.9858
153, 81.19, 29.49655
154, 78.49, 28.76095
155, 84.72, 29.5358
156, 84.1, 28.34545
157, 83.72, 29.98445
158, 89.74, 30.66315
159, 81.4, 30.8936
160, 82.02, 30.1302
161, 82.56, 29.8522
162, 83.59, 29.6383
163, 83.59, 29.6467
164, 83.59, 30.25025
165, 73.87, 29.01425
166, 71.39, 29.66045
167, 71.8, 29.28335
168, 72.7, 28.60905
169, 67.65, 27.2961
170, 70.2, 26.61445
171, 66.35, 26.9961
172, 66.88, 26.48435
173, 63.6, 26.94065
174, 64.28, 25.779
175, 61.39, 26.1651
176, 68.19, 26.2125
177, 67.25, 26.9788
178, 63.86, 26.6648
179, 64.86, 26.38185
180, 64.96, 27.8263
181, 64.43, 26.42815
182, 72.03, 26.04605
183, 68.62, 26.4297
184, 66.84, 26.5899
185, 58.5, 27.68865
186, 59.09, 27.51785
187, 61.85, 27.7454
188, 61.85, 27.2988
