"[codon window], [value], [random reverse translation average]"
"1, 29.59, 31.8372"
"2, 31.42, 32.3002"
"3, 34.86, 31.3838"
"4, 29.23, 31.08775"
"5, 29.79, 29.7992"
"6, 19.3, 29.5869"
"7, 18.5, 30.95105"
"8, 12.04, 29.7827"
"9, 17.06, 30.3467"
"10, 20.92, 30.31095"
"11, 24.34, 30.38245"
"12, 27.56, 29.87575"
"13, 26.93, 28.15845"
"14, 27.91, 27.8776"
"15, 34.15, 28.3182"
"16, 28.9, 26.2163"
"17, 17.88, 25.35895"
"18, 15.75, 25.4256"
"19, 25.85, 24.6792"
"20, 35.55, 27.087"
"21, 34.79, 26.7458"
"22, 43.6, 26.6638"
"23, 54.45, 27.3254"
"24, 58.86, 24.9653"
"25, 55.79, 25.3748"
"26, 44.67, 24.724"
"27, 35.55, 24.1823"
"28, 29.97, 24.77915"
"29, 20.04, 25.88445"
"30, 24.63, 26.1963"
"31, 29.25, 28.00505"
"32, 19.9, 27.7611"
"33, 15.15, 29.2496"
"34, 16.32, 28.09665"
"35, 15, 28.4221"
"36, 4.35, 27.244"
"37, -6.56, 25.1887"
"38, -5.49, 25.23395"
"39, -5.49, 25.47845"
"40, -7.82, 25.9171"
"41, 5.15, 26.2834"
"42, 2.11, 27.19405"
"43, 2.95, 27.7867"
"44, 0.66, 28.92965"
"45, 2.56, 28.1953"
"46, 7.1, 27.79205"
"47, 6.77, 29.1463"
"48, 4.35, 27.2636"
"49, 4.66, 26.55965"
"50, 4.66, 25.97415"
"51, 7.59, 25.97265"
"52, 12.56, 25.96585"
"53, 15.72, 25.5384"
"54, 14.9, 25.7993"
"55, 16.72, 26.13995"
"56, 10.89, 26.85305"
"57, 5.67, 26.5159"
"58, -5.49, 25.948"
"59, -1.68, 24.42145"
"60, -1.69, 26.24365"
"61, 1.38, 25.1539"
"62, -0.79, 25.44465"
"63, -2.64, 25.63615"
"64, -2.67, 24.8006"
"65, -11.48, 25.59915"
"66, 1.46, 26.3128"
"67, -2.17, 26.26075"
"68, -7.56, 26.0966"
"69, -12.23, 25.78745"
"70, -14.22, 25.64545"
"71, -9.43, 25.3928"
"72, -4.42, 26.2343"
"73, -6.81, 26.4456"
"74, -7.13, 26.79515"
"75, -8.19, 27.02405"
"76, -12.09, 27.4882"
"77, -12.09, 27.61915"
"78, -10.16, 27.63535"
"79, -14.71, 27.65435"
"80, -16.4, 27.6875"
"81, -2.72, 28.05175"
"82, 2.45, 28.11595"
"83, 2.37, 27.6058"
"84, 15.91, 26.81215"
"85, 14.28, 27.197"
"86, 14.89, 27.0508"
"87, 23.76, 28.812"
"88, 19.95, 30.49775"
"89, 23.49, 29.1631"
"90, 23.65, 28.0982"
"91, 26.52, 27.93845"
"92, 28.36, 28.22685"
"93, 40.12, 27.89495"
"94, 44.68, 26.0102"
"95, 41.91, 26.11885"
"96, 44.64, 26.6241"
"97, 52.07, 26.46465"
"98, 48.32, 25.24985"
"99, 49.8, 24.93865"
"100, 40.92, 24.18925"
"101, 36.05, 24.37115"
"102, 37.54, 23.7015"
"103, 37.32, 24.82705"
"104, 22.82, 24.41095"
"105, 27.39, 22.55195"
"106, 19.45, 23.74355"
"107, 21.35, 24.00935"
"108, 22.12, 23.86645"
"109, 27.78, 25.22275"
"110, 19.59, 27.3173"
"111, 27.02, 27.49875"
"112, 33.01, 26.9345"
"113, 32.37, 26.76225"
"114, 17.7, 28.3119"
"115, 16.21, 29.2464"
"116, 17.7, 31.0819"
"117, 17.86, 34.0967"
"118, 14.38, 34.5139"
"119, 19.2, 35.35085"
"120, 14.09, 34.8906"
"121, 27.14, 34.23545"
"122, 23.42, 34.0703"
"123, 23.38, 33.53295"
"124, 21.99, 34.19115"
"125, 14.97, 34.10455"
"126, 8.6, 33.46085"
"127, 10.83, 32.09445"
"128, 0.37, 32.23"
"129, -6.04, 32.9544"
"130, -6.04, 32.404"
"131, -7.82, 31.2929"
"132, -8.87, 30.6835"
"133, -14.88, 28.90995"
"134, -16.82, 26.1156"
"135, -19.04, 25.137"
"136, -19.5, 22.60765"
"137, -19.86, 22.467"
"138, -16, 24.1694"
"139, 5.98, 23.6643"
"140, 21.33, 23.44765"
"141, 24.38, 23.5823"
"142, 35.32, 22.595"
"143, 35.32, 22.62025"
"144, 37.06, 23.59145"
"145, 29.87, 23.95225"
"146, 27.65, 24.3034"
"147, 33.4, 24.81785"
"148, 43.78, 24.3477"
"149, 41.21, 24.4187"
"150, 37.8, 25.64385"
"151, 40.39, 25.50205"
"152, 35.74, 25.3886"
"153, 33.09, 25.7819"
"154, 41.34, 24.7049"
"155, 35.43, 22.37315"
"156, 18.42, 22.6601"
"157, 8.43, 22.5319"
"158, 1.61, 23.149"
"159, -1.4, 22.9373"
"160, -9.48, 23.18505"
"161, -16.1, 24.45645"
"162, -0.26, 26.55265"
"163, 10.52, 26.1834"
"164, 13.38, 25.87265"
"165, 10.36, 25.66805"
"166, 10.56, 26.98295"
"167, 9.92, 25.1004"
"168, 6.84, 25.60415"
"169, 14.04, 25.51035"
"170, 16.17, 27.1373"
"171, 13.93, 27.4552"
"172, 11.45, 27.6779"
"173, 17.16, 28.8992"
