"[codon window], [value], [random reverse translation average]"
"1, 27.36, 31.50905"
"2, 18.36, 31.6774"
"3, 12.67, 30.775"
"4, 5.73, 30.8622"
"5, -3.46, 29.92405"
"6, -20, 30.29575"
"7, -16.53, 31.43285"
"8, -10.06, 30.2493"
"9, -15.47, 30.40635"
"10, -15.97, 30.7801"
"11, -10.4, 31.33575"
"12, -13.8, 31.19145"
"13, -9.34, 29.7671"
"14, -11.05, 29.3952"
"15, -15.05, 29.06245"
"16, -19.53, 27.15485"
"17, -21.2, 26.5322"
"18, -24.03, 26.5209"
"19, -6.03, 25.4386"
"20, -1.89, 27.9565"
"21, -2.49, 27.6061"
"22, -2.08, 27.3603"
"23, -7.17, 27.9486"
"24, -27.11, 25.7051"
"25, -28.28, 25.79995"
"26, -29.46, 26.0377"
"27, -30, 25.08885"
"28, -28.8, 25.1709"
"29, -17.28, 25.4051"
"30, -24.61, 26.00065"
"31, -26.32, 28.28485"
"32, -26.66, 28.22055"
"33, -20.23, 28.3487"
"34, -17.19, 26.1549"
"35, -14.75, 26.2981"
"36, -27.3, 25.25455"
"37, -20.87, 22.69415"
"38, -3.98, 22.88935"
"39, -3.98, 23.3219"
"40, -6, 22.7738"
"41, -4.59, 23.03875"
"42, -10.2, 25.172"
"43, -3.93, 25.9394"
"44, 1.55, 27.39855"
"45, -4.09, 27.17445"
"46, -9.83, 27.11605"
"47, -8.98, 28.43095"
"48, -0.3, 26.65505"
"49, 6.56, 26.2774"
"50, 6.56, 26.5589"
"51, 1.06, 26.97305"
"52, -3.38, 27.31465"
"53, -7.29, 27.0884"
"54, -6.08, 26.61605"
"55, -18.88, 27.0019"
"56, -14.77, 26.57485"
"57, -12.87, 26.52015"
"58, 3.85, 25.9063"
"59, 0.65, 24.82735"
"60, 0.66, 25.6405"
"61, -8.56, 24.83085"
"62, 0.77, 25.6914"
"63, -6.61, 25.5777"
"64, -7.11, 24.56495"
"65, 2.4, 24.8787"
"66, 6.01, 24.937"
"67, 3.24, 24.17955"
"68, 7.25, 24.12565"
"69, 10.14, 23.8207"
"70, 9.85, 23.89455"
"71, 6.37, 24.1238"
"72, 8.96, 24.8122"
"73, 7.73, 25.20205"
"74, 7.5, 25.8483"
"75, -3.47, 26.3422"
"76, -3.47, 25.67125"
"77, -3.47, 26.20225"
"78, -3.81, 25.83355"
"79, -7.36, 25.38575"
"80, 1.62, 25.33665"
"81, 10.91, 26.6734"
"82, 1.26, 26.93335"
"83, -16.62, 27.39695"
"84, 3.34, 27.3472"
"85, -4.01, 28.14295"
"86, -5.08, 28.1003"
"87, -13.12, 30.0154"
"88, -9.04, 30.0535"
"89, -3.26, 29.07115"
"90, -4.46, 28.7317"
"91, -6.02, 28.4751"
"92, -3.58, 28.50155"
"93, 2.42, 28.5039"
"94, 2.12, 26.659"
"95, 6.99, 26.60095"
"96, 1.38, 26.1549"
"97, -0.93, 26.3659"
"98, -16.76, 24.5038"
"99, -21.88, 24.25205"
"100, -20.47, 23.81995"
"101, -33.19, 23.8421"
"102, -22.85, 22.58195"
"103, -26.5, 24.04965"
"104, -7.3, 22.87665"
"105, -1.96, 22.30065"
"106, -13.26, 23.12115"
"107, -8.96, 22.01295"
"108, -2.8, 21.6347"
"109, 0.76, 24.0203"
"110, 10.8, 25.8514"
"111, 10.17, 25.6366"
"112, 9.77, 25.92115"
"113, 19.69, 26.24955"
"114, 16.44, 27.36885"
"115, 23.84, 28.0884"
"116, 29.57, 29.2613"
"117, 30.21, 31.10665"
"118, 26.4, 31.5416"
"119, 17.11, 32.96105"
"120, 19.1, 32.3902"
"121, 11.46, 32.49315"
"122, 7.44, 32.45845"
"123, 9.39, 31.99285"
"124, 14.43, 34.202"
"125, 13.3, 34.04875"
"126, 10.1, 32.60435"
"127, 2.15, 31.56665"
"128, 1.14, 32.3344"
"129, -1.2, 32.36405"
"130, -1.2, 32.37005"
"131, 5.19, 31.4039"
"132, -4.6, 31.0811"
"133, -8.41, 29.29535"
"134, -0.82, 27.248"
"135, -1.45, 26.6081"
"136, 16.18, 23.42205"
"137, 28.17, 22.2241"
"138, 44.63, 24.72825"
"139, 38.88, 24.0355"
"140, 24.44, 23.89415"
"141, 22.54, 23.65815"
"142, 25.48, 22.69535"
"143, 25.48, 22.61985"
"144, 13.75, 23.8049"
"145, 12.84, 23.59015"
"146, 9.16, 24.4875"
"147, 6.3, 24.39995"
"148, 7.85, 24.04405"
"149, 5.57, 24.12535"
"150, 4.1, 26.07035"
"151, 4.56, 25.82895"
"152, 1.09, 25.53945"
"153, -4.43, 26.12335"
"154, -16.69, 26.5724"
"155, -40.38, 24.0988"
"156, -45.66, 24.515"
"157, -42.03, 24.26115"
"158, -41.66, 25.3226"
"159, -39.7, 25.5626"
"160, -41.4, 25.79715"
"161, -13.74, 25.9284"
"162, 1.38, 26.8924"
"163, -1.5, 27.1231"
"164, 2.21, 27.16805"
"165, 2.21, 27.3523"
"166, -0.79, 28.5991"
"167, 0.81, 27.2372"
"168, -2.44, 27.1341"
"169, 5.53, 27.14015"
"170, 0.34, 28.56235"
"171, -0.98, 28.6134"
"172, 1.86, 28.60015"
"173, -0.16, 30.18335"
