[codon window]	 [value]	 [random reverse translation average]
1	10.45	28.6565
2	10.84	25.73
3	14	25.46265
4	14.78	27.16975
5	18.54	28.12515
6	9.33	29.01495
7	7.22	28.64605
8	-0.57	27.7929
9	-0.15	29.36315
10	-11.79	27.89305
11	-11.86	29.80825
12	-13.97	29.93015
13	-20.06	29.97605
14	-35.58	30.47635
15	-32.91	28.4014
16	-24.24	28.88845
17	-27.38	29.65165
18	-33.38	30.6078
19	-30.07	30.4334
20	-27.37	30.3932
21	-34.61	28.8804
22	-34.58	27.92595
23	-29.31	27.27295
24	-19.74	27.9421
25	6.94	26.48995
26	6.97	23.0195
27	4.58	23.1949
28	0.13	19.4207
29	3.52	19.82315
30	4.53	21.28605
31	1.89	19.2833
32	8.61	19.96255
33	15.85	22.5278
34	12.35	22.04695
35	27.24	21.16705
36	23.99	21.72765
37	28.58	22.41825
38	41.54	24.5286
39	43.22	23.98515
40	43.06	24.34685
41	33.49	23.8543
42	32.03	25.9463
43	38.52	26.7813
44	39.91	26.73615
45	43.07	27.33465
46	51.14	27.3259
47	56	26.06345
48	66.48	27.0742
49	50.41	27.81575
50	45.2	26.0847
51	51.57	27.05755
52	34.89	26.3543
53	37.67	25.99225
54	32.39	27.5493
55	19.16	26.02965
56	17.02	26.5505
57	12.02	26.3162
58	19.94	27.1629
59	8.7	25.7805
60	3.62	25.97365
61	1.87	27.18575
62	3.23	27.31795
63	10.27	26.17635
64	16.68	27.58825
65	7.62	27.08635
66	19.65	26.5182
67	19.48	26.48975
68	20.97	27.3268
69	32.14	27.3474
70	31.24	27.584
71	37.01	27.2468
72	44.31	27.3513
73	41.72	27.63965
74	54.91	28.2077
75	49.33	29.44575
76	50.59	29.17985
77	50.36	28.76285
78	51.4	26.87105
79	55.46	28.12545
80	50.34	29.47945
81	50.34	29.66605
82	55.75	30.29805
83	44.51	29.90895
84	41.23	30.0862
85	34.68	27.83275
86	42.57	27.88565
87	45.26	27.3288
88	34.85	25.64965
89	32.54	25.779
90	38.89	24.78615
91	30.2	23.52725
92	33.23	20.5516
93	38.57	23.34695
94	45.15	23.8807
95	43.97	23.95695
96	30.99	23.1854
97	37.13	26.3945
98	23.29	22.2389
99	20.92	22.46425
100	33.64	24.7729
101	27.55	26.09795
102	22.43	26.2922
103	10.01	26.5047
104	2.43	26.6674
105	2.45	26.6669
106	1.03	26.89525
107	-2.18	27.5397
108	8.46	28.2957
109	17.12	29.4907
110	13.4	28.195
111	14.9	28.1787
112	12.48	28.81665
113	18.57	28.1773
114	12.19	25.80255
115	9.62	26.9894
116	10.58	27.3669
117	-0.99	25.25655
118	22.96	22.36455
119	25.92	22.1189
120	27.68	21.30045
121	33.7	21.2027
122	31.93	21.3582
123	30.31	21.31245
124	32.29	21.42135
125	34.02	22.55305
126	20.57	21.6882
127	19.98	24.63235
128	16.43	26.77315
129	20.11	27.044
130	26.05	28.17395
131	22.18	28.63115
132	27.97	29.18525
133	29.25	29.06375
134	35.95	30.69045
135	31.29	33.5845
136	36.19	32.98675
137	46.26	32.27205
138	41.43	31.9622
139	45.43	32.50705
140	47.43	32.33445
141	40.51	33.23355
142	33.35	32.63265
143	43.3	33.74405
144	46.99	32.7266
145	54.33	30.9391
146	49.21	32.2122
147	41.1	32.55085
148	43.22	32.51195
149	39.85	33.20575
150	36.47	32.6634
151	30.5	31.7064
152	26.85	30.95135
153	18.98	31.3028
154	5.84	33.39595
155	7.43	34.52615
156	13.24	34.6132
157	13.37	34.50955
158	3.24	34.5377
159	3.71	35.1122
160	-6.46	33.71445
161	-6.07	32.5571
162	4.76	31.01445
163	11.4	30.85025
164	10.44	29.3741
165	4.19	29.0712
166	7.76	28.50115
167	7.76	28.1847
168	5.77	27.4343
169	12.6	28.1095
170	18.57	27.93535
171	22.14	26.1425
172	25.13	26.5073
173	23.6	26.08135
174	28.93	27.8371
175	33.07	26.83595
176	33.33	26.08635
177	37.92	26.5818
178	40.8	26.41055
179	29.46	27.68405
180	32.18	28.05165
181	40.51	27.90515
182	46.69	27.9589
183	43.09	28.0503
184	43.73	29.66135
185	40.8	30.29755
186	30.83	29.091
187	30.68	29.14945
188	26.88	29.78305
189	26.71	28.38125
190	31.31	29.94175
191	20.67	27.84215
192	34.63	28.9013
193	44.21	30.2562
194	36.67	29.9719
195	39.69	30.1031
196	50.02	31.1246
197	44.72	30.0251
198	32.08	32.0288
199	39.76	31.6356
200	37.08	32.0021
201	33.1	32.72905
202	32.84	32.05765
203	36.18	32.4842
204	29.69	32.69855
205	28.55	33.9052
206	28.55	33.7611
207	24.82	33.35735
208	26.74	33.6959
209	26.59	33.8202
210	15.93	32.5309
211	18.5	32.36345
212	7.62	33.122
213	1.96	32.08415
214	9.04	31.7367
215	11.6	30.57845
216	5.92	30.80035
217	5.75	29.28925
218	8.65	27.33125
219	19.28	28.23555
220	21.93	27.94365
221	23.38	27.00455
222	24.73	25.78715
223	21.93	25.9054
224	26.14	24.66015
225	28.67	24.7282
226	19.66	23.82375
227	19.66	24.0083
228	19.59	24.3285
229	32.93	23.1091
230	31.32	23.1561
231	25.84	24.53645
232	20.45	23.6156
233	10.03	23.7213
234	6.69	23.46925
235	11.52	22.7398
236	6.36	22.0573
237	12.5	23.6727
238	18.33	23.789
239	23.22	22.72985
240	22.62	25.2517
241	23.83	27.03815
242	26.01	26.94305
243	24.04	25.4352
244	24.84	26.42035
245	24.99	26.33685
246	23.14	26.1346
247	20	26.93915
248	19.31	25.88635
249	19.91	25.8115
250	28.46	26.03815
251	40.02	27.046
252	31.73	27.2933
253	36.66	27.3191
254	35.47	27.3768
255	30.98	28.14325
256	27.9	28.3007
257	28.93	26.21745
258	16.93	24.74385
259	14.87	24.7437
260	21.32	25.12315
261	26.53	23.7617
262	26.32	24.1437
263	22.35	23.641
264	27.85	22.35725
265	32.25	24.1056
266	32.33	25.4409
267	41.71	25.2209
268	41.52	25.03475
269	48.26	25.23465
270	38.36	24.88225
271	30.74	23.406
272	33.81	23.00325
273	21.96	23.54635
274	32.93	26.2336
275	41.82	26.03585
276	35.65	26.7169
277	35.65	26.81815
278	35.15	26.51065
279	28.32	25.25795
280	35.77	25.365
281	34.65	25.32905
282	34.65	24.626
283	47.8	26.542
284	42.13	27.5758
285	33.73	26.61995
286	26.39	27.90075
287	36.74	28.00755
288	33.4	27.8536
289	28.83	28.58
290	35.35	29.5091
291	24.22	28.0587
292	22.82	28.17655
293	19.03	27.69705
294	12.64	27.6381
295	13.05	27.18585
296	15.46	27.7197
297	8.84	27.4865
298	15.48	27.30235
299	12.01	26.8243
300	4.83	25.01255
301	0.56	24.6755
302	-0.16	25.36685
303	14.37	26.6734
304	9.65	26.44195
305	10.74	27.5214
306	14.85	25.95565
307	20.94	22.79005
308	18.42	23.73955
309	18.42	23.7834
310	38.62	23.8905
311	44.17	26.02505
312	46.22	26.7372
313	46.46	27.10595
314	60.59	27.2435
315	54.55	27.43035
316	47.45	27.2483
317	44.89	27.3744
318	52.15	28.81535
319	58.45	31.0414
320	48.07	30.66375
321	44.63	31.03375
322	49.97	31.4047
323	43.07	31.5293
324	39.38	32.3692
325	45.86	31.8484
326	49.81	31.67685
327	47.92	31.44175
328	54.97	29.80925
329	59.92	29.44445
330	55.44	29.464
331	54.74	31.40035
332	50.36	30.40955
333	43.28	30.90425
334	44.77	30.8538
335	43.3	29.93495
336	39.01	28.1616
337	44.15	26.56385
338	48.33	26.57695
339	50.55	25.7974
340	50.17	26.2847
341	47.43	26.09085
342	47.96	26.096
343	44.83	26.067
344	41.29	26.5003
345	40.19	27.7187
346	29.12	28.87125
347	29.3	29.35225
348	24.78	27.03865
349	23.02	29.3477
350	35.41	28.5984
351	36.72	28.30065
352	32.76	28.67885
353	30.73	28.6695
354	25.1	30.3476
355	20.7	30.5268
356	7.14	31.02475
357	10.19	30.5821
358	19.52	30.7096
359	25.27	29.6784
360	21.78	29.52735
361	22	28.9255
362	14.3	30.1015
363	14.76	28.12245
364	27.62	26.83205
365	18.18	27.1029
366	28.49	24.25595
367	23.38	25.8726
368	23.69	26.4566
369	21.35	26.3341
370	33.47	26.67995
371	32.69	25.5592
372	32.69	25.4398
373	36.18	24.63705
374	35.57	24.9342
375	33.45	25.3558
376	24.9	26.03135
377	23.27	26.1488
378	23.16	26.32995
379	23.69	23.44725
380	21.82	22.82585
381	4.96	22.5575
382	18.55	25.1075
383	10.83	25.1666
384	14.94	23.56685
385	12.67	23.009
386	11.59	23.06305
387	0.86	22.3573
388	1.39	20.788
389	-0.47	23.1214
390	-1.36	22.78725
391	-2.74	22.81275
392	-5.68	22.44615
393	9.06	24.51315
394	9.41	24.10095
395	7.21	24.92055
396	5.52	24.9596
397	11.01	24.67175
398	25.28	25.01885
399	20.3	24.9229
400	19.89	25.2488
401	16.17	25.54605
402	21.56	25.8445
403	27.75	25.7556
404	20.72	27.1762
405	25.73	27.05735
406	24.26	25.9084
407	27.85	26.77105
408	27.42	26.97635
409	36.25	27.3292
410	29.1	26.0117
411	36.42	27.0468
412	38.09	26.7238
413	29.92	26.4943
414	29.82	27.883
415	25.67	28.04545
416	18.34	25.85565
417	23.23	27.1213
418	27.22	27.1713
419	23.15	26.93145
420	19.69	27.2339
421	22.6	26.16175
422	16.06	26.03145
423	20.01	26.3921
424	28.06	27.29545
425	35.29	26.86175
426	36.32	28.5086
427	35.01	28.44005
428	18.45	29.26355
429	19.32	29.44795
430	18.72	32.1442
431	17.55	31.2634
432	12.82	32.4423
433	24.47	34.072
434	26.59	32.1628
435	25.15	32.47835
436	35.94	29.71425
437	29.89	28.0225
438	38.65	27.22125
439	36.47	27.3955
440	30.83	26.5169
441	27.18	25.28865
442	27.4	25.80325
443	28.87	23.0844
444	31.68	23.14865
445	44.61	21.0634
