>hGCSF_Genescript 
 %Min windows = 56% of gene
 Largest magnitude %Min = -61 at codon 11 
[codon window], [value], [random reverse translation average]
1, -12.04, 28.49675
2, -12.07, 27.26765
3, -0.47, 27.59025
4, -5.77, 26.22435
5, -15.99, 26.8645
6, -33.68, 25.488
7, -43.85, 25.99325
8, -52.46, 26.08495
9, -61.12, 27.47295
10, -49.33, 26.14035
11, -61.18, 27.94095
12, -58.52, 29.23925
13, -51.03, 30.7499
14, -43.94, 31.7939
15, -44.84, 32.85375
16, -45.97, 32.98145
17, -46.1, 32.53595
18, -38.93, 32.248
19, -37.84, 32.00395
20, -46.69, 30.7855
21, -50.23, 30.8176
22, -47.69, 29.34445
23, -41.56, 30.4364
24, -27.08, 29.6048
25, -24.84, 29.6444
26, -16.42, 28.7361
27, -20.47, 28.20045
28, -11.79, 26.6712
29, -15.14, 25.02765
30, -24.89, 23.97895
31, -20.58, 23.34125
32, -20.21, 22.76515
33, 2.31, 21.7933
34, 12.22, 22.2229
35, 24.72, 22.0963
36, 22.67, 21.904
37, 22.41, 24.3182
38, 25.08, 24.65235
39, 21.28, 24.5723
40, 31.5, 23.31805
41, 28.3, 24.92355
42, 26.5, 25.9675
43, 29.1, 27.1614
44, 32.37, 27.6513
45, 21.05, 28.47585
46, 23.82, 29.76965
47, 36.27, 28.70675
48, 28.82, 28.613
49, 26.51, 28.48815
50, 18.47, 29.57935
51, 14.88, 30.5339
52, 6.41, 31.10465
53, 13.55, 32.4072
54, 26.25, 32.30265
55, 24.72, 31.56575
56, 23.62, 31.7217
57, 10.51, 31.5185
58, -0.04, 31.05185
59, 3.45, 30.9572
60, -0.31, 30.17985
61, -1.16, 29.53345
62, 7.96, 28.30905
63, 2.65, 26.81705
64, -16.54, 26.75405
65, -10.25, 26.9883
66, 3.52, 27.42165
67, 0.36, 28.1222
68, -10.1, 27.09365
69, -10.06, 26.68075
70, -20.59, 26.35155
71, -33.52, 25.2237
72, -30.19, 25.57485
73, -14.79, 26.78
74, 2.91, 26.77435
75, 7.17, 26.21405
76, 1.63, 25.35355
77, -0.12, 26.3891
78, -3.89, 26.00475
79, -2.5, 26.16475
80, 3.79, 27.55365
81, 15.66, 28.4138
82, 13.21, 27.6836
83, 2.77, 28.66485
84, 9.56, 27.5404
85, 11.49, 27.74865
86, 4.64, 29.1475
87, 14.72, 29.96535
88, 13.64, 30.06785
89, 10.17, 29.9976
90, 1.45, 28.6915
91, -10.37, 29.5187
92, -10.37, 28.5204
93, -10.37, 28.4061
94, -10.76, 26.73325
95, -2.66, 27.39605
96, 2.1, 26.80075
97, -1.56, 26.559
98, -14.3, 25.3118
99, -15.21, 25.76845
100, -8.14, 25.1098
101, -11.54, 25.6943
102, -13.81, 26.06815
103, -7.64, 24.5375
104, -14.5, 23.6806
105, -11.22, 23.4442
106, -7.33, 22.5975
107, -3.07, 23.1914
108, -6.88, 22.5567
109, 2.15, 23.04755
110, 5.29, 23.50215
111, 0.91, 25.7243
112, -3.88, 25.798
113, -25.95, 28.62955
114, -33.69, 28.1744
115, -14.74, 30.81775
116, -13.28, 29.58525
117, -10.33, 29.66455
118, -14.36, 30.6641
119, -14.36, 30.4586
120, -18.51, 30.6149
121, -25.14, 31.8224
122, -28.29, 32.7029
123, -33.56, 33.30705
124, -27.77, 34.19395
125, -23.51, 35.11235
126, -25.91, 35.24185
127, -14.82, 35.97985
128, -14.89, 34.41385
129, -13.24, 34.9671
130, -6.15, 33.9349
131, 2.91, 33.244
132, -11.61, 33.37755
133, -11.05, 35.9945
134, -14.93, 36.59725
135, -2.26, 36.7557
136, 10.56, 37.3967
137, 9.19, 37.32015
138, 14.2, 35.66995
139, 12.7, 34.32535
140, 4.79, 34.8756
141, 8.11, 33.28255
142, 10.09, 32.6458
143, 8.24, 31.94485
144, -2.09, 31.1894
145, 1.4, 31.4266
146, 2.3, 30.4994
147, 11.97, 29.97415
148, 11.77, 29.795
149, 11.31, 29.05825
150, 7.64, 27.53585
151, 8.18, 26.14915
152, -2.75, 26.20955
153, -14.89, 25.1008
154, 4.07, 24.72285
155, 4.02, 25.73135
156, 7.6, 26.18105
157, 14.64, 24.6393
158, 15.91, 25.8026
159, 11.89, 25.8571


