> HerHC-Genscript
 %Min windows = 58% of gene
 Largest magnitude %Min = -56 at codon 299 
[codon window], [value], [random reverse translation average]
1, 1.75, 27.48295
2, -6.79, 28.6348
3, -9.65, 28.07135
4, -8.3, 27.90935
5, -2.05, 28.2872
6, 0.41, 29.1574
7, -10.67, 31.1246
8, -19.38, 30.2627
9, -24.35, 29.8327
10, -19.99, 29.0098
11, -21.06, 29.735
12, -16.27, 30.06845
13, -11.01, 30.1063
14, -22.28, 28.86
15, -9.28, 27.5765
16, -0.51, 26.72935
17, -18.99, 27.2967
18, -37.09, 28.2338
19, -38.67, 26.7628
20, -37.15, 26.9444
21, -30.97, 29.1012
22, -36.63, 28.81115
23, -22.01, 28.7107
24, -4.61, 27.579
25, 11.93, 29.45215
26, 6.75, 29.0876
27, 1.95, 30.41375
28, -2.31, 30.24685
29, 2.51, 29.55655
30, 0.92, 29.9376
31, -0.11, 30.85965
32, -21.04, 31.21875
33, -26.21, 33.2078
34, -6.58, 32.5494
35, -6.29, 32.56095
36, -1.82, 33.37275
37, 8.46, 33.75415
38, 10.11, 33.0738
39, 8.25, 34.0526
40, -2.32, 33.31015
41, 1.16, 32.67945
42, -9.79, 32.4148
43, -8.97, 32.50475
44, -14.42, 31.74425
45, -4.29, 31.6961
46, -9.89, 30.97795
47, -12.88, 30.6233
48, -5.38, 30.48515
49, -2.04, 31.19015
50, 12.67, 30.2448
51, 6.2, 30.45065
52, 6.93, 31.1296
53, 2.47, 30.05425
54, -6.66, 29.70035
55, -6.26, 30.3982
56, 3.4, 28.9453
57, 4.17, 29.44295
58, -8.01, 29.42685
59, -10.02, 28.26805
60, -9.79, 28.26675
61, 1.1, 27.58375
62, -4.07, 28.6269
63, -3.97, 29.36835
64, 11.26, 28.7909
65, 12.99, 28.70015
66, 21.17, 28.03665
67, 12.59, 26.345
68, 5.06, 26.7861
69, 4.18, 25.845
70, 2.83, 27.3418
71, -6.98, 28.522
72, -12.53, 27.03465
73, -12.53, 27.2721
74, -13.28, 26.99025
75, 5.39, 28.546
76, 3.74, 28.63515
77, 3.54, 28.5429
78, 4.86, 28.74015
79, 7.57, 28.084
80, 8.82, 27.7695
81, -10.4, 30.7792
82, -16.43, 31.1681
83, -24.38, 31.75185
84, -18.81, 32.419
85, -17.71, 32.05025
86, -26.02, 33.899
87, -25.83, 32.30805
88, -16.1, 32.033
89, -23.34, 34.2421
90, -30.17, 35.06655
91, -25.09, 34.30875
92, -44.74, 32.6902
93, -43.29, 33.33385
94, -23, 35.1301
95, -17.53, 34.697
96, -25.57, 35.2667
97, -26.99, 35.7518
98, -21.67, 32.87895
99, -24.12, 31.7408
100, -14.85, 31.1832
101, -21.22, 29.96755
102, -17.18, 30.1058
103, -6.79, 27.15155
104, -5.38, 28.6551
105, -3, 28.2739
106, 6.18, 26.905
107, 7.47, 26.61265
108, 6.87, 28.91635
109, 2.9, 29.58415
110, 4.3, 28.9536
111, -6.26, 26.722
112, -11.78, 26.81345
113, -10.22, 27.42175
114, -10.79, 27.2768
115, 0.76, 28.62535
116, -2.02, 30.1662
117, -7.5, 29.70925
118, -5.54, 29.7146
119, -2.91, 29.6564
120, -1.75, 30.33605
121, -8.12, 29.6218
122, -6.92, 29.1
123, -2.58, 29.5233
124, 3.81, 30.5335
125, 6.28, 29.2461
126, 9.19, 29.0676
127, 6.86, 30.5979
128, 18.07, 31.1418
129, 13.16, 32.23795
130, 17.24, 31.2468
131, 12.97, 30.9094
132, 12.01, 29.87635
133, 15.77, 28.76135
134, 23.38, 28.9243
135, 23.31, 28.9386
136, 20.85, 29.01725
137, 16.36, 30.35415
138, 25.5, 29.84755
139, 29.61, 31.8331
140, 23.73, 31.24105
141, 16.41, 30.548
142, 9.39, 30.0557
143, 4.4, 29.4621
144, 5.67, 28.26705
145, -9.38, 28.70095
146, -6.44, 26.55245
147, 3.52, 28.49465
148, 11.29, 30.4971
149, -6.8, 29.2614
150, -4.82, 29.74285
151, 0.59, 28.81915
152, -6.46, 30.0021
153, 3.78, 29.781
154, 8.04, 29.1452
155, 10.53, 29.6289
156, 6.89, 28.5141
157, 4.4, 29.4238
158, 3.35, 30.2099
159, -0.14, 30.975
160, 0.75, 30.48535
161, 3.71, 30.5702
162, -1.36, 29.9407
163, 3.59, 30.1357
164, -11.35, 29.86075
165, -12.27, 28.5395
166, -4.55, 29.1922
167, -9.99, 29.0137
168, -19.64, 29.93965
169, -2.38, 28.6272
170, -2.79, 28.88545
171, 3.86, 28.8425
172, -4.86, 28.4431
173, -5.84, 28.7312
174, -2.74, 28.2545
175, 1.25, 28.3037
176, 6.24, 27.78585
177, 8.73, 28.17395
178, 6.53, 28.07215
179, 9.39, 28.22885
180, 5.06, 28.98485
181, 10.27, 28.1218
182, 13.8, 29.01
183, 7.96, 29.4446
184, 12.88, 29.2821
185, 7.68, 29.4004
186, 2.31, 29.81565
187, -7.4, 29.8925
188, -21.39, 29.4537
189, -17.99, 29.68225
190, -21.1, 29.49145
191, -20.08, 28.84495
192, -30.22, 27.9219
193, -21.33, 28.00655
194, -22.11, 27.8037
195, -32.82, 27.7882
196, -31.65, 28.02715
197, -9.51, 26.878
198, -17.17, 25.4027
199, -21.67, 24.3192
200, -7.81, 22.7052
201, -9.43, 24.4652
202, -2.56, 22.7088
203, -10.69, 24.46865
204, -12.03, 24.2016
205, -15.35, 23.6902
206, -14.06, 23.9664
207, -5.68, 23.67965
208, -5.68, 23.6867
209, -10, 23.42315
210, -22.62, 23.1477
211, -29.41, 24.30185
212, -23.48, 24.1044
213, -18.93, 26.43215
214, -40.52, 27.0761
215, -38.14, 28.3692
216, -29.15, 30.11765
217, -40.75, 31.4834
218, -36.98, 31.72955
219, -36.98, 31.9058
220, -31.86, 30.0236
221, -28.92, 30.53305
222, -28.52, 32.78125
223, -34.19, 33.92125
224, -41.93, 35.643
225, -29.53, 34.93895
226, -26.18, 33.8691
227, -28.85, 33.91335
228, -26.31, 32.847
229, -23.28, 32.6236
230, -23.28, 32.4848
231, -10.16, 32.5309
232, -7, 32.38095
233, -20.09, 32.5037
234, -8.48, 31.75765
235, -17.82, 30.92115
236, -13.57, 31.68625
237, -21.35, 30.7707
238, -22.08, 30.72455
239, -4.47, 29.302
240, -4.32, 27.25325
