> HerHC-Arch1
 %Min windows = 1% of gene
 Largest magnitude %Min = -8 at codon 68 
[codon window], [value], [random reverse translation average]
1, 16.84, 29.63465
2, 24.63, 30.7029
3, 20.2, 30.27135
4, 17.27, 30.08395
5, 19.77, 30.28475
6, 23.54, 30.92025
7, 22.03, 32.11765
8, 25.32, 31.40535
9, 25.32, 30.92895
10, 25.11, 29.9132
11, 27.01, 30.1277
12, 26.85, 30.6856
13, 25.62, 30.8964
14, 18.04, 29.62925
15, 15.17, 28.7182
16, 20.05, 27.8191
17, 18.37, 29.0427
18, 21.59, 29.4732
19, 12.71, 28.4442
20, 13.22, 28.9564
21, 30.21, 30.78805
22, 31.96, 30.6145
23, 31.96, 30.4016
24, 41.15, 30.4236
25, 35.64, 31.774
26, 45.44, 30.4642
27, 49.89, 31.86675
28, 43.89, 30.8141
29, 40.92, 30.101
30, 39.96, 30.54765
31, 50.72, 31.27945
32, 49.6, 32.4694
33, 55.4, 33.2003
34, 49.53, 33.19635
35, 47.91, 33.2118
36, 48.43, 33.40265
37, 50.29, 33.62965
38, 44.51, 32.60015
39, 42.41, 33.48495
40, 35.47, 33.3253
41, 29.63, 32.30275
42, 22.03, 32.11585
43, 22.85, 32.3492
44, 23.95, 32.21625
45, 30.97, 32.93365
46, 25.07, 33.3027
47, 22.3, 32.29355
48, 16.91, 32.29865
49, 25.35, 31.6406
50, 14.8, 32.2803
51, 25.32, 31.33185
52, 31.25, 31.5509
53, 35.3, 31.10795
54, 35.42, 31.1361
55, 32.31, 31.64525
56, 26.9, 30.24075
57, 26.02, 30.5635
58, 21.13, 30.31925
59, 27.88, 29.23625
60, 28.13, 29.34445
61, 13.09, 28.63495
62, 9.15, 29.9862
63, 11.72, 30.3174
64, 8.18, 30.1371
65, 3.23, 29.9223
66, -6.51, 28.90625
67, -5.58, 27.0863
68, -8.46, 27.44375
69, -1.25, 26.173
70, 0.96, 27.36195
71, -0.96, 27.80105
72, 3.37, 26.59015
73, 3.37, 27.0064
74, 10.26, 26.92535
75, 25.04, 28.34275
76, 17.51, 28.51855
77, 18.84, 28.44055
78, 26.95, 27.9695
79, 27.7, 26.8562
80, 23.74, 26.1858
81, 24.39, 27.779
82, 29.11, 28.23385
83, 21.74, 29.0749
84, 27.32, 29.68895
85, 33.03, 29.8648
86, 17.49, 32.7907
87, 9.74, 31.42885
88, 10.74, 31.1484
89, 6.77, 32.4156
90, 11.41, 32.76375
91, 8.71, 32.3371
92, -5.86, 31.19435
93, 2.03, 31.99265
94, 12.04, 33.29835
95, 15.14, 33.06585
96, 25.37, 34.50895
97, 19.62, 35.64805
98, 18.96, 34.7676
99, 16.32, 34.1302
100, 29.25, 33.2955
101, 19.02, 31.48105
102, 22.68, 30.8595
103, 26.96, 28.65555
104, 22.66, 29.29005
105, 23.72, 29.07915
106, 18.31, 27.77775
107, 16.68, 27.53835
108, 8.19, 29.2854
109, 11.41, 30.10675
110, 11.44, 29.6987
111, 1.03, 28.63385
112, -3.94, 28.5083
113, -6.84, 28.09235
114, 9.46, 27.72735
115, 20.8, 27.9726
116, 26.72, 29.10645
117, 17.13, 28.23695
118, 18.65, 29.1248
119, 14.08, 29.25555
120, 21.89, 29.0678
121, 28.84, 28.38005
122, 22.61, 28.42065
123, 23.25, 30.02635
124, 17.59, 31.2018
125, 27.35, 30.2514
126, 23.11, 30.6168
127, 22.31, 31.5792
128, 24.68, 31.24655
129, 30.56, 32.1562
130, 28.16, 31.5844
131, 28.16, 30.5898
132, 20.28, 29.3826
133, 15.17, 27.8737
134, 22.95, 28.7364
135, 24.28, 28.4977
136, 24.19, 28.5356
137, 22.7, 29.54595
138, 20.51, 29.22
139, 22.39, 30.2973
140, 26.3, 29.59875
141, 39.33, 28.34075
142, 29.98, 28.4803
143, 33.13, 26.58515
144, 36.18, 25.39265
145, 41.3, 25.56905
146, 25.4, 23.992
147, 31.25, 25.59875
148, 29.66, 29.213
149, 29.05, 30.1605
150, 35.66, 30.81135
151, 25.45, 30.40495
152, 30.63, 31.3922
153, 25.14, 31.415
154, 20.03, 30.88345
155, 22.2, 31.2822
156, 25.05, 30.401
157, 31.88, 30.7001
158, 34.04, 32.11225
159, 44.2, 31.18115
160, 40.65, 31.20625
161, 36.45, 30.93885
162, 30.75, 30.2395
163, 41.18, 30.5917
164, 29.08, 30.4013
165, 20.79, 29.10935
166, 23.79, 29.1296
167, 24.89, 28.8021
168, 27.56, 28.13285
169, 27.34, 26.8171
170, 36.39, 26.58795
171, 32.92, 26.39335
172, 25.38, 26.54795
173, 30.11, 27.007
174, 21.95, 25.79795
175, 19.62, 25.347
176, 19.4, 25.4286
177, 16.37, 25.3936
178, 17.65, 25.48065
179, 29.4, 25.44055
180, 29.58, 26.37065
181, 39.63, 25.40565
182, 39.57, 25.24625
183, 42.06, 25.704
184, 38.76, 25.69065
185, 47.24, 26.42175
186, 44.17, 26.60185
187, 40.37, 26.71145
188, 40.37, 26.0388
189, 45.7, 26.0988
190, 40.5, 25.5014
191, 47.26, 25.93415
192, 44.51, 25.63
193, 36.53, 25.48915
194, 46.84, 25.59045
195, 48.8, 26.1682
196, 41.11, 26.8142
197, 41.11, 23.8696
198, 38.85, 23.5497
199, 47.83, 23.361
200, 38.63, 21.80265
201, 46.67, 24.19585
202, 42.59, 23.22975
203, 29.56, 24.9404
204, 30.45, 24.82875
205, 33.2, 27.14385
206, 31.93, 27.27475
207, 26.99, 26.73655
208, 26.99, 26.8576
209, 30.84, 25.88335
210, 34.26, 26.2533
211, 30.24, 26.67915
212, 34.92, 26.33815
213, 25.73, 26.8474
214, 19.37, 28.8681
215, 16.33, 29.51405
216, 21.5, 30.9707
217, 20.12, 32.56935
218, 15.81, 32.1198
219, 7.15, 31.9825
220, 5.67, 29.96145
221, 16.45, 28.0125
222, 12.06, 29.43345
223, 7.37, 30.0655
224, 7.48, 31.8049
225, 7.41, 31.59175
226, 9.17, 31.065
227, 9.42, 30.85435
228, 19.58, 29.9598
229, 19.64, 29.927
230, 17.72, 30.98325
231, 19.84, 31.1572
232, 19.99, 30.8482
233, 19.99, 30.6424
234, 20.89, 29.6231
235, 19.33, 29.1066
236, 15.99, 29.72285
237, 18.2, 29.82415
238, 8.08, 31.8988
239, 21.83, 30.51895
240, 28.18, 29.0502
241, 40.59, 29.18255
242, 48.85, 29.7495
243, 47.47, 31.3552
244, 41.84, 31.15575
245, 25.73, 31.61095
246, 22.74, 31.21105
247, 31.25, 29.9344
248, 33.08, 28.0787
249, 37.53, 28.12695
250, 39.04, 27.51045
251, 43.06, 27.1503
252, 45.39, 26.7369
253, 57.14, 26.6976
254, 68.03, 26.8715
255, 62.97, 26.7935
256, 61.4, 25.7696
257, 67.59, 27.49965
258, 65.22, 25.2506
259, 56.33, 24.4776
260, 54.27, 22.84865
261, 60.51, 23.1863
262, 72.73, 22.9704
263, 79.23, 22.79205
264, 79.1, 22.61795
265, 64.13, 23.4093
266, 61.77, 22.5757
267, 61.77, 24.35755
268, 64.13, 24.303
269, 61.48, 24.32515
270, 61.68, 24.2926
271, 58.68, 24.38155
272, 64.81, 24.2681
273, 54.86, 27.2882
274, 47.75, 25.1552
275, 41.58, 26.478
276, 49.52, 26.5067
277, 52.65, 27.81865
278, 44.74, 30.23875
279, 46.51, 29.3332
280, 48.55, 28.8288
281, 50.15, 28.6923
282, 59.53, 28.38385
283, 57.86, 29.0158
284, 49.73, 26.8285
285, 39.37, 27.5979
286, 35.05, 28.04625
287, 36.54, 29.731
288, 33.47, 29.8674
289, 30.26, 29.9802
290, 39.74, 27.60095
291, 37.49, 27.95005
292, 31.05, 27.3383
293, 34.26, 27.92515
294, 23.56, 26.63765
295, 23.29, 24.00595
296, 21.72, 24.4363
297, 21.94, 24.35945
298, 15.06, 24.6223
299, 14.41, 24.8482
300, 12.38, 24.65695
301, 10.84, 24.70985
302, 18.42, 26.66805
303, 20.36, 26.5999
304, 9.09, 24.9793
305, 11.5, 24.25015
306, 11.67, 23.64555
307, 4.6, 24.1112
308, 8.03, 23.18855
309, 12.76, 22.60605
310, 14.73, 22.3794
311, 22.41, 22.54425
312, 29.3, 22.92985
313, 38.66, 24.9185
314, 29.42, 23.77685
315, 41.12, 25.5791
316, 36.86, 26.25095
317, 35.46, 28.23865
318, 42.36, 28.66465
319, 38.76, 25.60215
320, 35.17, 25.55725
321, 45.01, 26.2438
322, 39.67, 27.08005
323, 33.71, 27.1253
324, 33.85, 26.68585
325, 30.2, 28.1564
326, 31.63, 28.4547
327, 18.69, 29.99315
328, 22.13, 29.56735
329, 25.22, 30.60575
330, 25.38, 30.8108
331, 30.91, 32.53375
332, 28.49, 32.3656
333, 33.76, 31.7983
334, 35.6, 30.4362
335, 30.35, 30.1256
336, 32.68, 31.28465
337, 42.35, 30.54505
338, 39.7, 31.50765
339, 37.99, 31.92915
340, 37.99, 31.40955
341, 42.87, 32.6737
342, 48.72, 31.4104
343, 52.42, 31.13115
344, 66.38, 29.74035
345, 61.24, 30.08725
346, 56.87, 28.92345
347, 51.4, 28.05585
348, 51.55, 28.30395
349, 43.98, 26.82875
350, 39.62, 26.7347
351, 50.14, 26.6569
352, 52.56, 26.8325
353, 48, 26.3962
354, 36.69, 25.4886
355, 30.21, 24.11465
356, 36.12, 23.12565
357, 43.73, 25.06555
358, 35.98, 23.1935
359, 32.29, 23.30575
360, 31.59, 24.8798
361, 21.26, 24.17735
362, 26.3, 23.1879
363, 34.32, 24.27065
364, 31.22, 25.435
365, 34.2, 25.154
366, 41.53, 24.9337
367, 43.94, 25.33075
368, 31.42, 24.75685
369, 32.7, 24.8421
370, 33.66, 24.70105
371, 44.96, 27.65995
372, 55.28, 27.56805
373, 54.71, 29.31505
374, 57.9, 27.2727
375, 59.34, 27.4912
376, 59.74, 27.6619
377, 60.3, 26.2508
378, 62.46, 26.21845
379, 46.41, 27.3376
380, 36.39, 26.66605
381, 44.85, 26.8353
382, 38.82, 28.22685
383, 24.46, 29.49345
384, 20.41, 27.84685
385, 28.85, 28.75415
386, 21.44, 28.12985
387, 25.81, 27.9304
388, 19.95, 27.4397
389, 17.22, 28.0063
390, 12.52, 26.09555
391, 7.26, 26.3065
392, 19.68, 25.48625
393, 21.16, 25.4894
394, 26.76, 25.5432
395, 29.69, 25.511
396, 30.17, 25.4183
397, 29.67, 25.5634
398, 23.28, 24.6697
399, 24.08, 23.54365
400, 31.86, 22.55295
401, 34.5, 23.45735
402, 25.13, 24.8047
403, 25.16, 25.0979
404, 24.98, 24.94255
405, 26.43, 23.81095
406, 18.56, 24.72405
407, 19.55, 24.6976
408, 28.22, 24.8733
409, 16.28, 25.57575
410, 15.16, 26.60325
411, 5.6, 26.9086
412, 12.23, 26.9832
413, 14.07, 26.6569
414, 15.51, 26.4915
415, 22.15, 26.24055
416, 21.6, 25.96075
417, 29.42, 27.7971
418, 26.61, 27.54445
419, 33.06, 25.8037
420, 32.02, 25.60895
421, 27.09, 25.896
422, 24.42, 26.12285
423, 40.9, 25.7431
424, 44.84, 25.2149
425, 39.23, 24.6991
426, 40.22, 25.80105
427, 52.17, 23.2379
428, 43.86, 22.76505
429, 32.53, 23.0703
430, 34.68, 22.84295
431, 38.7, 24.14005
432, 28.21, 25.2996


