"[codon window], [value], [random reverse translation average]"
"1, 97.4, 29.7173"
"2, 97.46, 29.61915"
"3, 97.04, 29.53245"
"4, 96.98, 31.5274"
"5, 96.94, 31.6709"
"6, 95.37, 30.5766"
"7, 85.13, 31.8406"
"8, 80.7, 30.21665"
"9, 71.4, 31.98685"
"10, 71.32, 31.6363"
"11, 64.38, 31.41805"
"12, 65.57, 31.4663"
"13, 62.46, 30.2914"
"14, 63.26, 29.15225"
"15, 63.17, 28.73815"
"16, 64.06, 28.0036"
"17, 60.47, 27.07135"
"18, 50.38, 27.2161"
"19, 50.38, 27.73525"
"20, 57.42, 27.7666"
"21, 51.48, 26.7006"
"22, 51.8, 26.56135"
"23, 56.59, 26.8159"
"24, 56.23, 26.80435"
"25, 61.71, 26.1625"
"26, 68.88, 24.88865"
"27, 68.85, 25.174"
"28, 77.77, 24.80105"
"29, 77.94, 24.7977"
"30, 74.92, 24.4065"
"31, 72.93, 25.0514"
"32, 69.92, 23.50055"
"33, 71.54, 25.4495"
"34, 73.86, 25.9129"
"35, 77.15, 26.33125"
"36, 63.76, 27.75225"
"37, 61.39, 27.7581"
"38, 63.6, 27.7883"
"39, 67.84, 26.9308"
"40, 65.17, 26.72665"
"41, 66.34, 24.4329"
"42, 67.83, 24.82995"
"43, 64.87, 24.90915"
"44, 58.58, 24.18435"
"45, 58.58, 24.9039"
"46, 56.65, 24.80485"
"47, 63.54, 24.7571"
"48, 63.34, 24.6591"
"49, 55.67, 26.5041"
"50, 53.4, 25.1164"
"51, 53.22, 25.4707"
"52, 56.71, 25.3371"
"53, 71.39, 23.5971"
"54, 71.97, 22.90265"
"55, 74.47, 24.7051"
"56, 73.51, 25.94855"
"57, 74.37, 25.69575"
"58, 82.1, 25.8548"
"59, 81.42, 26.23565"
"60, 85.56, 28.0287"
"61, 88.51, 28.252"
"62, 88.71, 28.72115"
"63, 90.69, 30.43165"
"64, 88.29, 31.96875"
"65, 89.04, 33.16575"
"66, 97.83, 31.9983"
"67, 97.88, 32.27295"
"68, 97.89, 32.827"
"69, 95.32, 32.9834"
"70, 95.31, 32.20995"
"71, 95.38, 34.3021"
"72, 88.34, 33.1171"
"73, 85.9, 33.0089"
"74, 84.24, 33.45905"
"75, 82.18, 33.9983"
"76, 77.55, 34.75845"
"77, 77.99, 32.0223"
"78, 75.96, 32.7125"
"79, 74.8, 31.49765"
"80, 73, 29.15415"
"81, 74.53, 27.6359"
"82, 73.86, 25.57905"
"83, 75.39, 26.8134"
"84, 73.8, 26.8786"
"85, 73.8, 24.0288"
"86, 79.37, 24.4339"
"87, 79.78, 26.46885"
"88, 77.18, 23.8681"
"89, 84.79, 24.1447"
"90, 88.18, 24.392"
"91, 88.18, 24.3731"
"92, 90.19, 24.4317"
"93, 94.6, 23.93015"
"94, 94.07, 23.9392"
"95, 97.1, 23.1004"
"96, 97.02, 23.51875"
"97, 97.18, 24.5442"
"98, 97.39, 25.90635"
"99, 97.44, 26.978"
"100, 95.83, 25.86905"
"101, 93.95, 25.68015"
"102, 91.83, 26.8278"
"103, 91.01, 26.2878"
"104, 89.85, 24.6955"
"105, 87.48, 24.65825"
"106, 90.7, 27.978"
"107, 91.16, 27.5055"
"108, 89.36, 27.25545"
"109, 76.74, 28.75355"
"110, 73.66, 29.7514"
"111, 66.46, 30.4372"
"112, 61.53, 30.61875"
"113, 66.2, 30.5109"
"114, 59.46, 29.7697"
"115, 58.1, 29.5613"
"116, 53.84, 28.12085"
"117, 48.25, 27.68885"
"118, 56.17, 29.10305"
"119, 50.34, 29.2463"
"120, 54.3, 30.5635"
"121, 57.34, 30.82895"
"122, 61.19, 31.0142"
"123, 58.44, 28.80435"
"124, 56.76, 30.04255"
"125, 57.68, 30.12895"
"126, 68.69, 28.7798"
"127, 71.46, 29.7563"
"128, 79.05, 30.86085"
"129, 81.78, 30.55735"
"130, 80.73, 30.371"
"131, 84.51, 31.54455"
"132, 83.78, 31.00175"
"133, 82.36, 31.0867"
"134, 89.68, 32.8415"
"135, 89.5, 31.6875"
"136, 97.09, 31.24425"
"137, 97.09, 31.1867"
"138, 96.88, 31.13705"
"139, 95.26, 30.76155"
"140, 95.15, 31.41745"
"141, 92.57, 30.9792"
"142, 94.63, 31.33585"
"143, 94.79, 32.6155"
"144, 94.92, 30.51805"
"145, 94.59, 28.6706"
"146, 94.59, 28.6127"
"147, 91.85, 29.13545"
"148, 92.13, 29.66865"
"149, 92.14, 29.4778"
"150, 94.06, 29.53665"
"151, 93.86, 30.092"
"152, 93.68, 30.2388"
"153, 91.64, 30.662"
"154, 91.64, 31.56075"
"155, 92.42, 30.8792"
"156, 94.6, 32.75625"
"157, 92.6, 32.44325"
"158, 94.74, 32.6729"
"159, 95.08, 33.3554"
"160, 92.9, 32.4307"
"161, 92.75, 35.70475"
"162, 93.14, 35.38165"
"163, 93.17, 35.3128"
"164, 95.38, 33.96595"
"165, 95.54, 31.9164"
"166, 95.81, 31.60105"
"167, 95.73, 31.37295"
"168, 95.62, 29.0264"
"169, 95.85, 27.978"
"170, 97.26, 27.48835"
"171, 97.08, 25.7747"
"172, 97.12, 27.66405"
"173, 94.86, 27.328"
"174, 96.61, 28.79405"
"175, 96.68, 28.34005"
"176, 96.75, 27.45275"
"177, 98.06, 27.59"
"178, 98.03, 26.9215"
"179, 97.99, 28.24215"
"180, 95.28, 28.4089"
"181, 92.23, 28.7533"
"182, 91.94, 28.67185"
"183, 91.8, 29.1938"
