> HerLC-Thermo
 %Min windows = 0% of gene
 Largest magnitude %Min = 33 at codon 73 
[codon window], [value], [random reverse translation average]
1, 70.81, 29.23685
2, 70.87, 28.31695
3, 66.58, 28.37925
4, 61.78, 27.92165
5, 61.78, 27.6538
6, 61.11, 27.6704
7, 61.72, 28.12985
8, 69.78, 27.30645
9, 69.78, 27.3538
10, 67.96, 27.35525
11, 59.67, 27.03765
12, 64.72, 27.2804
13, 61.85, 26.5281
14, 61.26, 27.1158
15, 61.76, 28.5468
16, 61.76, 26.86245
17, 70.02, 27.78255
18, 67.25, 26.7939
19, 63.2, 27.24305
20, 61.19, 26.83455
21, 61.36, 26.97635
22, 59.27, 26.6447
23, 61.24, 27.61165
24, 60.54, 28.37145
25, 56.61, 27.85895
26, 64.58, 28.21215
27, 73.53, 29.67335
28, 81.61, 30.20895
29, 82.33, 29.858
30, 84.32, 30.0173
31, 75.79, 29.86995
32, 73.44, 28.34655
33, 66.83, 28.10635
34, 56.62, 29.63545
35, 54.08, 29.0567
36, 53.26, 28.9364
37, 63.24, 29.0298
38, 68.9, 29.22625
39, 70.69, 28.6286
40, 71.34, 28.67135
41, 71.34, 26.9379
42, 72.37, 27.9005
43, 71.95, 27.7929
44, 72.92, 27.8109
45, 70.68, 27.8234
46, 64.65, 27.5458
47, 63.58, 27.8557
48, 66.11, 27.58355
49, 68.63, 29.4655
50, 68.63, 29.4919
51, 75.96, 29.30215
52, 80.59, 29.0371
53, 77.09, 28.69635
54, 74.96, 28.8108
55, 70.99, 28.941
56, 71.91, 28.81355
57, 66.37, 28.19425
58, 58.82, 29.44445
59, 54.63, 28.46425
60, 48.85, 28.30795
61, 49.6, 27.1289
62, 47.04, 27.01505
63, 50.96, 28.7731
64, 43.42, 28.0176
65, 46.57, 27.7749
66, 39.63, 25.54515
67, 46.23, 27.59125
68, 39.42, 26.3407
69, 36.1, 26.84445
70, 41.89, 27.34675
71, 41.84, 27.584
72, 46.56, 27.2182
73, 33.2, 28.00715
74, 33.78, 27.51695
75, 39.43, 26.1397
76, 46.39, 27.157
77, 55.17, 27.4323
78, 50.93, 29.80915
79, 63.23, 31.71625
80, 63.51, 30.0333
81, 68.2, 30.1287
82, 70.31, 33.0088
83, 65.18, 32.5832
84, 64.47, 31.83775
85, 73.12, 31.65615
86, 73.38, 31.1213
87, 64.19, 30.73755
88, 57.05, 29.90615
89, 48.81, 30.47055
90, 56.03, 30.50705
91, 62.62, 32.1869
92, 64.72, 32.22935
93, 65.46, 31.0045
94, 66.63, 31.8666
95, 59.04, 32.1619
96, 59.04, 32.63615
97, 54.15, 32.27665
98, 59.27, 32.01655
99, 54.15, 30.5275
100, 62.21, 31.09225
101, 57.16, 30.02755
102, 56.96, 30.83685
103, 58.65, 31.70285
104, 66.91, 31.6982
105, 66.1, 32.12875
106, 66.94, 31.88945
107, 61.02, 32.0138
108, 50.05, 30.16015
109, 47.74, 29.8801
110, 47.56, 30.7747
111, 46.83, 30.7311
112, 54.48, 29.3075
113, 56.25, 29.08565
114, 56.25, 28.89205
115, 56.25, 28.7374
116, 61.5, 28.3353
117, 56.49, 28.05575
118, 51.73, 27.8624
119, 43.58, 25.9182
120, 41.02, 25.2534
121, 36.96, 25.0041
122, 40.08, 24.66645
123, 44.96, 24.6259
124, 52.88, 25.1415
125, 64.38, 27.14555
126, 64.97, 27.2
127, 65.56, 28.27145
128, 63.18, 26.96635
129, 54.86, 26.6799
130, 44.51, 24.97375
131, 46.32, 25.1146
132, 41.73, 24.9917
133, 41.73, 25.86575
134, 46.53, 25.6535
135, 55.85, 25.79795
136, 59.21, 29.66015
137, 64.88, 29.2626
138, 66.09, 28.797
139, 71.59, 28.54775
140, 73.78, 30.64115
141, 72.31, 30.33235
142, 65.05, 28.3726
143, 65.17, 28.3599
144, 54.83, 26.62575
145, 51.45, 26.8094
146, 61.58, 26.65385
147, 70.22, 27.0098
148, 64.57, 26.7793
149, 65.3, 27.0399
150, 55.66, 26.2826
151, 51.47, 27.1725
152, 51.89, 27.22065
153, 50.86, 24.6174
154, 48.75, 24.41025
155, 43.72, 24.86795
156, 38.98, 24.8834
157, 38.72, 22.4551
158, 45.88, 22.9046
159, 45.88, 22.57485
160, 42.32, 23.0299
161, 50.24, 23.574
162, 57.62, 24.2397
163, 56.79, 25.3477
164, 58.95, 25.15445
165, 61, 24.8384
166, 60.31, 24.6511
167, 60.68, 26.89385
168, 57.96, 25.7805
169, 57.71, 25.88795
170, 58.45, 26.4232
171, 55.93, 26.38755
172, 57.55, 26.33925
173, 57.83, 26.1239
174, 57.98, 25.9332
175, 52.97, 25.95645
176, 60.24, 27.3809
177, 64.06, 27.4481
178, 55.14, 26.2698
179, 53.21, 25.34985
180, 53.21, 24.3429
181, 43.03, 24.25735
182, 37.61, 24.94415
183, 43.52, 27.626
184, 57.71, 23.9418
185, 61.86, 24.59915
186, 65.04, 23.44835
187, 73.31, 25.49265
188, 75.23, 25.8687
189, 72.58, 26.21175
190, 72.58, 26.23565
191, 72.48, 26.75075
192, 69.94, 26.4561
193, 66.94, 25.41685
194, 69.82, 27.40935
195, 77.37, 29.3348
196, 69.82, 29.16565


