> HerHC-Arch1_HC
 %Min windows = 48% of gene
 Largest magnitude %Min = -70 at codon 415 
[codon window], [value], [random reverse translation average]
1, -14.33, 29.36985
2, -11.42, 31.3211
3, -14.14, 31.04255
4, -11.35, 31.02965
5, -7.23, 31.2949
6, 4.61, 32.0772
7, 5.55, 33.6848
8, 8.8, 32.41595
9, -0.9, 32.5351
10, 2.04, 31.7097
11, 2.41, 32.6312
12, 11.3, 33.38875
13, 9.82, 33.1762
14, 10.3, 32.55495
15, 7.75, 31.61995
16, 15.22, 30.8299
17, 18.82, 30.83915
18, 20.66, 31.4095
19, 23.05, 29.5627
20, 30.56, 29.68765
21, 23.14, 32.09185
22, 17.21, 32.00025
23, 17.21, 31.64025
24, 24.4, 31.10265
25, 7.07, 32.823
26, 12.16, 31.30715
27, 22.48, 32.1431
28, 32.7, 29.7534
29, 22.18, 28.9978
30, 20.91, 29.35705
31, 12.98, 29.27365
32, 12.66, 30.1013
33, 7.4, 31.72995
34, 7.4, 31.792
35, 9.14, 31.668
36, 5.6, 32.3591
37, 6.67, 32.6623
38, 10.47, 31.1197
39, 21.08, 31.54835
40, 13.85, 31.03615
41, 8.13, 29.4225
42, 11.05, 30.5822
43, 11.79, 30.711
44, 3.7, 30.8547
45, -16.17, 32.6002
46, -12.91, 33.2028
47, -18.01, 32.89215
48, -16.98, 32.95915
49, -27.22, 33.77435
50, -8.65, 33.92265
51, -6.12, 34.2839
52, -6.47, 34.3627
53, -2.85, 33.2225
54, -4.64, 33.1403
55, 6.36, 33.68645
56, -6.44, 32.93975
57, -6.72, 32.8887
58, -12.84, 32.9385
59, -6.85, 30.661
60, -6.62, 30.63745
61, 0.56, 29.69195
62, 4.4, 31.0936
63, 4.97, 30.99765
64, 8.55, 30.1965
65, 13.17, 30.6413
66, 21.37, 29.44825
67, 12.81, 27.12025
68, 12.57, 26.72075
69, 10.79, 25.9904
70, 7.61, 27.10345
71, 18.08, 27.7486
72, 5.75, 26.2941
73, 5.75, 26.05555
74, 12.08, 26.54685
75, 26.82, 27.8452
76, 31.63, 27.7411
77, 31.38, 27.8182
78, 27.59, 27.67605
79, 31.19, 26.55535
80, 24.81, 26.4575
81, 23.91, 28.5602
82, 21.03, 28.43525
83, 22.67, 29.0676
84, 23.64, 29.8082
85, 26.29, 30.0659
86, 23.06, 31.42445
87, 27.95, 30.27565
88, 18.23, 29.14965
89, 31.36, 31.38895
90, 37.07, 32.30055
91, 35.15, 31.3999
92, 25.17, 30.4453
93, 15.73, 31.749
94, 8.44, 32.47105
95, 11.67, 32.0514
96, 3.17, 32.6835
97, 9.4, 33.08195
98, 25.91, 30.76145
99, 32.63, 30.69545
100, 36.58, 30.1449
101, 42.07, 29.6809
102, 38.3, 30.303
103, 52.3, 29.143
104, 49.66, 30.8638
105, 48.96, 30.5314
