>HSA_Native 
 %Min windows = 12% of gene
 Largest magnitude %Min = -46 at codon 390 
[codon window], [value], [random reverse translation average]
1, 40.89, 26.99725
2, 44.56, 25.91385
3, 43.76, 25.6381
4, 38.28, 27.3055
5, 50.88, 27.64365
6, 48.54, 27.94075
7, 50.34, 27.73
8, 49.48, 25.68425
9, 44.76, 26.7128
10, 54.07, 25.5526
11, 57.72, 26.507
12, 54.76, 26.42235
13, 51.96, 26.4617
14, 40.57, 26.48475
15, 35.63, 25.4316
16, 28.85, 26.5158
17, 27.45, 26.7862
18, 32.25, 27.68945
19, 34.86, 27.5419
20, 38.73, 27.2619
21, 44.48, 25.2111
22, 37.74, 24.69125
23, 35.69, 24.43605
24, 23.43, 24.46565
25, 12.08, 23.217
26, 8.33, 22.44565
27, 5.95, 22.61595
28, -3.27, 20.41975
29, -5.26, 21.29765
30, 4.94, 21.81165
31, 9.97, 22.5983
32, 16.93, 21.81165
33, 19.03, 23.3522
34, 15.52, 22.77285
35, 7.79, 22.027
36, 7.69, 22.6774
37, 13.27, 23.628
38, 19.03, 25.3917
39, 21.36, 25.07585
40, 24.23, 24.7812
41, 25.13, 24.6488
42, 36.59, 26.831
43, 45.61, 25.8383
44, 45.61, 25.80145
45, 44.38, 26.22365
46, 48.02, 25.50555
47, 40.89, 25.1326
48, 35.71, 25.6334
49, 30, 26.47915
50, 35.35, 24.71305
51, 35.36, 24.9872
52, 33.44, 24.8139
53, 33.5, 24.329
54, 28.23, 25.80605
55, 14.71, 24.66965
56, 8.97, 24.99215
57, 11.18, 25.62885
58, 9.5, 26.19675
59, -2.89, 25.82815
60, 3.74, 26.216
61, 3.22, 27.48615
62, 7.94, 27.33275
63, 10.6, 27.3275
64, 11.05, 28.45085
65, 13.48, 28.0277
66, 14.5, 28.03325
67, 12.83, 27.97715
68, 19.9, 29.8369
69, 24.85, 29.70555
70, 23.84, 30.04715
71, 29.72, 30.17275
72, 29.72, 30.59305
73, 29.99, 30.7319
74, 35.22, 31.03445
75, 32.73, 31.49675
76, 33.15, 30.89635
77, 29.58, 31.04995
78, 36.63, 29.96565
79, 33.35, 31.8464
80, 33.09, 32.47835
81, 46.52, 32.46355
82, 42.91, 33.19355
83, 49.12, 32.3413
84, 48.15, 32.5719
85, 38.05, 29.7903
86, 45.53, 29.89255
87, 48.08, 29.4832
88, 38.05, 27.0241
89, 42.94, 26.776
90, 48.89, 25.9727
91, 39.85, 25.02695
92, 48.31, 22.8722
93, 56.43, 25.71685
94, 54.36, 25.7576
95, 33.79, 23.49005
96, 23.95, 22.8178
97, 23.21, 24.9772
98, 24.99, 22.94375
99, 20.15, 24.0833
100, 26, 27.18295
101, 32.05, 28.11805
102, 29.58, 28.2032
103, 27.02, 27.8053
104, 27.2, 27.60085
105, 23.54, 27.9338
106, 25.34, 28.2009
107, 20.92, 28.7608
108, 30.25, 29.74315
109, 36.01, 30.9246
110, 33.35, 29.78125
111, 33.62, 29.7759
112, 39.08, 31.28495
113, 44.31, 30.33845
114, 53.94, 28.57215
115, 40.68, 29.65035
116, 45.09, 28.79955
117, 38.06, 25.47975
118, 43.13, 24.387
119, 46.57, 24.28105
120, 36.38, 24.4879
121, 33.38, 24.74795
122, 35.38, 24.21405
123, 33.72, 23.92535
124, 39.32, 23.5978
125, 40.87, 22.58565
126, 27.42, 22.0307
127, 35.4, 24.98175
128, 42, 27.4464
129, 48.96, 27.80115
130, 50.56, 28.9885
131, 49.21, 29.7926
132, 55.58, 29.47405
133, 58.74, 29.66275
134, 52.05, 30.8216
135, 34.73, 32.09135
136, 39.56, 31.70245
137, 30.04, 31.094
138, 26.02, 30.63125
139, 27.84, 31.14475
140, 29.94, 31.181
141, 34.42, 31.96135
142, 26.84, 32.44865
143, 26.12, 33.3574
144, 16.44, 31.9113
145, 3.59, 29.67255
146, 13.24, 30.1881
147, 19.69, 30.65535
148, 20.16, 30.7336
149, 17.41, 30.80395
150, 21.05, 30.43265
151, 24.04, 29.4922
152, 30.42, 28.6237
153, 30.65, 29.20495
154, 50.62, 30.42315
155, 63.93, 31.902
156, 68.14, 31.48365
157, 64.7, 31.45805
158, 64.7, 31.3535
159, 60.9, 32.15
160, 66.04, 30.3708
161, 58.39, 28.5679
162, 65.26, 28.3388
163, 63.9, 29.03665
164, 60.69, 27.2986
165, 47.09, 26.66925
166, 52.27, 25.9474
167, 52.27, 25.73285
168, 46.08, 25.4241
169, 40.59, 26.73505
170, 40.71, 26.2885
171, 37.3, 25.28495
172, 23.12, 24.46165
173, 21.55, 24.62745
174, 29.51, 26.0705
175, 17.32, 25.2578
176, 24.21, 24.07455
177, 23.85, 24.24115
178, 25.46, 24.9531
179, 12.9, 24.7718
180, 16.26, 25.19135
181, 8.25, 25.1104
182, 16.26, 25.2927
183, 14.33, 26.0287
184, 10.98, 27.86015
185, 10.52, 28.2603
186, 8.05, 27.60725
187, 7.85, 27.8739
188, 3.69, 28.1606
189, 11.86, 27.65275
190, 12.88, 28.6305
191, 7.31, 27.1719
192, 21.52, 29.4633
193, 22.84, 31.6465
194, 23.06, 32.1856
195, 23.06, 32.26075
196, 24.29, 32.8754
197, 16.27, 31.97955
198, 22.75, 34.11095
