"[codon window], [value], [random reverse translation average]"
"1, -60.6, 30.9843"
"2, -61.62, 30.0895"
"3, -57.8, 29.98425"
"4, -53.76, 29.00305"
"5, -51.82, 29.14125"
"6, -50.78, 29.37095"
"7, -41.46, 29.64195"
"8, -50.25, 30.1721"
"9, -49.45, 29.3407"
"10, -47.8, 29.67845"
"11, -46.19, 30.1831"
"12, -45.27, 31.3009"
"13, -50.85, 30.4292"
"14, -51.39, 29.9112"
"15, -58.47, 29.89705"
"16, -53.85, 28.71035"
"17, -52.29, 28.76205"
"18, -50.29, 29.31015"
"19, -48.51, 30.56085"
"20, -52.39, 30.74815"
"21, -56.45, 31.86725"
"22, -60.24, 32.7167"
"23, -61.36, 32.44065"
"24, -73.61, 32.239"
"25, -69.43, 33.03605"
"26, -70.11, 33.88335"
"27, -61.13, 33.90245"
"28, -61.01, 31.9252"
"29, -68.18, 33.3606"
"30, -68.93, 33.02205"
"31, -67.69, 33.2491"
"32, -66.68, 32.1594"
"33, -69.02, 32.9631"
"34, -61.33, 34.1396"
"35, -57.24, 34.0146"
"36, -57.66, 34.81085"
"37, -57.66, 34.81085"
"38, -59.2, 34.9067"
"39, -63.04, 33.94565"
"40, -63.14, 33.38915"
"41, -60.94, 32.35325"
"42, -63.84, 31.2523"
"43, -60.62, 30.7625"
"44, -67.62, 29.6181"
"45, -69.24, 31.0519"
"46, -69.19, 28.766"
"47, -69.66, 28.7685"
"48, -69.09, 29.1842"
"49, -65.98, 28.8773"
"50, -65.98, 29.1355"
"51, -78.49, 29.40315"
"52, -78.49, 30.0583"
"53, -71.02, 27.08385"
"54, -65.16, 26.46215"
"55, -65.16, 25.71695"
"56, -65.47, 27.75005"
"57, -62.18, 28.30665"
"58, -58.1, 28.7236"
"59, -49.21, 29.0606"
"60, -45.97, 28.61"
"61, -46.4, 28.61775"
"62, -37.21, 27.7231"
"63, -32.46, 27.77345"
"64, -26.21, 28.1505"
"65, -25, 27.2252"
"66, -31.2, 27.2871"
"67, -26.79, 25.9738"
"68, -23.88, 24.45265"
"69, -24.04, 23.22135"
"70, -24.04, 24.5824"
"71, -22.12, 24.62605"
"72, -19.25, 26.5036"
"73, -18.22, 23.1472"
"74, -25.25, 22.9622"
"75, -23.52, 23.478"
"76, -20.7, 24.19305"
"77, -23.28, 24.53185"
"78, -25.4, 24.6328"
"79, -30, 24.1279"
"80, -32.4, 24.17085"
"81, -28.65, 25.5052"
"82, -39.37, 28.0424"
"83, -42, 29.75125"
"84, -36.92, 30.8064"
"85, -40.72, 31.97625"
"86, -44.03, 32.12645"
"87, -43.7, 32.8257"
"88, -46.73, 32.6365"
"89, -42.66, 31.9831"
"90, -37.96, 32.7463"
"91, -37.63, 32.6471"
"92, -37.63, 33.10395"
"93, -44.76, 32.33945"
"94, -44.83, 32.89315"
"95, -43.37, 32.8623"
"96, -41.1, 33.3977"
"97, -40.24, 33.4119"
"98, -47.89, 33.9335"
"99, -44.02, 33.44815"
"100, -44.02, 33.04515"
"101, -54.61, 32.09515"
"102, -52.55, 31.2859"
"103, -50.65, 30.9816"
"104, -58.79, 30.19895"
"105, -56.01, 29.4959"
"106, -54.46, 29.48405"
"107, -62.64, 28.3978"
"108, -62.99, 29.71955"
"109, -69.9, 29.0335"
"110, -69.47, 30.1186"
"111, -72.76, 29.75325"
"112, -75.45, 29.6066"
"113, -73.9, 29.375"
"114, -69.11, 28.84625"
"115, -63.71, 28.57485"
"116, -64.15, 27.8695"
"117, -62.56, 26.9442"
"118, -61.1, 26.55765"
"119, -61.22, 25.9172"
"120, -57.31, 25.5443"
"121, -52.38, 25.69505"
"122, -57.81, 26.58315"
"123, -56.68, 27.42865"
"124, -54.4, 28.1571"
"125, -54.33, 27.5123"
"126, -53.15, 27.6699"
"127, -51.47, 26.2446"
"128, -49.9, 26.50015"
"129, -47.99, 26.6119"
"130, -52.27, 26.8332"
