> HSA Genscript
 %Min windows = 52% of gene
 Largest magnitude %Min = -51 at codon 407 
[codon window], [value], [random reverse translation average]
1, -11.91, 25.51305
2, -9.88, 23.52265
3, -5.47, 23.4875
4, 5.89, 26.0044
5, -4.88, 26.74795
6, -6.88, 26.869
7, -5.84, 26.5419
8, -7.81, 25.3153
9, -5.14, 26.8875
10, -2.17, 25.6686
11, -3.17, 27.00955
12, -9, 27.1628
13, -5.73, 27.50875
14, -1.21, 27.74745
15, -16.4, 26.8673
16, -15.96, 27.469
17, -10.52, 28.42565
18, -13.39, 29.67485
19, -13.39, 29.65925
20, -18.73, 29.3269
21, -37.46, 27.69875
22, -29.92, 27.54295
23, -27.41, 27.2588
24, -21.22, 28.0463
25, -20.37, 27.34705
26, -30.01, 24.8908
27, -29.16, 24.90365
28, -27.24, 22.51835
29, -21.95, 21.9177
30, -8.51, 22.8373
31, -13.85, 23.1181
32, -10.55, 22.22565
33, 0.42, 23.22895
34, -3.87, 22.5182
35, 9.2, 20.89995
36, 9.1, 21.2211
37, 8.99, 22.2943
38, 23.25, 24.70345
39, 25.46, 24.7638
40, 33.76, 24.62305
41, 28.78, 25.14505
42, 19.49, 27.07025
43, 29.59, 26.9986
44, 29.59, 26.8905
45, 25.05, 27.4367
46, 32.1, 27.93525
47, 23.97, 27.4637
48, 25.2, 26.51155
49, 16.79, 26.44195
50, 5.52, 25.33165
51, 7.16, 25.9844
52, 12.66, 25.3309
53, 12.74, 25.1573
54, 24.71, 26.1282
55, 19.51, 24.125
56, 17.37, 23.6998
57, 8.03, 24.6118
58, 11.33, 24.22195
59, 23.28, 22.4769
60, 27.72, 22.90565
61, 24.96, 25.1339
62, 24.67, 25.3411
63, 30.16, 25.3867
64, 26.02, 26.57355
65, 30.82, 26.64035
66, 32.59, 26.7943
67, 34.37, 26.86595
68, 36.6, 27.6247
69, 31.27, 28.26605
70, 30.35, 28.4473
71, 12.65, 28.8439
72, 12.65, 28.13085
73, 12.47, 28.37555
74, 16.94, 28.7649
75, 23.99, 30.6905
76, 23.41, 30.4432
77, 19.32, 30.5041
78, 25.57, 28.6566
79, 21.92, 30.03755
80, 4.38, 30.67005
81, 4.38, 30.77465
82, -0.84, 31.75975
83, 3.54, 31.1739
84, 4.17, 31.2305
85, -3.33, 29.92845
86, -15.49, 29.7321
87, -8.99, 29.4312
88, 7.26, 27.48565
89, -0.8, 28.4628
90, 3.09, 28.40895
91, -0.73, 27.9209
92, -20, 24.7208
93, -26.43, 27.33815
94, -33.87, 28.22315
95, -45.63, 28.05045
96, -45.63, 27.09765
97, -39.55, 29.9139
98, -9.56, 27.2091
99, -9.3, 27.1891
100, -10.01, 29.01965
101, -6.09, 30.47035
102, 0.62, 30.17745
103, 13.59, 30.44
104, 13.81, 30.3435
105, 9.06, 29.41945
106, 10.65, 29.66485
107, 8.43, 29.8699
108, 11.58, 30.10045
109, 1.64, 30.7109
110, 8.3, 29.1894
111, 6.72, 29.22295
112, 7.58, 29.3505
113, 11.07, 28.64655
114, 15.95, 26.08815
115, 6.7, 25.89885
116, 16.24, 25.3848
117, 21.79, 23.44255
118, 14.93, 21.27765
119, 8.76, 21.41265
120, -1.01, 19.76105
121, -9.75, 19.40015
122, -16.06, 20.0655
123, -17.3, 20.10945
124, -24.57, 19.0163
125, -36.05, 20.09835
126, -3.01, 20.80835
127, -5.58, 23.18885
128, -3.74, 25.57285
129, 2.84, 25.7804
130, 7.08, 26.9735
131, 2.7, 27.3693
132, -3.56, 28.18155
133, -13.68, 28.6874
134, -11.06, 30.82395
135, -19.59, 32.9825
136, -11.85, 33.05015
137, -13.65, 32.53165
138, -11.74, 31.48985
139, -5.39, 32.31385
140, -2.3, 32.1709
141, -10.09, 33.8221
142, -2.88, 33.35435
143, -23.81, 33.2866
144, -23.23, 32.7037
145, -26.52, 30.9003
146, -24.32, 32.697
147, -14.24, 33.2171
148, -11.17, 33.09495
149, -8.45, 32.66205
150, -13.2, 32.2294
151, -15.37, 30.69785
152, -9.87, 29.47045
153, -19.69, 29.41265
154, -19.45, 30.79335
155, -31.15, 32.3809
156, -33.3, 31.90525
157, -33.08, 31.7004
158, -21.85, 31.13605
159, -18.97, 32.40285
160, -13.3, 31.199
161, -13.79, 30.7244
162, 1.17, 30.2408
163, -5.39, 29.75735
164, -16.2, 27.87135
165, -16.98, 27.5105
166, -22.24, 27.08935
167, -14.54, 27.4018
168, -12.42, 26.47765
169, 0.23, 27.52375
170, 0.04, 27.30595
171, 3.52, 26.24805
172, 7.43, 26.8647
173, 12.31, 27.10475
174, 10.5, 27.9505
175, 18.14, 27.28865
176, 14.73, 25.9597
177, 5.13, 27.1781
178, 4.62, 26.8432
179, -3.84, 27.20365
180, 2.34, 27.88455
181, -3.58, 27.03185
182, -5.52, 27.3336
183, 0.65, 27.9208
184, 6.4, 28.8179
185, 7.62, 29.1127
186, -9.76, 27.90575
187, -1.01, 28.5238
188, -6.83, 28.56765
189, -2.49, 27.26885
190, 4.55, 28.24685
191, 7.62, 27.56505
192, -5.23, 28.80345
193, 0.38, 30.2823
194, 8.57, 28.9725
195, 8.57, 29.1621
196, 14.07, 30.2847
197, 15.6, 28.81525
198, 30.91, 32.446
199, 29.41, 32.36235
200, 17.23, 33.1166
201, 7.88, 33.9905
202, 6.64, 34.4224
203, 8.17, 34.22625
204, 1.68, 33.92255
205, 2.79, 35.01505
206, 2.79, 34.83325
207, -10.48, 35.6795
208, -12.87, 35.57845
209, 2.83, 35.41155
210, 0.7, 34.47565
211, 0.7, 34.53965
212, 2.26, 35.33005
213, -4.92, 34.352
214, -7.97, 32.94515
215, -10.6, 31.67475
216, -11.84, 31.4247
217, -0.35, 29.58175
218, -6.11, 27.0489
219, -14.12, 27.0678
220, -2.6, 26.7826
221, 0.68, 26.2954
222, 6.9, 24.70045
223, 9.67, 24.89795
224, 8.31, 23.8817
225, 7.93, 23.9437
226, -10.22, 23.1035
227, -1.7, 22.56025
228, 1.32, 22.79005
229, 2.43, 21.0396
230, 0.09, 21.1136
231, 7.03, 22.81165
232, 2.43, 21.66255
233, 2.84, 22.69655
234, 2.35, 23.4383
235, 4.08, 23.1402
236, 13, 22.9549
237, 7.25, 25.89185
238, 4.49, 26.16155
239, 1.5, 25.68025
240, -3.57, 27.29825
241, 1.62, 27.08755
242, 4.44, 26.6657
243, 3.96, 25.7107
244, 1.03, 27.25345
245, -2.03, 27.03875
246, -2.6, 26.81065
247, 4.35, 27.4272
248, 0.22, 27.1309
249, -0.35, 27.1185
250, -0.08, 27.057
251, 4.98, 26.81635
252, 12.99, 27.0798
253, 19.27, 26.7508
254, 19.52, 25.15275
255, 21.45, 25.50125
256, 11.98, 25.35515
257, 17.07, 23.63045
258, 30.18, 22.3086
259, 28.45, 22.47765
260, 35.32, 22.10025
261, 37.19, 20.3825
262, 37.58, 20.5989
263, 31.12, 20.6068
264, 20.34, 18.9835
265, 13.15, 20.99015
266, 3.01, 21.3448
267, 2.91, 21.16435
268, 2.6, 20.5968
269, 0.19, 20.98255
270, -10.49, 21.56035
271, -11.88, 20.86905
272, -13.06, 20.5456
273, 7.27, 21.1053
274, 3.94, 24.48085
275, -8.37, 25.0828
276, -11.52, 25.8071
277, -11.52, 26.23025
