>hGCSF_Native 
 %Min windows = 75% of gene
 Largest magnitude %Min = -54 at codon 80 
[codon window], [value], [random reverse translation average]
1, -33.92, 27.3185
2, -34.58, 25.645
3, -30.54, 25.78305
4, -28.65, 24.0912
5, -33.94, 24.4863
6, -36.13, 23.6065
7, -29.65, 25.04115
8, -37.96, 25.1976
9, -43.59, 27.36355
10, -34.45, 25.95495
11, -34.96, 27.0367
12, -27.79, 28.2704
13, -34.56, 29.4313
14, -41.1, 29.471
15, -39.02, 30.59665
16, -43.78, 30.2739
17, -40.42, 29.94465
18, -40.97, 29.08025
19, -39.85, 28.8311
20, -44.38, 28.96895
21, -45.56, 29.05735
22, -45.12, 27.6332
23, -42.46, 28.9717
24, -41.72, 28.2495
25, -38.07, 28.27105
26, -32.64, 26.6892
27, -36.99, 27.3952
28, -34.85, 26.5171
29, -39.31, 25.26995
30, -32.75, 24.88545
31, -29.38, 24.4897
32, -29.05, 24.36455
33, -24.13, 24.11235
34, -29.17, 24.5236
35, -29.17, 24.9371
36, -33.44, 25.4296
37, -26.59, 26.97135
38, -24.38, 27.18715
39, -14.27, 27.6633
40, -16.49, 26.08725
41, -23.51, 27.263
42, -23.74, 27.9065
43, -28.48, 29.3603
44, -29.77, 29.27485
45, -14, 30.0107
46, -15.99, 30.6364
47, -12.93, 29.6365
48, -14.41, 30.1105
49, -15.84, 30.1796
50, -17.24, 31.2121
51, -17.76, 32.09575
52, -22.52, 32.40665
53, -19.88, 32.72975
54, -22.75, 32.75225
55, -21.22, 31.6438
56, -34.01, 31.56975
57, -34.01, 31.4581
58, -28.63, 31.0281
59, -33.13, 31.4316
60, -32.29, 30.2178
61, -17.9, 29.6613
62, -34.57, 28.4251
63, -27.64, 27.6773
64, -33.85, 26.8408
65, -28.6, 26.67375
66, -28.6, 26.0291
67, -30.96, 27.0693
68, -27.09, 25.7755
69, -24.31, 25.6965
70, -26.72, 26.12345
71, -28.92, 24.6652
72, -33.31, 25.2975
73, -35.91, 25.9578
74, -42.62, 26.1889
75, -44.26, 25.47855
76, -44.19, 24.34905
77, -38.09, 25.307
78, -52.94, 25.64645
79, -44.48, 25.7865
80, -54.65, 27.3781
81, -47.81, 28.78455
82, -44.7, 28.56965
83, -42.95, 30.1377
84, -42.65, 28.8679
85, -29.13, 29.04375
86, -17.13, 30.11995
87, -14.11, 31.24345
88, -13.93, 31.28295
89, 1.15, 30.3531
90, 3.45, 29.681
91, 8.4, 30.09615
92, 8.4, 29.74125
93, 8.4, 29.60675
94, 7.35, 28.74145
95, 5.45, 28.1679
96, 2.03, 27.98405
97, 7.55, 27.46205
98, 5.5, 26.9265
99, 5.28, 26.996
100, 8.27, 27.1815
101, 10.83, 27.61005
102, 1.57, 27.70865
103, -7.61, 27.00945
104, -4.25, 25.8894
105, -8.62, 26.3194
106, -26.92, 26.9043
107, -23.56, 27.1629
108, -19.97, 26.46455
109, -15.44, 26.5229
110, -11.45, 25.7835
111, -5.99, 26.98375
112, -1.28, 27.76485
113, 0.27, 30.04805
114, 3.84, 30.1356
115, 8.09, 31.8234
116, 5.09, 31.14845
117, 1.36, 30.1911
118, -3.01, 31.81035
119, -3.01, 31.98395
120, -6.61, 31.27985
121, 3.35, 32.2441
122, 6.85, 32.5232
123, 10.56, 32.9496
124, 4.67, 33.47535
125, 1.88, 34.2661
126, -2.54, 34.50975
127, -1.25, 36.73505
128, 3.05, 35.4895
129, 11.03, 35.3892
130, 10.33, 34.34085
131, 4.19, 33.69195
132, 0.44, 33.26395
133, -2.88, 34.96815
134, 0.17, 35.55315
135, 6.14, 35.62215
136, 0.09, 36.72795
137, 2.26, 35.8151
138, -6.67, 33.8848
139, 1.27, 32.84315
140, 1.44, 33.69895
141, 7.03, 32.76035
142, 8.05, 32.38845
143, 7.82, 31.6635
144, 5.26, 30.70065
145, -6.44, 31.18645
146, -20.48, 30.7387
147, -18.71, 30.38755
148, -18.44, 29.9244
149, -17.3, 29.1663
150, -18.38, 27.7168
151, -18.37, 26.6495
152, -28.13, 26.68905
153, -9.08, 25.25135
154, -12.98, 26.64335
155, -17.22, 28.1346
156, -31.18, 28.38715
157, -33.23, 26.77485
158, -33.48, 28.32185
159, -38.42, 28.2839


