[codon window]	 [value]	 [random reverse translation average]
1	10.09	27.85955
2	-4.16	27.03035
3	-3.39	26.47995
4	-0.21	28.26335
5	-1.82	27.6923
6	-10.54	28.27115
7	-5.36	28.36805
8	-5.68	27.40075
9	-4.7	28.11845
10	-2.99	26.4021
11	-0.63	27.95825
12	4.13	27.9711
13	-0.1	27.6163
14	-0.1	27.35105
15	1.4	25.89855
16	1.1	26.0706
17	5.66	26.1779
18	9.21	27.75285
19	9.21	27.74935
20	10.7	27.87465
21	14.75	26.30395
22	17.88	26.75725
23	30.49	25.95535
24	17.54	26.39055
25	12.87	26.2633
26	24.4	24.55675
27	23.69	24.6697
28	20.96	22.14715
29	11.55	22.78305
30	4.35	23.2778
31	9.32	23.3336
32	16.26	22.5345
33	18.42	24.81755
34	18.63	24.31885
35	13.92	22.2819
36	17.22	22.44965
37	22.22	22.81545
38	17.02	25.52985
39	19.41	25.6502
40	14.74	26.1409
41	23.68	26.61175
42	39.07	27.06325
43	28.21	27.13045
44	28.21	27.26465
45	31.1	27.53625
46	31.76	27.5213
47	43.79	27.5552
48	35.96	27.38445
49	25.97	27.0695
50	28.37	25.3755
51	24.78	26.57755
52	36.3	25.95775
53	33.46	25.9105
54	28.19	27.6154
55	34.01	24.7147
56	32.25	24.34835
57	25.72	25.37635
58	19.99	25.35275
59	8.75	24.93235
60	10.91	25.70195
61	9.62	27.0935
62	10.61	27.8205
63	9.55	26.8202
64	16.01	28.5195
65	14.81	28.92255
66	18.99	29.3343
67	20.74	29.228
68	28.15	29.46195
69	15.84	29.86055
70	17.39	30.0368
71	13.06	29.90785
72	5.76	29.94295
73	5.57	30.3578
74	7.75	30.30185
75	15.58	31.4794
76	18.24	31.20935
77	16.28	30.9831
78	20.95	29.27835
79	27.74	30.2302
80	40.62	31.2534
81	26.88	30.4399
82	33.13	30.68285
83	30.42	29.788
84	27.23	30.3057
85	19.12	28.95455
86	20.8	29.35815
87	24.51	29.4164
88	30.5	27.54635
89	39.76	28.09745
90	42.01	27.52585
91	33.21	27.0743
92	20.89	24.08045
93	11.71	25.87835
94	17.01	26.2756
95	27.27	26.4047
96	13.95	25.85705
97	8.46	28.0511
98	8.43	26.3082
99	16.67	26.88395
100	18.61	29.77435
101	25	31.0339
102	26.4	30.65045
103	22.88	30.3579
104	15.27	29.423
105	8.65	29.4976
106	7.33	29.793
107	2.46	30.248
108	6.3	30.63
109	6.65	31.7753
110	11.46	30.95355
111	11.01	30.90615
112	3.74	31.70745
113	8.31	30.6728
114	12.7	28.754
115	18.38	28.1655
116	-0.24	28.19585
117	-2.06	25.5392
118	-18.37	21.5763
119	-26.92	21.81265
120	-22.73	21.2743
121	-15.31	21.9733
122	-13.68	22.7555
123	-12	22.5402
124	-15	22.22735
125	-16.63	22.3591
126	-0.37	23.493
127	-3.05	25.67315
128	-1.69	27.6239
129	-6.21	27.47825
130	-1.53	28.91055
131	-7.95	29.51825
132	-11.22	30.0514
133	-2.67	29.8503
134	10.83	30.2704
135	23.49	33.53605
136	20.97	33.1066
137	19.86	32.477
138	16.68	31.7482
139	24.17	31.7197
140	24.6	31.47305
141	25.39	32.87605
142	26.5	32.93215
143	15.99	31.57895
144	17.07	30.6556
145	21.16	28.81245
146	18.25	29.16625
147	14.15	28.9146
148	13.47	28.7437
149	11.62	29.2847
150	15.4	28.8145
151	7.45	28.7006
152	-0.45	27.51815
153	7.41	28.661
154	8.45	29.96175
155	9.54	32.01055
156	12.09	31.31915
157	12.22	31.6924
158	24.66	30.9705
159	23.22	31.85165
160	24.45	31.0821
161	18.24	30.6208
162	11.22	30.4709
163	17	31.31685
164	16.55	30.1169
165	15.83	29.48155
166	19.7	29.12355
167	19.7	28.66155
168	13.09	28.579
169	21.49	29.92645
170	15.45	29.1073
171	13.22	28.10945
172	20.47	27.9422
173	16.17	28.2656
174	14.1	29.32675
175	5.05	28.3912
176	6.62	26.8459
177	6.57	28.4198
178	12.04	28.41995
179	20.17	28.2056
180	23.26	29.1079
181	21.78	28.94785
182	25.53	29.19625
183	23.81	29.29145
184	28.22	30.71245
185	34.71	30.5032
186	24.83	28.316
187	25.1	28.4811
188	29.77	28.92965
189	22.34	27.75145
190	25.41	29.04165
191	23.57	27.2589
192	33.68	28.84725
193	41.4	30.74215
194	44.37	28.80285
195	41.35	29.009
196	34.77	30.35165
197	27.86	28.63575
198	28.54	30.28695
199	22.22	30.4797
200	28.36	31.32855
201	28.51	31.43275
202	25.02	31.03545
203	33.64	31.5441
204	33.64	31.5927
205	29.87	32.09725
206	29.87	32.1213
207	24.49	32.4319
208	26.41	32.76045
209	16.84	32.5053
210	5.57	30.9875
211	8.14	30.9681
212	17.44	31.65895
213	16.24	30.08555
214	11.03	30.30905
215	10.95	29.2858
216	15.69	29.29575
217	6.29	27.5647
218	-10.27	26.50445
219	-9.61	27.57545
220	-25.5	26.85575
221	-20.2	27.3024
222	-11.68	26.96315
223	-8.12	26.7517
224	-7.4	25.501
225	-6.89	25.6924
226	-5.86	24.44925
227	-5.86	25.0435
228	-5.98	25.47775
229	-19.37	24.3815
230	-16.69	24.8799
231	2.39	25.65915
232	-0.79	25.1271
233	-3.34	25.4301
234	-3.66	25.59345
235	5.79	25.0625
236	7.97	24.18985
237	22.13	26.8335
238	19.97	26.2047
239	8.28	24.45325
240	5.81	26.69085
241	9.21	27.43075
242	6.08	26.9128
243	5.38	26.29115
244	7.34	27.1332
245	7.52	26.76245
246	5.59	26.31965
247	5.4	27.0736
248	-1.19	25.97005
249	-0.54	25.888
250	0.57	25.71065
251	-3.6	26.09935
252	-13.13	25.8264
253	-11.56	25.9338
254	-34.75	25.31915
255	-27.96	25.5654
256	-24.01	25.9205
257	-26.71	24.02855
258	-28.5	22.92165
259	-26.17	23.18425
260	-22.37	22.59665
261	-26.35	21.27305
262	-31.2	21.8175
263	-33.94	21.5703
264	-38.63	19.84955
265	-43.81	21.93285
266	-36.6	22.20375
267	-35.59	22.8706
268	-35.31	22.7902
269	-33.07	23.4349
270	-37.73	22.8643
271	-27.72	21.4063
272	-33.59	21.41715
273	-16.45	22.8697
274	-13.39	25.01295
275	-8.7	24.55625
276	-10.36	24.6108
277	-20.16	24.5528
278	-17.47	24.23335
279	-20.5	23.89635
280	-10.96	23.76325
281	-8.95	24.07395
282	1.13	23.70315
283	1.76	26.05485
284	-2.19	26.1458
285	1.94	25.3753
286	10.17	27.2465
287	13.65	27.184
288	10.94	26.66135
289	10.53	27.73145
290	11.94	28.20715
291	17.05	26.876
292	12.83	27.21115
293	23.96	27.3072
294	23.96	27.99965
295	22.63	27.788
296	25.25	27.8075
297	25.63	28.0535
298	21.28	27.6967
299	20.25	26.84125
300	20.1	25.5863
301	25.15	25.3863
302	27.55	26.1114
303	19.17	25.7942
304	14.25	26.07115
305	13.84	28.7011
306	14.42	27.10505
307	-4.21	25.19675
308	-15.09	24.7316
309	-15.09	24.3934
310	-9.04	23.9586
311	7.12	25.53425
312	6.62	25.73745
313	6.8	25.93295
314	1.23	26.0959
315	6.15	26.1257
316	8.49	25.3086
317	11.53	25.3846
318	8.7	27.11895
319	8.67	29.03685
