>hGCSF_Azenta 
 %Min windows = 0% of gene
 Largest magnitude %Min = 65 at codon 60 
[codon window], [value], [random reverse translation average]
1, 90.15, 27.19105
2, 89.94, 25.94515
3, 89.22, 25.9815
4, 89.22, 25.1722
5, 91.63, 26.09425
6, 88.34, 24.69935
7, 88.35, 24.9804
8, 87.86, 24.81515
9, 87.45, 27.03265
10, 87.2, 25.6114
11, 87.78, 27.67685
12, 94.51, 29.32015
13, 94.91, 30.58845
14, 94.91, 30.66105
15, 94.51, 30.8649
16, 97.3, 30.869
17, 94.61, 30.5898
18, 94.61, 30.6663
19, 94.85, 30.29165
20, 95.04, 30.13205
21, 94.82, 30.13805
22, 94.39, 28.19135
23, 97.4, 29.4494
24, 97.36, 29.3442
25, 95.81, 29.26465
26, 92.64, 28.01875
27, 93.18, 27.5084
28, 92.72, 25.77425
29, 92.05, 24.1716
30, 89.03, 24.2206
31, 87.88, 24.13215
32, 87.84, 23.6785
33, 88.99, 23.93825
34, 92.81, 24.8425
35, 92.81, 25.05625
36, 93.05, 24.41
37, 93.08, 25.5276
38, 92.93, 25.5536
39, 93.37, 25.414
40, 93.5, 23.26985
41, 93.62, 24.69425
42, 95.4, 25.19545
43, 98, 26.479
44, 97.79, 27.2074
45, 97.94, 28.22925
46, 98.02, 28.6045
47, 100, 26.66245
48, 100, 26.55995
49, 100, 26.65785
50, 100, 26.9151
51, 100, 26.66495
52, 100, 26.60255
53, 100, 27.57585
54, 91.78, 27.8173
55, 92.49, 27.39575
56, 86.42, 27.2751
57, 86.42, 27.97615
58, 70.95, 27.4525
59, 66.99, 28.1305
60, 65.73, 27.47945
61, 68.85, 27.6883
62, 68.41, 26.731
63, 67.84, 26.34545
64, 67.84, 26.414
65, 65.96, 26.71615
66, 65.96, 27.1602
67, 67.87, 28.0725
68, 69.34, 27.18065
69, 67.72, 27.1082
70, 69.72, 26.97995
71, 73.8, 25.983
72, 71.93, 26.20705
73, 78.82, 27.83885
74, 78.82, 27.92565
75, 94.68, 26.71465
76, 98.62, 25.4744
77, 98.72, 26.69115
78, 98.72, 26.5608
79, 98.67, 26.2943
80, 98.72, 27.7582
81, 98.68, 28.453
82, 98.75, 27.7791
83, 96.83, 29.017
84, 96.7, 27.6398
85, 96.7, 27.5051
86, 96.88, 28.5951
87, 96.73, 29.7927
88, 98.12, 29.61705
89, 98.24, 29.30865
90, 98.17, 28.1159
91, 98.1, 28.274
92, 98.1, 28.05145
93, 98.1, 28.21955
94, 98.13, 26.7857
95, 91.85, 26.2412
96, 81.92, 25.9801
97, 82.12, 25.6683
98, 81.49, 24.70415
99, 80.45, 25.1598
100, 83.09, 24.88165
101, 83.51, 25.60095
102, 82.74, 26.21965
103, 82.7, 25.58355
104, 81.81, 24.48465
105, 81.35, 24.0748
106, 79.83, 24.4427
107, 79.06, 24.75595
108, 78.38, 24.09415
109, 76.21, 23.79205
110, 78.31, 23.1569
111, 77.48, 24.54595
112, 85.09, 25.09595
113, 100, 27.6709
114, 97.13, 27.59825
115, 97.32, 30.63395
116, 97.6, 30.21965
117, 97.44, 29.105
118, 97.43, 29.7487
119, 97.43, 30.3689
120, 97.3, 29.95135
121, 97.53, 30.51405
122, 97.67, 31.55315
123, 97.59, 31.77155
124, 95.45, 32.49755
125, 95.72, 32.4546
126, 95.65, 33.3314
127, 95.56, 35.03835
128, 95.55, 33.51815
129, 95.92, 34.51125
130, 95.6, 33.61865
131, 97.75, 32.5962
132, 97.76, 32.6704
133, 97.72, 33.8691
134, 97.85, 34.3685
135, 97.89, 34.4733
136, 97.93, 35.4063
137, 98.01, 35.2878
138, 98.07, 34.3164
139, 98.05, 33.80785
140, 98.19, 34.25425
141, 100, 32.9256
142, 100, 33.26325
143, 100, 32.9649
144, 100, 32.59695
145, 100, 33.12135
146, 100, 31.8979
147, 100, 31.2503
148, 100, 31.38835
149, 100, 29.89565
150, 100, 28.8256
151, 98.65, 28.1019
152, 98.67, 28.3668
153, 98.67, 27.2189
154, 98.7, 26.8609
155, 98.69, 27.70825
156, 98.6, 27.57645
157, 98.63, 25.78695
158, 98.65, 26.9584
159, 98.68, 27.26765


