"[codon window], [value], [random reverse translation average]"
"1, -1.98, 29.8338"
"2, 0.28, 29.61505"
"3, -4.87, 28.67065"
"4, 3.64, 28.66495"
"5, 1.74, 27.8931"
"6, -14.69, 27.1057"
"7, -23.81, 28.5144"
"8, -22.41, 26.9167"
"9, -16.85, 28.09165"
"10, -17.26, 28.6794"
"11, -11.75, 28.88985"
"12, -15.09, 29.1047"
"13, -12.35, 28.24465"
"14, -14.01, 27.808"
"15, -18.83, 28.1302"
"16, -11.09, 25.21015"
"17, -11.09, 25.7754"
"18, -11.48, 25.9268"
"19, -6.94, 24.1729"
"20, 6.37, 26.41265"
"21, 6.89, 26.2072"
"22, -1.93, 25.8615"
"23, -5.99, 27.49855"
"24, -9.87, 25.5069"
"25, -13.65, 25.83125"
"26, -16.29, 25.11755"
"27, -15.68, 24.2242"
"28, -22.22, 24.0559"
"29, -10.7, 23.76705"
"30, -15.64, 23.9849"
"31, -17.96, 26.53955"
"32, -18.35, 26.81385"
"33, -12.84, 28.2537"
"34, -6.71, 25.99535"
"35, -16.93, 26.2234"
"36, -19.22, 26.259"
"37, -28.49, 24.1132"
"38, -27.7, 24.21135"
"39, -27.7, 23.69195"
"40, -23.08, 22.92775"
"41, -29.58, 24.82225"
"42, -21.84, 25.9914"
"43, -24.6, 26.1991"
"44, -20.65, 27.6044"
"45, -17.14, 28.21195"
"46, -23.39, 28.1388"
"47, -25.98, 29.70475"
"48, -17.86, 28.1939"
"49, -17.53, 28.4273"
"50, -25.7, 27.98575"
"51, -24.14, 28.17745"
"52, -10.92, 28.4832"
"53, -6.96, 28.17055"
"54, -7.16, 28.22625"
"55, -8.1, 28.67215"
"56, -3.51, 27.89085"
"57, -6.64, 28.2948"
"58, 2.3, 26.49915"
"59, -2.91, 24.54405"
"60, 8.03, 26.55385"
"61, 12.34, 25.36525"
"62, 8.56, 25.03795"
"63, 18.42, 24.94965"
"64, 19.65, 23.909"
"65, 15.49, 24.41405"
"66, 16.69, 24.67585"
"67, 14.16, 24.44155"
"68, 22.3, 24.1713"
"69, 20.2, 23.89955"
"70, 17.06, 23.1735"
"71, 14.59, 22.75455"
"72, 9.59, 23.8265"
"73, 7.86, 24.6048"
"74, 12.73, 24.49945"
"75, 13, 24.6533"
"76, 8.6, 25.447"
"77, 8.6, 25.9154"
"78, -2.45, 25.6197"
"79, 1.74, 25.6884"
"80, -11.03, 25.74475"
"81, -9.69, 26.6253"
"82, -10.81, 26.22165"
"83, -11.43, 25.6127"
"84, -6.33, 25.2068"
"85, -5.87, 25.3334"
"86, -4.69, 25.25055"
"87, 5.25, 28.06475"
"88, 16.15, 29.3679"
"89, 21.45, 27.55255"
"90, 21.53, 27.1157"
"91, 13.66, 27.92305"
"92, 14.38, 27.9883"
"93, 16.38, 28.43785"
"94, 7.47, 26.35355"
"95, 16.31, 26.6019"
"96, 12.67, 26.311"
"97, 6.79, 25.6361"
"98, 5.59, 23.92075"
"99, 9.41, 24.0172"
"100, 9.91, 23.95895"
"101, 13.94, 24.2145"
"102, 9.49, 24.1289"
"103, 11.25, 24.93235"
"104, -4.53, 23.95585"
"105, -23.34, 22.6024"
"106, -32.74, 24.11955"
"107, -27.13, 24.49635"
"108, -22.26, 23.76525"
"109, -8.85, 25.52805"
"110, -7.89, 26.7485"
"111, -14.21, 27.00425"
"112, -14.96, 26.6207"
"113, -5.56, 26.51115"
"114, -6.74, 28.14745"
"115, -2.25, 28.27895"
"116, -10.76, 29.56445"
"117, -10.97, 31.1238"
"118, -14.74, 31.2126"
"119, -25.42, 32.00935"
"120, -34.52, 31.69035"
"121, -16.57, 32.17165"
"122, -14.4, 31.96935"
"123, -5.45, 31.63255"
"124, -0.52, 32.07"
"125, -0.86, 31.7258"
"126, -13.05, 30.4368"
"127, -6.59, 29.08235"
"128, 3.22, 28.8354"
"129, -2.45, 29.13055"
"130, -13.15, 29.2476"
"131, -14.99, 28.8504"
"132, -18.11, 29.037"
"133, -9.8, 27.98565"
"134, -11.88, 26.5175"
"135, -11.43, 26.53935"
"136, -6.38, 24.2567"
"137, 6.43, 23.6686"
"138, -9, 24.9875"
"139, -12.71, 24.5736"
"140, 3.22, 25.4111"
"141, 0.79, 25.4657"
"142, 0.45, 25.1633"
"143, 0.45, 25.18505"
"144, 10.28, 26.7336"
"145, 21.11, 25.98295"
"146, 19.35, 25.37925"
"147, 24.85, 25.44585"
"148, 31.86, 24.79345"
"149, 32.43, 24.4415"
"150, 25.29, 26.03175"
"151, 24.69, 26.1474"
"152, 19.27, 25.8702"
"153, 24.19, 26.4436"
"154, 15.94, 26.64635"
"155, 16.69, 23.93605"
"156, 33.12, 25.6012"
"157, 15.81, 24.4117"
"158, 4.57, 24.9217"
"159, 3.55, 24.8888"
"160, -4.92, 24.5889"
"161, -20.07, 24.926"
"162, -26.36, 27.1078"
"163, -27.22, 28.7245"
"164, -21.31, 29.30295"
"165, -21.31, 29.41425"
"166, -28.78, 30.5164"
"167, -30.14, 28.00155"
"168, -33.56, 27.68585"
"169, -33.01, 27.1064"
"170, -39.38, 27.8545"
"171, -40.46, 27.4923"
"172, -36.77, 27.78945"
"173, -42.38, 28.24285"
