> HerLC-Genescript
 %Min windows = 49% of gene
 Largest magnitude %Min = -49 at codon 111 
[codon window], [value], [random reverse translation average]
1, -13.7, 27.9964
2, -14.08, 28.75535
3, -10.42, 28.5764
4, -0.97, 28.72035
5, 4.36, 28.93965
6, 6.19, 29.2047
7, 17.49, 31.0087
8, 14.22, 30.60645
9, 19.45, 30.26905
10, 16.66, 30.3513
11, 26.14, 29.92795
12, 26.25, 30.64885
13, 20.24, 29.76845
14, 19.5, 29.6888
15, 32.1, 30.73945
16, 32.1, 29.8537
17, 41.87, 30.8849
18, 46, 30.1856
19, 49.46, 29.3878
20, 40.88, 29.26795
21, 38, 29.10485
22, 34.64, 28.86365
23, 30.58, 29.9735
24, 23.93, 29.02825
25, 39.33, 28.22415
26, 25.17, 30.0533
27, 24.36, 31.3391
28, 18.87, 31.61345
29, 18.93, 30.3438
30, 15.82, 30.20545
31, 14.55, 30.3285
32, 4.53, 29.2701
33, -6.94, 28.32125
34, -19.51, 28.37255
35, -17.1, 27.6796
36, -14.3, 27.65785
37, -9.77, 26.5604
38, -13.43, 26.37455
39, -13.49, 26.1495
40, -5.25, 25.79105
41, 0.38, 25.1525
42, 3.96, 26.36545
43, 7.88, 25.4528
44, 4.82, 25.98795
45, 7.14, 26.05465
46, 6.59, 26.67325
47, 10.09, 28.1324
48, 23.34, 27.92255
49, 30.34, 29.7834
50, 27.32, 30.25725
51, 23.26, 31.0946
52, 22.55, 32.00185
53, 17.98, 31.7608
54, 18.57, 33.2195
55, 17.22, 33.23005
56, 15.21, 32.53195
57, 12.82, 31.83205
58, 5.14, 32.00625
59, 1.92, 31.0709
60, 12.43, 30.65595
61, 21.84, 29.18555
62, 23.18, 28.96225
63, 19.86, 30.05345
64, 15.13, 28.1529
65, 11.98, 28.53235
66, 2.19, 26.3016
67, 15.75, 27.1511
68, 21.02, 25.95025
69, 21.67, 25.35725
70, 27.02, 25.71455
71, 29.75, 26.1708
72, 26.67, 25.85305
73, 34.32, 27.1174
74, 34.97, 27.1371
75, 40.74, 26.6126
76, 47.73, 27.26475
77, 28.57, 27.829
78, 7.28, 30.20115
79, -6.96, 32.5567
80, -7.71, 30.91815
81, -0.77, 31.5228
82, -16.46, 33.1141
83, -19.07, 32.86245
84, -21.99, 33.57825
85, -22.8, 33.9746
86, -19.14, 33.664
87, -23.26, 32.8719
88, -19.97, 31.3691
89, -3.86, 31.7269
90, -6.68, 31.10025
91, -10.08, 32.35495
92, -10.13, 32.54735
93, -21.58, 31.64505
94, -14.32, 32.4973
95, -20.41, 32.8982
96, -10.12, 32.86705
97, -8.91, 32.7045
98, -15.26, 32.16615
99, -9.85, 31.15415
100, -13.63, 31.8211
101, -22.94, 30.68115
102, -15.69, 31.10365
103, -20.66, 32.20035
104, -22.84, 31.66785
105, -22.1, 32.1895
106, -36.67, 31.66365
107, -41.62, 32.0112
108, -36.98, 30.9646
109, -41.12, 30.5021
110, -43.3, 30.74495
111, -49.9, 30.73875
112, -31.86, 29.21305
113, -35.49, 28.6729
114, -26.91, 28.5792
115, -22.24, 29.47445
116, -23.12, 28.8342
117, -17.34, 28.4199
118, -3.86, 27.9599
119, -18.22, 26.4518
120, -15.77, 25.34325
121, -9.5, 26.00275
122, -13.08, 26.02845
123, -7.83, 26.2642
124, 1.28, 27.3903
125, 1.84, 28.3356
126, 6.31, 27.7745
127, 10.01, 29.0022
128, 14.24, 27.66525
129, 4.95, 27.529
130, 2.4, 26.76515
131, 0.35, 26.92875
132, 3.28, 26.10245
133, 1.01, 26.5584
134, -2.86, 25.48
135, -24.72, 25.7225
136, -11.06, 29.0278
137, -15.66, 28.0131
138, -21.41, 27.7975
139, -29.72, 27.85955
140, -35.23, 28.35905
141, -43.67, 26.8462
142, -39.69, 24.82465
143, -49.15, 25.42425
144, -47.64, 22.4854
145, -31.02, 22.443
146, -14.36, 21.37285
147, 0.15, 22.1341
148, -4.19, 21.7588
149, -1.38, 22.31985
150, -0.15, 22.3932
151, 2.6, 22.9553
152, 0.47, 22.7898
153, 4.13, 20.6054
154, 17.77, 21.26335
155, 20.7, 22.1814
156, 27.4, 21.83775
157, 34.54, 20.3277
158, 30.76, 20.24155
159, 23.45, 20.92385
160, 20.88, 21.58605
161, 17.37, 23.0262
162, 20.33, 23.225
163, 6.9, 24.324
164, 11.55, 24.5042
165, 12.93, 25.10345
166, 8.77, 24.68075
167, 3.62, 25.51115
168, 7.92, 25.51495
169, 9.97, 25.7154
170, 3.92, 25.4614
171, -6.31, 24.91795
172, -4.91, 24.21215
173, -1.78, 24.32595
174, -9.36, 24.9237
175, -10.78, 25.40135
176, -4.29, 26.09825
177, 3.62, 25.9378
178, 7.29, 24.85015
179, -10.13, 25.6971
180, -10.13, 24.8405
181, -29.36, 23.68905
182, -22.17, 23.77725
183, -28.73, 25.9404
184, -21.24, 25.01425
185, -23.68, 25.73935
186, -21.94, 26.1505
187, -11.42, 27.87895
188, -15.4, 28.0115
189, -16.14, 28.6202
190, -16.14, 28.32705
191, -8.72, 28.14275
192, -9.36, 27.9307
193, -10.33, 27.07385
194, -16.97, 28.05095
195, -9.24, 29.63085
196, -3.86, 29.0647


