"[codon window], [value], [random reverse translation average]"
"1, 16.51, 29.7729"
"2, 12.19, 29.9925"
"3, 1.58, 29.6969"
"4, 7.3, 28.73575"
"5, 4.3, 28.823"
"6, 7.86, 28.9824"
"7, 7.86, 28.993"
"8, 6.52, 30.7178"
"9, 9.38, 29.76545"
"10, -1.97, 30.1829"
"11, -10.1, 30.63045"
"12, -10.07, 31.02795"
"13, -2.54, 30.69425"
"14, -11.28, 30.66055"
"15, -1.95, 31.08625"
"16, -10.58, 30.23995"
"17, -7.24, 30.2675"
"18, 2.3, 30.5463"
"19, 5.82, 31.79345"
"20, 11.44, 32.24865"
"21, 0.18, 33.29215"
"22, 1.21, 34.8136"
"23, -4.36, 34.4536"
"24, -5.78, 34.65135"
"25, 1.85, 34.26955"
"26, -2.53, 35.5648"
"27, 3.71, 34.50285"
"28, 0.84, 32.10415"
"29, 1.06, 33.4473"
"30, 5.3, 33.1399"
"31, 12, 33.7122"
"32, 12, 31.8464"
"33, 4.16, 33.16525"
"34, 5.2, 33.8323"
"35, -4.07, 34.21275"
"36, 2.78, 34.1222"
"37, 2.78, 34.1222"
"38, 2.87, 33.5975"
"39, 9.28, 32.34695"
"40, 9.05, 32.715"
"41, 17.22, 31.09245"
"42, 17.59, 30.77585"
"43, 23.98, 30.0432"
"44, 26.26, 29.68085"
"45, 36.73, 32.53305"
"46, 35.2, 30.9598"
"47, 25.09, 30.615"
"48, 24.02, 30.83385"
"49, 14.71, 30.7766"
"50, 31.91, 29.28095"
"51, 42.8, 29.79415"
"52, 42.8, 30.2648"
"53, 23.63, 28.19785"
"54, 29.93, 28.76975"
"55, 31.99, 28.7058"
"56, 36.41, 30.85835"
"57, 41.81, 30.685"
"58, 37.26, 31.0915"
"59, 29.11, 30.76165"
"60, 30.18, 30.6286"
"61, 31.71, 30.62825"
"62, 23.3, 29.0082"
"63, 25.13, 28.53485"
"64, 33, 28.88085"
"65, 28.46, 28.1564"
"66, 32.61, 28.3743"
"67, 26.86, 28.171"
"68, 19.77, 26.36395"
"69, 23.39, 25.41885"
"70, 31.07, 26.37785"
"71, 21.09, 25.20475"
"72, 28.36, 27.9491"
"73, 21, 24.67155"
"74, 13.78, 24.12125"
"75, 11.51, 24.63045"
"76, 12.85, 25.1803"
"77, 9.01, 24.1427"
"78, 7.29, 24.1385"
"79, 6.49, 24.455"
"80, 9.76, 25.13465"
"81, 19.17, 27.069"
"82, 31.98, 29.274"
"83, 35.61, 30.12285"
"84, 32.49, 31.00895"
"85, 36.88, 31.8638"
"86, 31.91, 31.96025"
"87, 40.71, 31.95965"
"88, 46.89, 32.1781"
"89, 36.19, 30.99055"
"90, 27.22, 31.6413"
"91, 27.8, 31.38195"
"92, 33.45, 31.40125"
"93, 29.48, 30.77955"
"94, 33.08, 31.8194"
"95, 34.47, 31.8625"
"96, 38.74, 31.53315"
"97, 37.95, 31.70735"
"98, 31.95, 31.98765"
"99, 19.61, 32.708"
"100, 14.54, 32.68985"
"101, 21.41, 31.438"
"102, 17.13, 30.4338"
"103, 19.38, 29.4826"
"104, 11.21, 30.51715"
"105, 1.19, 29.5681"
"106, 6.67, 28.99025"
"107, 15.15, 27.8517"
"108, 27.1, 29.6763"
"109, 15.72, 31.2942"
"110, 29.4, 32.04815"
"111, 25.04, 31.3464"
"112, 20.69, 31.262"
"113, 21.17, 31.1937"
"114, 18.47, 30.1352"
"115, 9.92, 29.1758"
"116, 10.97, 27.29345"
"117, 11.28, 26.3125"
"118, 8.87, 26.35065"
"119, 9.06, 26.3845"
"120, 8.8, 26.10795"
"121, 9.6, 25.27015"
"122, 17.58, 25.7697"
"123, 17.56, 27.5269"
"124, 23.13, 27.5311"
"125, 18.62, 26.1648"
"126, 26.06, 24.23285"
"127, 16.43, 22.9714"
"128, 21.64, 23.54845"
"129, 27.55, 23.42605"
"130, 27.19, 23.51645"
