> HSA Arch1-HC
 %Min windows = 69% of gene
 Largest magnitude %Min = -58 at codon 515 
[codon window], [value], [random reverse translation average]
1, -28.29, 27.3382
2, -35.16, 25.42855
3, -30.56, 25.33305
4, -28.62, 27.5947
5, -22.14, 28.06545
6, -21.14, 28.38825
7, -17.78, 27.2381
8, -20.83, 26.91945
9, -16.75, 27.92215
10, -15.12, 26.42755
11, -11.58, 28.05185
12, -17.21, 28.52415
13, -12.24, 29.01565
14, -12.24, 29.3293
15, -8.6, 27.6882
16, -8.94, 27.89855
17, -6.63, 28.3209
18, -11.24, 29.27925
19, -7.92, 29.28595
20, -13.38, 29.11225
21, -19.61, 27.4721
22, -18.47, 27.4405
23, -18.47, 27.73435
24, -16.39, 28.7314
25, -29.94, 27.37635
26, -34.15, 26.0988
27, -35.77, 26.02665
28, -34.59, 23.3793
29, -32.69, 22.58035
30, -20.95, 23.2787
31, -15.18, 22.97535
32, -7.13, 22.73125
33, -0.24, 25.3084
34, 3.26, 25.1381
35, 7.88, 24.78845
36, 7.79, 25.23325
37, 7.75, 25.8457
38, 10.5, 28.26465
39, 13.07, 27.9391
40, 13.41, 27.5704
41, 19.33, 27.3905
42, 31.17, 29.8729
43, 30.31, 29.5459
44, 30.31, 29.42675
45, 28.73, 30.0502
46, 29.25, 30.31545
47, 20.94, 29.808
48, 14.45, 29.3543
49, 10.42, 28.71065
50, 9.82, 26.8437
51, 7.86, 26.7258
52, 0.27, 25.9928
53, 0.36, 25.5948
54, -4.82, 26.43345
55, -9.54, 24.31035
56, -13.27, 24.4583
57, -17.28, 23.62
58, -28.47, 24.0105
59, -35.48, 21.734
60, -34.09, 21.98875
61, -30.35, 23.45035
62, -30.45, 23.5348
63, -25.83, 22.80405
64, -23.64, 25.15765
65, -26.81, 24.90015
66, -25.57, 25.3392
67, -23.34, 25.514
68, -31.78, 26.7678
69, -20.73, 25.93005
70, -22.87, 26.20575
71, -13.13, 25.8046
72, -13.13, 25.54615
73, -16.65, 25.654
74, -7.38, 26.56065
75, -7.77, 27.9949
76, -18.31, 27.88525
77, -19.46, 28.42525
78, -26.28, 27.05185
79, -17.68, 28.4111
80, -22.13, 30.11045
81, -22.13, 29.21385
82, -18.95, 29.8321
83, -14.95, 29.4434
84, -18.25, 29.47265
85, -10.31, 27.64985
86, -16.62, 27.80065
87, -21.31, 27.50615
88, -27.19, 26.879
89, -24.01, 26.61205
90, -27.48, 26.2542
91, -35.12, 25.1409
92, -41, 22.14405
93, -41.54, 24.2382
94, -35.62, 24.0097
95, -28.91, 24.429
96, -46.6, 23.58665
97, -40.5, 26.28645
98, -39.64, 24.2126
99, -40.68, 24.8669
100, -51.95, 27.2422
101, -37.52, 28.8831
102, -39.26, 28.76105
103, -43.41, 29.93105
104, -43.62, 29.5118
105, -43.93, 29.26585
106, -42.69, 29.7863
107, -40.51, 30.163
