"[codon window], [value], [random reverse translation average]"
"1, 53.03, 29.6985"
"2, 54.68, 30.39035"
"3, 56.68, 29.7373"
"4, 52.34, 29.0194"
"5, 45.37, 27.7113"
"6, 56.27, 28.2792"
"7, 48.94, 29.26435"
"8, 42.42, 27.9615"
"9, 42.94, 28.63645"
"10, 48.14, 28.73235"
"11, 53.92, 29.3219"
"12, 55.18, 29.5185"
"13, 61.68, 28.1903"
"14, 59.52, 27.9895"
"15, 55.74, 28.2114"
"16, 44.71, 26.6207"
"17, 55.73, 26.47935"
"18, 55.61, 26.43755"
"19, 43.84, 24.73945"
"20, 27.46, 26.731"
"21, 26.75, 26.77375"
"22, 27.24, 27.1718"
"23, 8.34, 26.6053"
"24, 11.33, 25.28375"
"25, 15.02, 25.36685"
"26, 22.9, 24.68605"
"27, 11.97, 24.24945"
"28, 7.77, 23.8265"
"29, 7.77, 23.518"
"30, 4.24, 24.037"
"31, 10.5, 26.29305"
"32, 1.23, 26.48875"
"33, 13.7, 26.9671"
"34, 3.5, 25.6059"
"35, 15.99, 26.14145"
"36, 20.12, 25.4801"
"37, 24.22, 23.87735"
"38, 26.56, 24.0627"
"39, 26.56, 23.44245"
"40, 31.63, 23.8259"
"41, 36.57, 24.8101"
"42, 39.84, 26.1172"
"43, 45.11, 26.5701"
"44, 50.3, 28.1177"
"45, 55.29, 28.26145"
"46, 53.88, 28.3335"
"47, 58.15, 29.6395"
"48, 59.5, 27.4444"
"49, 59.98, 27.24185"
"50, 59.98, 27.968"
"51, 57.01, 27.7908"
"52, 44.72, 27.422"
"53, 44.85, 27.23445"
"54, 45.24, 27.07835"
"55, 47.54, 27.25705"
"56, 59.15, 27.1459"
"57, 56.51, 27.2644"
"58, 58.26, 25.78785"
"59, 60.8, 24.78255"
"60, 62.22, 26.13565"
"61, 54.53, 25.06945"
"62, 54.53, 25.3258"
"63, 48.03, 24.3894"
"64, 48.83, 22.5218"
"65, 42.32, 22.8901"
"66, 42.53, 24.299"
"67, 41.29, 23.5001"
"68, 44.02, 23.97875"
"69, 47.9, 24.0423"
"70, 51.75, 23.9779"
"71, 49.74, 23.7274"
"72, 51.59, 24.77465"
"73, 50.36, 25.283"
"74, 50.04, 25.52335"
"75, 43.79, 25.81105"
"76, 33.82, 26.3234"
"77, 33.82, 26.4042"
"78, 40.82, 26.2116"
"79, 45.71, 26.33295"
"80, 49.37, 27.33275"
"81, 40.25, 29.2658"
"82, 46.01, 30.18055"
"83, 48.81, 29.39425"
"84, 52.62, 29.62735"
"85, 58.13, 29.15165"
"86, 58.43, 28.92455"
"87, 57.11, 29.7002"
"88, 65.07, 30.7571"
"89, 65.72, 29.7117"
"90, 57.74, 29.47105"
"91, 65.28, 29.371"
"92, 67.37, 29.51535"
"93, 69.42, 28.9141"
"94, 66.73, 27.33585"
"95, 57.87, 26.9391"
"96, 59.28, 26.1507"
"97, 65.38, 27.06155"
"98, 71.56, 25.32395"
"99, 65.52, 24.7036"
"100, 60.8, 24.2586"
"101, 57.57, 23.65545"
"102, 48.91, 23.60345"
"103, 52.51, 25.6714"
"104, 43.99, 26.27195"
"105, 33.49, 25.32025"
"106, 26.2, 25.5563"
"107, 38.81, 25.5797"
"108, 33.85, 25.3964"
"109, 38.66, 26.35185"
"110, 48.12, 27.7171"
"111, 52.91, 27.9972"
"112, 59.01, 28.0562"
"113, 56.01, 28.9199"
"114, 54.59, 29.4869"
"115, 51.9, 29.37785"
"116, 59.23, 31.058"
"117, 69.71, 33.143"
"118, 65.32, 32.83265"
"119, 72.04, 34.16025"
"120, 64.9, 32.82585"
"121, 64.9, 32.5232"
"122, 67.99, 32.25555"
"123, 72.09, 32.14455"
"124, 69.81, 32.79405"
"125, 65.96, 32.63825"
"126, 63.41, 32.18845"
"127, 62.66, 30.4734"
"128, 58.28, 30.11675"
"129, 54.25, 30.2484"
"130, 45.59, 30.40155"
"131, 44.26, 28.5222"
"132, 46.72, 28.92405"
"133, 40.61, 27.3203"
"134, 30.03, 24.777"
"135, 33.27, 24.9509"
"136, 15.64, 21.59555"
"137, 15.19, 21.97895"
"138, 32.01, 23.2322"
"139, 45.6, 22.89755"
"140, 52.41, 23.2148"
"141, 51.21, 22.7956"
"142, 55.61, 21.9277"
"143, 55.61, 21.91495"
"144, 55.82, 23.747"
"145, 46.37, 25.33705"
"146, 41.86, 24.75375"
"147, 48.06, 24.558"
"148, 42.22, 24.8331"
"149, 39.66, 24.5583"
"150, 47.61, 26.60885"
"151, 50.16, 26.37875"
"152, 43.89, 26.35395"
"153, 49.82, 26.58075"
"154, 49.82, 26.0513"
"155, 44.77, 23.91675"
"156, 30.7, 25.3743"
"157, 13.08, 24.86865"
"158, 18.64, 25.5917"
"159, 15.87, 25.4986"
"160, 11.96, 25.29925"
"161, 13.62, 25.5035"
"162, 14.18, 25.59045"
"163, 26.08, 27.12595"
"164, 20.1, 27.2296"
"165, 23.12, 27.4083"
"166, 33.23, 29.22695"
"167, 25.11, 26.47665"
"168, 30.38, 26.02315"
"169, 31.09, 25.9105"
"170, 36.55, 26.82015"
"171, 40.35, 26.6898"
"172, 40.24, 27.29575"
"173, 48.64, 28.2142"
