> HerLC-Arch1
 %Min windows = 15% of gene
 Largest magnitude %Min = -28 at codon 19 
[codon window], [value], [random reverse translation average]
1, 33.14, 28.8678
2, 25.6, 28.589
3, 27.63, 29.19945
4, 20.39, 29.3543
5, 20.39, 29.5662
6, 18.99, 29.52665
7, 17.76, 30.31955
8, 22.01, 30.43895
9, 17.53, 30.623
10, 14.71, 31.14905
11, 18.88, 32.1996
12, 13.37, 32.08065
13, 14.69, 31.1241
14, 13.78, 31.47425
15, -2.79, 32.01715
16, -0.37, 29.86585
17, -14.94, 30.8959
18, -27.27, 29.7864
19, -28.51, 30.26655
20, -24.67, 29.4981
21, -20.99, 28.97985
22, -24.04, 28.42785
23, -19.84, 29.8643
24, -8.09, 29.60415
25, -20.79, 27.0241
26, -9.14, 28.1319
27, -8.86, 29.35455
28, -12.16, 29.64885
29, -6.87, 29.52585
30, 5.97, 28.71445
31, 5.31, 29.1993
32, 16.81, 28.41835
33, 16.48, 29.1661
34, 27.01, 30.12095
35, 26.83, 29.36085
36, 28.84, 29.4411
37, 23.3, 29.05245
38, 26.42, 29.2102
39, 25.26, 29.4813
40, 24.74, 29.2244
41, 13.48, 28.0049
42, 16.59, 29.10055
43, 10.24, 28.6002
44, 12.7, 29.2176
45, 12.61, 29.41155
46, 12.82, 29.04785
47, -4.25, 31.1355
48, -2.03, 30.356
49, 6.14, 31.7701
50, 11.8, 31.59475
51, 18.46, 31.18745
52, 11.94, 32.22935
53, 13.65, 31.6813
54, 13.84, 32.3584
55, 13.63, 32.6286
56, 13.77, 32.55985
57, 5.99, 32.4779
58, 16.65, 32.726
59, 13.22, 32.0112
60, 7.65, 30.8695
61, 17.13, 29.5839
62, 12.97, 29.7899
63, 18.75, 31.2554
64, 22.56, 29.8296
65, 25.84, 30.13055
66, 19.76, 28.49145
67, 17.91, 29.70915
68, 10.55, 29.22105
69, 16.53, 28.52375
70, 14.01, 29.17835
71, 14.11, 29.2455
72, 18.58, 28.19795
73, 16.73, 27.9837
74, 24.22, 26.87925
75, 16.7, 26.71515
76, 13.9, 26.92995
77, 20.69, 29.23245
78, 13.19, 30.4353
79, 26.8, 31.7992
80, 17.44, 30.60855
81, 24.99, 30.8779
82, 22.85, 33.0085
83, 25.17, 32.8268
84, 15.54, 32.86575
85, 15.54, 32.0774
86, 18.63, 31.9958
87, 14.72, 30.7261
88, 19.95, 30.3922
89, 13.71, 30.5093
90, 16.49, 30.65495
91, 26.94, 32.07735
92, 24.82, 31.8849
93, 23.77, 32.1112
94, 32.78, 32.31485
95, 35.29, 33.0947
96, 33.02, 33.10725
97, 34.62, 32.4478
98, 28.89, 31.8751
99, 28.85, 30.62915
100, 31.73, 30.90665
101, 41.48, 29.96105
102, 44.65, 31.4013
103, 36.38, 32.4403
104, 38.14, 32.93955
105, 38.44, 33.2239
106, 37.99, 33.18445
107, 41.93, 33.09065
108, 31.27, 31.0186
109, 33.92, 31.122
110, 36.76, 30.2245
111, 31.05, 31.33345
112, 28.61, 29.6224
113, 23.48, 28.96815
114, 20.52, 28.5943
115, 31.39, 28.86705
116, 25.58, 29.3112
117, 20.66, 29.19085
118, 17.44, 28.65265
119, 10.35, 27.4499
120, 16.32, 26.28685
121, 17.13, 26.28825
122, 15.24, 25.9887
123, 17.94, 26.58
124, 17.41, 27.6629
125, 18.5, 30.54975
126, 19.85, 30.19905
127, 17.98, 32.46135
128, 14.3, 30.71195
129, 6.97, 30.32255
130, 11.93, 29.54055
131, 14.25, 30.42855
132, 3.22, 30.37845
133, 17.16, 28.9202
134, 10.59, 28.36995
135, 11.59, 29.025
136, 18.28, 30.7411
137, 7.01, 29.16745
138, 10.23, 29.13415
139, 9.03, 29.3777
140, 12.65, 31.0862
141, 9.06, 30.0369
142, 10.36, 27.0699
143, 2.93, 27.1852
144, 6.55, 23.95505
145, 16.51, 23.9714
146, 12.3, 24.29575
147, 14.91, 24.96965
148, 17.73, 24.9344
149, 22.42, 25.66745
150, 10.68, 25.74715
151, 12.94, 25.7158
152, 14.93, 25.59655
153, 19.53, 23.94955
154, 29.77, 24.46265
155, 25.31, 24.00695
156, 25.38, 23.4976
157, 23.8, 21.0326
158, 21.27, 21.56765
159, 22.35, 22.0428
160, 26.82, 22.2933
161, 28.99, 23.08525
162, 14.52, 22.5686
163, 25.21, 22.9516
164, 12.47, 22.1623
165, 8.25, 22.4325
166, 6.62, 21.8675
167, 8.76, 24.0459
168, 13.25, 23.7281
169, 11.33, 23.7978
170, 10.92, 23.6615
171, 11.11, 23.46535
172, 10.44, 23.6883
173, 12.6, 23.68215
174, 7.89, 23.22735
175, 8.35, 23.0072
176, -4.98, 24.71485
177, -6.28, 24.7353
178, -20.95, 23.8904
179, 1.16, 25.52055
180, -7.96, 24.68685
181, 0.37, 25.4386
182, 7.35, 25.18035
183, 16.13, 27.1934
184, 8.1, 25.14965
185, -4.47, 25.66405
186, -10.32, 26.1534
187, -19.84, 27.2165
188, -9.26, 27.9586
189, -6.95, 27.8094
190, -10.85, 27.9546
191, -8.47, 28.6266
192, -9.12, 28.4499
193, 3.22, 26.8862
194, 1.64, 28.16765
195, -2.55, 29.42365
196, -9.65, 29.02275


