"[codon window], [value], [random reverse translation average]"
"1, 9.57, 33.472"
"2, 4.38, 33.64685"
"3, 3.34, 32.4489"
"4, -6.61, 32.6177"
"5, -6.84, 31.2371"
"6, -7.49, 31.9252"
"7, -9.18, 32.578"
"8, -7.3, 31.2493"
"9, -12.61, 30.4493"
"10, -13.28, 30.74965"
"11, -7.61, 30.72505"
"12, -12.72, 30.7178"
"13, -32.35, 29.0264"
"14, -29.85, 28.75015"
"15, -17.14, 28.29505"
"16, -7.09, 26.3486"
"17, -7.09, 26.0428"
"18, -9.88, 26.07375"
"19, -10.58, 25.0294"
"20, -1.23, 27.4816"
"21, 2.14, 26.9164"
"22, 10.82, 26.90795"
"23, 8.26, 26.96335"
"24, 11.23, 24.4063"
"25, 7.74, 24.5615"
"26, 14.5, 24.8845"
"27, 13.05, 23.43885"
"28, 8.67, 22.7681"
"29, 8.67, 22.91235"
"30, 14.62, 23.5196"
"31, 7.05, 25.72475"
"32, -2.55, 26.39085"
"33, -6.96, 27.9578"
"34, -4.81, 25.87945"
"35, -12.77, 25.0996"
"36, -10.52, 24.377"
"37, -23.88, 22.1294"
"38, -23.36, 22.3931"
"39, -33.98, 23.1336"
"40, -14.6, 23.1768"
"41, -3.62, 24.33155"
"42, -10.07, 25.62"
"43, -11.62, 25.65655"
"44, -13.71, 27.03355"
"45, -10.28, 27.8832"
"46, -5.1, 27.6908"
"47, -6.04, 29.4226"
"48, -5.87, 28.03635"
"49, 2.36, 28.0058"
"50, 1.82, 27.2237"
"51, 3.52, 28.2009"
"52, 7.26, 29.08865"
"53, 4.05, 28.676"
"54, 7.35, 28.30825"
"55, 7.59, 29.1321"
"56, 6, 28.7355"
"57, -7.83, 28.4918"
"58, -20.68, 27.0556"
"59, -21.52, 25.76665"
"60, -27.22, 27.59925"
"61, -22.88, 26.9693"
"62, -22.88, 26.94805"
"63, -23.03, 26.0863"
"64, -22.99, 24.59695"
"65, -26.04, 24.164"
"66, -29.6, 25.191"
"67, -34.43, 24.96815"
"68, -43.94, 25.0001"
"69, -41.5, 25.12335"
"70, -38.35, 25.07065"
"71, -45.37, 24.9714"
"72, -47.4, 26.0008"
"73, -46.97, 25.8155"
"74, -47.15, 26.2381"
"75, -50.68, 26.6007"
"76, -50.68, 26.2249"
"77, -46.52, 25.92125"
"78, -48.03, 25.71495"
"79, -51.79, 25.2421"
"80, -56, 25.69975"
"81, -52.35, 27.44545"
"82, -46.79, 28.40895"
"83, -53.91, 26.9998"
"84, -48.07, 27.11625"
"85, -45.28, 26.8599"
"86, -43.66, 26.73055"
"87, -49.14, 28.9544"
"88, -40.86, 30.2648"
"89, -26.65, 29.0718"
"90, -28.13, 29.54935"
"91, -29.23, 28.9086"
"92, -27.01, 29.0915"
"93, -20.38, 30.1647"
"94, -21.95, 29.0009"
"95, -26.02, 29.059"
"96, -32.9, 28.52545"
"97, -34.2, 28.5059"
"98, -36.39, 26.425"
"99, -40.68, 26.06175"
"100, -38.93, 25.85615"
"101, -43.91, 25.51345"
"102, -36.34, 24.7874"
"103, -41.06, 26.84355"
"104, -35.52, 24.91345"
"105, -34.03, 23.3097"
"106, -52.87, 23.913"
"107, -47.17, 23.7159"
"108, -43.73, 24.02435"
"109, -49.8, 25.65955"
"110, -49.58, 27.36885"
"111, -46.21, 27.10575"
"112, -37.96, 26.57885"
"113, -26.32, 27.22205"
"114, -27.41, 27.95875"
"115, -33.86, 27.7237"
"116, -32.78, 29.05005"
"117, -33.58, 30.8621"
"118, -21.2, 30.9553"
"119, -31.62, 32.4146"
"120, -31.08, 31.00255"
"121, -31.08, 32.1813"
"122, -37.74, 32.2265"
"123, -30.2, 31.81795"
"124, -34.91, 32.7763"
"125, -31.98, 32.24335"
"126, -24.48, 31.1242"
"127, -30.02, 28.46405"
"128, -28.86, 28.8595"
"129, -36.15, 29.22515"
"130, -46.84, 29.781"
"131, -40.46, 29.7555"
"132, -34.86, 30.51425"
"133, -28.32, 28.91155"
"134, -25.05, 27.06605"
"135, -37.71, 27.0975"
"136, -20.02, 23.28345"
"137, -20.37, 22.95575"
"138, -19.4, 22.9733"
"139, -22.24, 23.2252"
"140, -32.66, 23.151"
"141, -25.83, 22.4052"
"142, -27.66, 22.13945"
"143, -27.66, 22.0934"
"144, -30.12, 24.87635"
"145, -31.41, 25.0448"
"146, -36.42, 25.05835"
"147, -31.18, 24.9522"
"148, -35.23, 24.2197"
"149, -37.96, 24.24585"
"150, -40.69, 25.9738"
"151, -36.3, 25.90925"
"152, -41.27, 25.66135"
"153, -49.93, 26.5592"
"154, -49.93, 26.8176"
"155, -53.1, 25.04565"
"156, -48.68, 24.80725"
"157, -45.25, 25.03605"
"158, -44.6, 26.3344"
"159, -47.64, 26.03655"
"160, -45.91, 25.50815"
"161, -42.84, 25.48925"
"162, -42.32, 26.71115"
"163, -37.18, 26.05845"
"164, -42.9, 25.96065"
"165, -42.9, 25.93875"
"166, -44.99, 28.0971"
"167, -30.74, 26.74295"
"168, -35.89, 27.02135"
"169, -35.37, 26.75845"
"170, -39.04, 28.2811"
"171, -39.82, 28.17265"
"172, -40.23, 28.4283"
"173, -44.69, 30.7644"
