"[codon window], [value], [random reverse translation average]"
"1, 71.75, 30.6866"
"2, 78.65, 31.68485"
"3, 78.7, 31.64485"
"4, 68.25, 33.0552"
"5, 67.82, 33.1546"
"6, 65.93, 31.8735"
"7, 71.78, 32.91965"
"8, 69.62, 31.4979"
"9, 78.41, 33.62455"
"10, 69.06, 33.9374"
"11, 67.85, 33.4973"
"12, 67.85, 33.44495"
"13, 62.26, 33.3997"
"14, 63.07, 34.01355"
"15, 62.98, 33.5147"
"16, 59.03, 32.90705"
"17, 54.94, 32.1165"
"18, 54.94, 31.1766"
"19, 44.69, 29.5645"
"20, 50.73, 29.292"
"21, 56.2, 28.3041"
"22, 56.49, 28.14825"
"23, 59.7, 27.8823"
"24, 59.61, 28.1644"
"25, 55.45, 28.08515"
"26, 48.7, 26.1512"
"27, 51.68, 25.9532"
"28, 50.76, 26.03835"
"29, 48.33, 25.887"
"30, 51.07, 25.6926"
"31, 44.36, 25.34785"
"32, 38.15, 23.51955"
"33, 50.3, 25.8194"
"34, 54.35, 26.3277"
"35, 54.35, 25.754"
"36, 63.26, 27.1665"
"37, 60.85, 27.3415"
"38, 61.16, 27.36585"
"39, 65.68, 26.66685"
"40, 62.84, 26.7867"
"41, 51.11, 24.79005"
"42, 46.8, 24.59665"
"43, 49.87, 24.81705"
"44, 49.83, 23.94575"
"45, 57.4, 23.8254"
"46, 60.42, 23.98425"
"47, 52.91, 24.7918"
"48, 55.62, 24.63755"
"49, 49.86, 26.1305"
"50, 39, 24.41805"
"51, 32.06, 23.9492"
"52, 30.61, 24.39995"
"53, 32.68, 23.42865"
"54, 34.05, 24.4684"
"55, 39.92, 25.57045"
"56, 37.66, 27.0816"
"57, 31.88, 26.87905"
"58, 32.61, 26.7572"
"59, 43.87, 27.48385"
"60, 48.76, 29.05795"
"61, 45.64, 29.46125"
"62, 38, 29.62755"
"63, 43.01, 30.45405"
"64, 49.98, 30.9196"
"65, 53.16, 31.14425"
"66, 58.94, 30.3101"
"67, 66.38, 30.69975"
"68, 71.7, 31.4634"
"69, 74.08, 31.60005"
"70, 66.23, 32.2306"
"71, 66.73, 32.63245"
"72, 58.06, 32.08925"
"73, 54.99, 31.71635"
"74, 61.08, 32.01525"
"75, 66.72, 32.21065"
"76, 64.19, 32.23675"
"77, 51.17, 30.48585"
"78, 59.77, 30.7649"
"79, 59.46, 30.48955"
"80, 47.66, 29.2523"
"81, 41.35, 28.46235"
"82, 31.99, 28.5743"
"83, 35.98, 30.18505"
"84, 31.84, 30.0427"
"85, 31.84, 28.68585"
"86, 37.18, 29.21295"
"87, 48.86, 29.5487"
"88, 42.28, 28.1972"
"89, 50.06, 28.465"
"90, 47.04, 28.41655"
"91, 47.04, 28.426"
"92, 46.9, 28.49935"
"93, 38.96, 28.8442"
"94, 39.25, 28.6475"
"95, 33.71, 28.2133"
"96, 41, 28.56405"
"97, 52.77, 29.5144"
"98, 59.19, 31.15395"
"99, 66.4, 31.70545"
"100, 62.06, 30.48625"
"101, 61.86, 30.35905"
"102, 56.63, 30.9784"
"103, 52.29, 30.89905"
"104, 46.12, 29.142"
"105, 46.79, 28.7917"
"106, 39.69, 31.15885"
"107, 34.14, 31.22955"
"108, 31.34, 31.0313"
"109, 27.27, 32.12225"
"110, 33.85, 32.35355"
"111, 39.05, 31.56515"
"112, 41.07, 31.7682"
"113, 33.37, 31.38515"
"114, 27.54, 30.6043"
"115, 25.1, 29.41015"
"116, 13.56, 27.83385"
"117, 9.43, 27.0657"
"118, 19.76, 29.04195"
"119, 15.29, 28.7276"
"120, 12.22, 28.5579"
"121, 11.92, 28.03135"
"122, 16.6, 28.6289"
"123, 14.72, 26.3032"
"124, 15.28, 27.2262"
"125, 17.73, 27.3392"
"126, 23.23, 25.87835"
"127, 30.03, 27.48655"
"128, 36.68, 29.2857"
"129, 35.36, 28.65395"
"130, 44.83, 28.86245"
"131, 47.2, 29.76815"
"132, 44.7, 29.3213"
"133, 47.12, 29.3939"
"134, 56.24, 31.24865"
"135, 55.5, 29.7555"
"136, 56.35, 29.5309"
"137, 65.58, 30.8187"
"138, 66.69, 31.59105"
"139, 64.49, 31.3044"
"140, 71.31, 32.0143"
"141, 80.26, 30.9745"
"142, 80.05, 31.26525"
"143, 80.63, 32.59075"
"144, 81.13, 30.50385"
"145, 70.61, 29.44765"
"146, 78.58, 29.8702"
"147, 76.9, 29.6569"
"148, 77.72, 29.1351"
"149, 74.01, 28.68345"
"150, 65.71, 28.05685"
"151, 64.51, 27.749"
"152, 63.48, 27.7803"
"153, 71.5, 28.50025"
"154, 71.5, 28.76795"
"155, 65.53, 28.9678"
"156, 68.74, 29.37695"
"157, 68.57, 29.1989"
"158, 69.56, 29.0067"
"159, 71.5, 30.7552"
"160, 69.85, 29.51035"
"161, 69.2, 31.44615"
"162, 78.75, 30.37105"
"163, 68.55, 30.2749"
"164, 71, 30.0446"
"165, 72, 28.6632"
"166, 70.65, 28.2928"
"167, 74.16, 28.76715"
"168, 67.23, 27.7496"
"169, 68.91, 27.1904"
"170, 71.84, 26.3145"
"171, 68.12, 24.9744"
"172, 76.65, 26.19455"
"173, 76.11, 26.8916"
"174, 77.9, 28.0428"
"175, 78.4, 28.4519"
"176, 78.85, 26.7999"
"177, 78.92, 27.05345"
"178, 78.64, 27.29165"
"179, 78.19, 28.61175"
"180, 84.92, 28.66935"
"181, 83.96, 28.6211"
"182, 77.57, 28.92045"
"183, 83.09, 30.14345"
