"[codon window], [value], [random reverse translation average]"
"1, 98.94, 29.705"
"2, 90.4, 29.85185"
"3, 90.82, 29.2254"
"4, 90.28, 29.0393"
"5, 90.09, 28.07605"
"6, 90.09, 28.84905"
"7, 90.24, 30.6523"
"8, 89.46, 29.15045"
"9, 88.62, 29.8313"
"10, 89.15, 30.26595"
"11, 87.27, 30.7539"
"12, 88.77, 30.23995"
"13, 81.58, 28.69215"
"14, 81.83, 28.51485"
"15, 73.18, 28.4178"
"16, 71.04, 26.73315"
"17, 48.65, 27.31005"
"18, 48.51, 27.20765"
"19, 59.66, 27.1051"
"20, 56.52, 28.53625"
"21, 52.95, 28.32805"
"22, 52.77, 27.7858"
"23, 36.95, 27.9864"
"24, 28.34, 24.71025"
"25, 25, 25.1574"
"26, 29.93, 26.1413"
"27, 24.13, 25.35145"
"28, 20.34, 25.1595"
"29, 20.34, 25.4776"
"30, 26.73, 25.86125"
"31, 18.41, 26.92275"
"32, 27.57, 27.27355"
"33, 30.51, 28.7179"
"34, 54.69, 26.42205"
"35, 60.56, 27.0118"
"36, 57.12, 25.7371"
"37, 54.55, 24.15735"
"38, 61.92, 24.69665"
"39, 61.92, 24.3486"
"40, 72.2, 23.46365"
"41, 74.21, 24.26355"
"42, 77.23, 25.3046"
"43, 76.82, 25.2407"
"44, 77.86, 26.83665"
"45, 90.26, 26.7288"
"46, 88.63, 26.8373"
"47, 89.68, 28.58855"
"48, 98.76, 27.6597"
"49, 92.27, 27.7684"
"50, 92.27, 27.1162"
"51, 91.9, 26.93775"
"52, 82.97, 26.21785"
"53, 83.02, 25.81125"
"54, 84.23, 25.96905"
"55, 82.87, 25.82415"
"56, 84.43, 25.3893"
"57, 76.42, 25.523"
"58, 77.37, 25.15"
"59, 78.75, 23.70675"
"60, 79.52, 25.70925"
"61, 79.96, 24.89"
"62, 67.79, 25.5052"
"63, 71.94, 25.71985"
"64, 72.37, 24.3182"
"65, 74.25, 24.44375"
"66, 80.07, 25.03775"
"67, 79.64, 24.6881"
"68, 80.33, 24.73695"
"69, 85.2, 24.992"
"70, 86.29, 24.88005"
"71, 85.8, 24.94825"
"72, 84.6, 25.91715"
"73, 84.21, 26.63675"
"74, 88.92, 27.1047"
"75, 88, 26.9787"
"76, 88, 27.06455"
"77, 88, 27.2126"
"78, 87.99, 26.5243"
"79, 98.09, 26.2444"
"80, 97.92, 26.14155"
"81, 97.88, 27.2541"
"82, 96.47, 27.61895"
"83, 96.47, 26.85125"
"84, 96.73, 26.19345"
"85, 96.74, 26.794"
"86, 95.33, 26.7193"
"87, 95.18, 28.31505"
"88, 95.45, 29.8057"
"89, 97.59, 28.76785"
"90, 97.49, 28.5244"
"91, 97.58, 28.61665"
"92, 96.53, 28.71345"
"93, 96.42, 28.84405"
"94, 94.55, 26.8077"
"95, 94.32, 26.99505"
"96, 94.51, 27.00085"
"97, 95.01, 26.57325"
"98, 91.83, 24.9674"
"99, 93.19, 24.33555"
"100, 93.42, 24.64625"
"101, 92.87, 24.876"
"102, 92.51, 23.9181"
"103, 94.56, 26.19395"
"104, 94.54, 25.4415"
"105, 94.2, 23.2598"
"106, 94.1, 23.9186"
"107, 94.55, 24.3706"
"108, 94.11, 24.29555"
"109, 95.68, 25.3611"
"110, 95.75, 27.5515"
"111, 97.51, 26.9599"
"112, 97.5, 26.9489"
"113, 90.54, 27.1609"
"114, 90.23, 28.63315"
"115, 87.2, 28.77415"
"116, 79.4, 30.26345"
"117, 66.87, 32.28655"
"118, 67.75, 32.9448"
"119, 56.72, 33.9264"
"120, 48.94, 32.45395"
"121, 41.3, 32.62515"
"122, 37.85, 32.78925"
"123, 32.45, 32.11825"
"124, 26.93, 32.521"
"125, 31.18, 32.3513"
"126, 24.41, 31.89755"
"127, 13.67, 29.8204"
"128, 0.19, 30.8098"
"129, -2.4, 30.88815"
"130, 6.71, 31.1236"
"131, -3.34, 30.7344"
"132, -5.96, 31.13415"
"133, 9.59, 29.40685"
"134, 17.81, 26.41155"
"135, 10.57, 25.3871"
"136, 28.92, 22.76205"
"137, 40.87, 21.84155"
"138, 26, 22.1275"
"139, 15.21, 22.4454"
"140, 14.65, 23.0994"
"141, 8.84, 23.04805"
"142, 1.93, 22.2529"
"143, 4.1, 22.33875"
"144, -4.4, 24.4551"
"145, -8.05, 24.1756"
"146, -9.94, 24.02515"
"147, -17.22, 23.4543"
"148, -16.91, 22.4873"
"149, -13.56, 22.4199"
"150, -10.5, 25.0707"
"151, -14.53, 24.97075"
"152, -20.55, 25.1213"
"153, -27.94, 25.6315"
"154, -40.21, 25.6478"
"155, -31.33, 24.3877"
"156, -25.42, 24.61865"
"157, -19.69, 23.9843"
"158, -3.23, 24.40885"
"159, -1.8, 24.15765"
"160, 11.55, 24.18515"
"161, 30.27, 24.7099"
"162, 45.9, 26.40475"
"163, 58.58, 26.7579"
"164, 61.84, 27.3633"
"165, 61.84, 27.3828"
"166, 65.4, 29.5424"
"167, 64.63, 27.69425"
"168, 70.15, 27.73995"
"169, 77.7, 27.26085"
"170, 79.47, 28.6182"
"171, 87.09, 29.2017"
"172, 89.77, 29.54905"
"173, 100, 30.7227"
