>hGCSF_IDT 
 %Min windows = 6% of gene
 Largest magnitude %Min = -11 at codon 18 
[codon window], [value], [random reverse translation average]
1, 18.35, 28.5238
2, 18.96, 27.1021
3, 17.61, 26.88585
4, 21.21, 25.9465
5, 17.41, 26.5448
6, 11.25, 24.74215
7, 5.72, 25.0881
8, 1.77, 24.5798
9, -4.13, 26.8475
10, -7.18, 25.3545
11, -8.9, 26.63815
12, 1.19, 27.9025
13, -0.97, 28.4946
14, 2.64, 28.3369
15, 9.83, 28.8466
16, 5.41, 28.71835
17, 2.9, 28.33605
18, -11.21, 28.1403
19, -10.58, 28.62145
20, -4.13, 28.6702
21, 0.38, 27.9219
22, -0.65, 25.8194
23, -3.07, 26.79285
24, 9.52, 26.7636
25, 7.3, 26.96505
26, 11.21, 25.6001
27, 3.36, 25.40655
28, 7.19, 24.678
29, -4.73, 23.17525
30, 3.51, 24.01195
31, 0.15, 24.17575
32, -0.26, 23.1751
33, 2.42, 23.7739
34, 0.86, 24.2377
35, 0.86, 24.0768
36, 3.28, 23.39485
37, 9.55, 24.22785
38, 5.46, 24.99635
39, 13.85, 25.05365
40, 10.56, 24.176
41, 12.23, 25.76195
42, 10.03, 26.3098
43, 8.03, 27.49505
44, 12.59, 28.18365
45, 21.02, 28.73785
46, 18.23, 29.9411
47, 12.24, 27.98805
48, 13.41, 27.93765
49, 16.39, 27.99695
50, 19.39, 28.43825
51, 26.66, 29.27935
52, 29.82, 29.778
53, 35.42, 30.7777
54, 27.03, 30.4261
55, 34.96, 29.92995
56, 32.56, 29.85585
57, 32.56, 30.03105
58, 24.73, 28.93735
59, 28.17, 29.41835
60, 33.26, 28.6625
61, 39.33, 28.64565
62, 38.48, 27.59855
63, 44.73, 26.32905
64, 45.1, 26.42475
65, 47.74, 26.7902
66, 41.83, 26.6491
67, 41.18, 27.6325
68, 34.64, 26.5947
69, 33.82, 26.406
70, 37.93, 25.96565
71, 40.62, 25.76245
72, 36.38, 26.08625
73, 34.86, 27.3094
74, 37.5, 26.6445
75, 47.09, 26.0946
76, 43.18, 25.22095
77, 46.98, 26.3438
78, 34.49, 24.80255
79, 31.94, 24.809
80, 34.53, 26.30105
81, 30.04, 27.2837
82, 35.37, 27.1969
83, 37.86, 28.60325
84, 39.28, 27.2136
85, 49.18, 27.4383
86, 54, 28.8596
87, 51.76, 30.38425
88, 45.41, 30.4814
89, 40.02, 29.89105
90, 36.03, 28.76455
91, 38.43, 29.90225
92, 28.88, 29.5962
93, 34.37, 29.42465
94, 23.17, 28.61875
95, 24.96, 29.89095
96, 28, 29.7772
97, 28.81, 29.56715
98, 38.66, 29.01405
99, 35.18, 29.1167
100, 31.54, 28.89665
101, 28.36, 29.3959
102, 19.91, 29.5113
103, 19.73, 27.9283
104, 15.61, 26.83985
105, 18.46, 26.50635
106, 23.56, 26.59725
107, 28.28, 27.07765
108, 25.58, 25.7257
109, 24.83, 25.8338
110, 18.79, 25.6968
111, 18.46, 26.84165
112, 23.54, 27.11895
113, 12.88, 28.73085
114, 8.77, 28.76685
115, 14.85, 30.62155
116, 7.97, 30.1481
117, 11.82, 29.3751
118, 17.77, 30.26685
119, 17.77, 30.38245
120, 13.59, 30.96815
121, 15.91, 32.32815
122, 18.65, 33.82015
123, 15.82, 34.3674
124, 20.39, 35.1408
125, 22.35, 36.5521
126, 26.82, 36.85015
127, 26.74, 38.67055
128, 33.23, 37.2801
129, 38.72, 36.88445
130, 41.15, 36.34685
131, 39.91, 35.33725
132, 30.54, 35.75815
133, 34.82, 37.83535
134, 30.09, 37.75825
135, 20.08, 37.97015
136, 22.44, 38.6139
137, 25.51, 37.88105
138, 21.8, 35.56055
139, 21.08, 33.6949
140, 26.84, 33.4486
141, 23.61, 32.5601
142, 24.13, 31.9789
143, 18.38, 30.9172
144, 17.18, 29.39955
145, 16.4, 29.58005
146, 10.69, 29.14715
147, 10.76, 28.8784
148, 10.56, 28.8454
149, 8.75, 27.33225
150, 9.65, 25.5271
151, 9.4, 24.6085
152, 21.52, 24.45015
153, 25.55, 23.52465
154, 27.6, 22.6185
155, 28.08, 24.4345
156, 29.66, 24.79995
157, 20.62, 24.438
158, 26.77, 25.0092
159, 24.25, 25.21025


