"[codon window], [value], [random reverse translation average]"
"1, 5.45, 34.4123"
"2, -4.14, 34.04925"
"3, -5.44, 32.41585"
"4, -15.33, 31.5033"
"5, -15.59, 30.14135"
"6, -15.59, 29.80495"
"7, -12.86, 30.50355"
"8, -6.27, 29.56345"
"9, -0.11, 29.55265"
"10, -10, 30.04345"
"11, -14.38, 30.31545"
"12, -17.63, 30.4419"
"13, -10.41, 27.58"
"14, -8.32, 27.2445"
"15, -3.47, 27.04055"
"16, -7.84, 24.58105"
"17, -20.54, 24.53555"
"18, -23.38, 24.3264"
"19, -18.05, 23.5387"
"20, -12.24, 26.69595"
"21, -11.55, 26.63465"
"22, -21.17, 25.7707"
"23, -27.1, 26.5923"
"24, -28.8, 24.79495"
"25, -32.75, 24.8546"
"26, -46.29, 24.60815"
"27, -41.58, 23.36345"
"28, -40.45, 22.3418"
"29, -28.93, 21.1741"
"30, -25.76, 21.81255"
"31, -35.21, 24.76645"
"32, -34.57, 25.05185"
"33, -18.58, 25.88525"
"34, -1.45, 23.15515"
"35, -0.33, 22.52905"
"36, 2.44, 21.366"
"37, -0.17, 18.93765"
"38, -1.04, 19.4726"
"39, 7.2, 19.3435"
"40, 20.38, 19.68225"
"41, 26.13, 20.9096"
"42, 29.11, 22.88785"
"43, 28.17, 23.68365"
"44, 34.12, 25.0926"
"45, 38.45, 25.08285"
"46, 35.2, 25.61225"
"47, 42.39, 27.0165"
"48, 52.45, 24.5746"
"49, 45.82, 24.3767"
"50, 33.18, 24.21805"
"51, 28.95, 24.58075"
"52, 35.98, 26.36065"
"53, 32.71, 25.9272"
"54, 29.93, 26.76965"
"55, 32.12, 26.98055"
"56, 24.89, 29.20025"
"57, 20.87, 29.35275"
"58, 7.01, 28.46575"
"59, 2.82, 25.78655"
"60, 18.48, 26.25585"
"61, 20.25, 25.4395"
"62, 20.25, 26.2257"
"63, 15.35, 25.71315"
"64, 3.21, 24.29735"
"65, -7.17, 24.51905"
"66, 4.13, 25.3604"
"67, 6.31, 25.35275"
"68, 9.44, 25.32385"
"69, 7, 24.7786"
"70, 15.97, 24.62495"
"71, 18.2, 24.05815"
"72, 21.21, 25.1719"
"73, 28.45, 24.2428"
"74, 28.6, 24.4431"
"75, 33.09, 24.39025"
"76, 32.72, 25.28735"
"77, 32.72, 25.43885"
"78, 32.67, 25.1758"
"79, 28.79, 24.5911"
"80, 36, 24.91035"
"81, 39.5, 26.84785"
"82, 50.58, 27.5405"
"83, 37.95, 27.08375"
"84, 37.93, 26.2954"
"85, 34.43, 26.96325"
"86, 34.9, 26.79695"
"87, 28.33, 28.88315"
"88, 23.29, 29.82975"
"89, 13.7, 28.3495"
"90, 3.62, 27.63095"
"91, 2.19, 27.14195"
"92, 2.83, 27.2822"
"93, 10.98, 26.6619"
"94, 3.16, 25.5759"
"95, -1.28, 25.29195"
"96, 1.69, 25.51125"
"97, 10.69, 24.9548"
"98, 13.65, 22.8471"
"99, 16.13, 23.12095"
"100, 30.49, 23.3746"
"101, 30.29, 23.16945"
"102, 37.95, 22.1714"
"103, 29.83, 24.2234"
"104, 19.94, 21.8674"
"105, 18.46, 20.23755"
"106, 30.26, 20.87665"
"107, 42.56, 21.7392"
"108, 44, 21.9135"
"109, 36.68, 23.1921"
"110, 28.35, 25.2005"
"111, 34.97, 24.5303"
"112, 34.68, 24.77725"
"113, 40.73, 25.31445"
"114, 34.2, 27.07185"
"115, 26.69, 27.24155"
"116, 27.99, 28.2033"
"117, 14.79, 29.228"
"118, 22.53, 30.04165"
"119, 25.79, 31.0705"
"120, 34.12, 29.61055"
"121, 39.53, 31.07615"
"122, 42.14, 31.25675"
"123, 36.93, 31.029"
"124, 24.89, 31.3006"
"125, 23.65, 31.1771"
"126, 31.2, 30.53285"
"127, 33.9, 28.9799"
"128, 26.15, 30.1428"
"129, 24.56, 29.81275"
"130, 15.9, 29.363"
"131, 19.7, 28.4396"
"132, 27.05, 28.8282"
"133, 17.63, 26.68"
"134, 23.67, 24.32765"
"135, 15.05, 23.6781"
"136, -4.49, 21.9791"
"137, -18.11, 22.41705"
"138, 1.65, 22.53435"
"139, 2.78, 21.8803"
"140, 3.21, 22.69655"
"141, 5.8, 22.55935"
"142, 5.13, 21.75295"
"143, 2.96, 21.65695"
"144, -10.96, 23.5597"
"145, -12.99, 24.3605"
"146, 2.19, 24.58085"
"147, 5.4, 24.8701"
"148, 0.01, 24.7218"
"149, -1.16, 24.5232"
"150, -2.95, 26.4171"
"151, 0.78, 26.4173"
"152, -3.72, 26.025"
"153, 1.46, 26.21495"
"154, 1.46, 26.17255"
"155, -13.12, 25.22675"
"156, -18.39, 26.2741"
"157, -24.55, 25.65845"
"158, -20.14, 26.58335"
"159, -21.25, 26.2977"
"160, -18.1, 26.4841"
"161, -13.59, 27.3191"
"162, -25.39, 27.5623"
"163, -52.71, 28.34455"
"164, -42.82, 27.89195"
"165, -42.82, 27.60505"
"166, -42.35, 29.01695"
"167, -34.86, 27.08085"
"168, -22.56, 27.001"
"169, -11.95, 26.9597"
"170, -17.84, 28.08805"
"171, -9.62, 28.07525"
"172, -9.94, 28.1828"
"173, -14.94, 29.66955"
