> HerHC-Azenta
 %Min windows = 0% of gene
 Largest magnitude %Min = 11 at codon 286 
[codon window], [value], [random reverse translation average]
1, 98.19, 29.65545
2, 98.21, 30.68395
3, 98.31, 30.40375
4, 98.27, 30.59055
5, 98.18, 31.0697
6, 98.26, 32.75125
7, 98.28, 33.73705
8, 98.28, 32.1973
9, 98.28, 31.9281
10, 98.19, 31.3324
11, 97.03, 31.66355
12, 97.03, 31.5164
13, 94.53, 31.49565
14, 96.47, 30.2899
15, 96.41, 29.71805
16, 94.67, 28.53305
17, 94.68, 29.04105
18, 94.1, 29.554
19, 93.43, 28.1598
20, 93.16, 28.83735
21, 93.32, 31.54695
22, 93.49, 31.5683
23, 93.49, 30.6298
24, 90.34, 30.6414
25, 90.38, 32.85175
26, 85.78, 30.68285
27, 86.94, 32.50365
28, 89.71, 31.77425
29, 89.17, 32.06685
30, 92.26, 32.36515
31, 92.63, 33.1584
32, 92.89, 34.0173
33, 95, 35.0776
34, 95, 34.64405
35, 93.48, 34.55585
36, 93.82, 34.8918
37, 93.7, 35.26425
38, 91.92, 34.15895
39, 92.29, 34.7539
40, 89.92, 34.4821
41, 92.44, 33.2492
42, 92.56, 32.7565
43, 93.86, 32.9476
44, 93.94, 32.0787
45, 93.42, 32.68585
46, 84.46, 32.3323
47, 85.68, 31.9075
48, 84.69, 31.95615
49, 70.78, 31.8024
50, 70.78, 31.84105
51, 68.62, 32.09605
52, 72.09, 31.98785
53, 72.74, 32.0868
54, 73.2, 31.59925
55, 76.56, 32.1431
56, 75.53, 31.12215
57, 72.73, 31.25275
58, 73.14, 30.77725
59, 68.06, 29.69605
60, 69.58, 29.66505
61, 55.99, 29.40705
62, 58.5, 30.77745
63, 63.01, 31.31445
64, 64.27, 31.37665
65, 64.97, 31.5498
66, 75.85, 31.1539
67, 71.8, 29.3089
68, 73.81, 28.99
69, 75.28, 28.97005
70, 75.76, 29.14185
71, 76.19, 30.36455
72, 74.55, 29.07655
73, 74.55, 28.88945
74, 80.88, 28.7325
75, 81.23, 29.6502
76, 85.3, 30.38955
77, 83.78, 30.36815
78, 93.84, 29.99405
79, 93.26, 28.761
80, 95.42, 27.95405
81, 95.33, 28.4975
82, 95.16, 28.6363
83, 95.56, 29.80575
84, 97, 30.41565
85, 96.88, 30.5414
86, 96.77, 31.78
87, 96.47, 30.5533
88, 94.13, 29.23705
89, 94.56, 30.60505
90, 94.33, 31.0836
91, 94.15, 30.8694
92, 91.27, 30.61125
93, 90.17, 30.24885
94, 93.38, 31.5304
95, 95.74, 31.24175
96, 96.1, 32.5572
97, 96.02, 34.1889
98, 96.1, 32.47775
99, 82.31, 31.1549
100, 81.9, 29.8892
101, 67.43, 29.55015
102, 62.52, 29.75255
103, 62.38, 27.4014
104, 65.48, 29.1147
105, 69.23, 28.85915
106, 68.21, 27.8709
107, 65.89, 27.7213
108, 53.81, 28.5712
109, 47.36, 29.3945
110, 50.72, 28.5184
111, 50.72, 27.69785
112, 49.86, 27.77595
113, 48.79, 27.3289
114, 38.42, 26.9386
115, 37.41, 28.0776
116, 46.82, 29.4492
117, 47.56, 29.3262
118, 58.02, 28.86395
119, 58.3, 28.7262
120, 58.3, 29.3229
121, 57, 28.38585
122, 57, 28.27235
123, 57.77, 29.14665
124, 62.6, 30.14815
125, 74.61, 29.99155
126, 84.73, 30.09485
127, 84.94, 30.96315
128, 85.35, 30.81385
129, 86.11, 31.2297
130, 83.69, 30.72635
131, 95.8, 30.6566
132, 87.13, 30.42305
133, 84.32, 29.5332
134, 83.77, 29.5851
135, 81.33, 29.7353
136, 83.91, 29.74615
137, 81.42, 30.76
138, 80.89, 30.4808
139, 78.22, 31.7953
140, 78.22, 31.03275
141, 77.79, 30.088
142, 69.57, 29.8398
143, 60.39, 28.5672
144, 56.3, 28.3746
145, 48.97, 28.4237
146, 48.75, 27.00215
147, 55.58, 28.76145
148, 54.56, 29.66085
149, 68.48, 28.23235
150, 73.11, 28.33035
151, 74.25, 28.3547
152, 77.54, 30.16195
153, 78.9, 29.4765
154, 80.19, 28.666
155, 80.73, 28.9772
156, 82.16, 28.0298
157, 79.46, 29.19295
158, 80.11, 30.0806
159, 88.46, 29.72555
160, 96.79, 29.69895
161, 96.89, 29.47215
162, 98.05, 29.1128
163, 98.05, 28.92295
164, 98.05, 28.59245
165, 98.08, 27.15855
166, 96.5, 27.83925
167, 96.55, 27.48015
168, 96.66, 27.4619
169, 96.65, 26.06565
170, 96.64, 26.73085
171, 96.83, 26.3524
172, 96.88, 25.4689
173, 96.99, 25.5722
174, 98.81, 23.9668
175, 98.78, 23.6286
176, 93.49, 23.37265
177, 93.29, 23.2334
178, 88.26, 23.14195
179, 79.39, 23.1916
180, 79.44, 24.18
181, 69.94, 23.3399
182, 62.49, 23.74045
183, 60.3, 23.81975
184, 56.75, 24.0045
185, 55.42, 24.44845
186, 50.63, 23.9947
187, 46.13, 23.5696
188, 46.13, 23.8364
189, 40.76, 24.29515
190, 35.3, 24.3221
191, 26.91, 25.05295
192, 26.91, 25.1467
193, 26.91, 24.74715
194, 18.73, 24.7479
195, 25.88, 26.1458
196, 28.83, 26.16235
197, 12.59, 24.26495
198, 28.07, 22.81905
199, 32.11, 22.87835
200, 32.74, 22.1458
201, 43.93, 24.2569
202, 39.63, 22.50495
203, 47.37, 23.63855
204, 45.51, 23.4949
205, 45.23, 23.4929
206, 47.51, 24.02895
207, 52.39, 23.31805
208, 52.39, 23.4636
209, 52.72, 22.08335
210, 58.45, 22.79005
211, 63.48, 23.8459
212, 60.71, 22.61255
213, 67.32, 25.04755
214, 82.56, 27.8293
215, 81.9, 29.2325
216, 83.79, 31.04725
217, 89.3, 32.88085
218, 85.45, 33.14825
219, 85.45, 33.01585
220, 86.55, 29.94945
221, 91.36, 29.3426
222, 91.39, 30.96355
223, 92.02, 31.36995
224, 92.18, 32.6957
225, 95.44, 32.5781
226, 95.53, 32.3496
227, 95.54, 32.21175
228, 95.75, 30.64555
229, 93.39, 30.54605
230, 93.39, 30.58155
231, 93.39, 30.82285
232, 90.82, 30.43445
233, 92.94, 30.03465
234, 89.6, 28.70395
235, 91.72, 27.65435
236, 91.96, 28.22845
237, 91.96, 29.1542
238, 90.96, 29.9681
239, 90.94, 29.0657
240, 90.9, 27.1436
241, 91.29, 27.89025
242, 91.14, 28.2709
243, 88.35, 30.0321
244, 88.57, 30.233
245, 88.14, 31.0388
246, 91.5, 31.26685
247, 91.08, 30.4448
248, 91.32, 28.48605
249, 94.77, 28.88145
250, 94.9, 27.31655
251, 97.75, 27.3413
252, 97.84, 27.00075
253, 97.87, 26.0173
254, 97.65, 26.50195
255, 97.72, 26.42815
256, 97.62, 25.7171
257, 95.15, 27.4112
258, 94.8, 25.5461
259, 94.91, 24.9112
260, 94.08, 22.8703
261, 93.96, 22.5244
262, 91.88, 22.49335
263, 91.21, 21.637
264, 88.98, 21.2171
265, 88.98, 20.8856
266, 88.25, 19.9967
267, 88.25, 22.86415
268, 88.98, 22.485
269, 88.16, 21.8184
270, 69.62, 23.6035
271, 66.63, 23.4471
272, 65.34, 23.1943
273, 68.19, 26.99465
274, 65.43, 25.65675
275, 58.5, 26.72785
276, 54.14, 26.59675
277, 44.76, 28.79795
278, 37.72, 31.853
279, 41.23, 31.4987
280, 43.48, 30.9565
281, 47.11, 31.0241
282, 40.02, 31.81055
283, 35.95, 32.1734
284, 18.74, 31.13415
285, 16.47, 32.0439
286, 11.39, 33.3941
287, 31.25, 34.8841
288, 40.11, 33.669
289, 45.37, 32.9469
290, 44.24, 30.40415
291, 51.53, 30.2149
292, 60.4, 28.49465
293, 62.24, 29.34525
294, 73.98, 27.50295
295, 83.96, 24.1737
296, 83.64, 24.3891
297, 83.68, 24.236
298, 83.72, 23.40275
299, 85.14, 23.47585
300, 87.61, 22.90425
301, 97.39, 22.2921
302, 97.43, 23.56035
303, 96.26, 23.2976
304, 96.01, 21.1307
305, 94.04, 21.15875
306, 90.32, 20.6211
307, 89.55, 20.34825
308, 84.78, 19.4839
309, 84.06, 20.7542
310, 84.42, 20.0844
311, 80.83, 19.87775
312, 72.19, 20.3439
313, 75.87, 23.4388
314, 78.57, 24.0026
315, 75.97, 27.05005
316, 78.7, 28.30995
317, 77.1, 31.35315
318, 80.45, 31.54905
319, 79.23, 29.98815
320, 79.23, 30.10245
321, 79.98, 30.15155
322, 83.3, 30.36325
323, 87.37, 29.91175
324, 84.42, 29.60065
325, 88.37, 30.28565
326, 84.65, 29.95965
327, 84.7, 31.5953
328, 86.3, 31.5411
329, 89.57, 32.8733
330, 89.59, 33.5395
331, 88.7, 33.89325
332, 91.12, 33.3746
333, 90.53, 32.362
334, 90.78, 30.5998
335, 88.2, 30.42025
336, 88.6, 31.28495
337, 92.63, 29.9315
338, 92.6, 31.3616
339, 92.43, 31.79665
340, 92.43, 32.174
341, 95.76, 33.9588
342, 95.51, 33.5943
343, 98.43, 33.42
344, 98.48, 30.95945
345, 98.52, 30.8375
346, 95.66, 29.37485
347, 93.98, 27.36525
348, 94, 27.33265
349, 94.15, 25.76315
350, 94.4, 25.7571
351, 94.58, 25.73605
352, 96.29, 26.0238
353, 96.11, 25.27415
354, 79.18, 26.11525
355, 79.66, 25.885
356, 78.83, 24.8571
357, 66.36, 25.9051
358, 63.38, 23.4685
359, 60.53, 23.284
360, 61.58, 24.75775
361, 60, 25.53435
362, 58.88, 25.1935
363, 64.7, 25.29645
364, 68.87, 26.93625
365, 70.22, 26.78265
366, 68.79, 27.3418
367, 66.26, 27.7553
368, 63.02, 27.6269
369, 63.71, 27.12355
370, 62.1, 27.07905
371, 81.47, 28.3473
372, 80.39, 27.644
373, 78.57, 29.0237
374, 93.55, 27.5054
375, 91.98, 27.65995
376, 92.46, 27.69355
377, 89.82, 26.24245
378, 84.59, 25.6279
379, 85.14, 26.72335
380, 84.76, 26.9889
381, 83.84, 25.46145
382, 79.38, 27.61425
383, 80.92, 28.47985
384, 83.72, 27.7281
385, 83.83, 27.39535
386, 83.83, 27.63505
387, 85.88, 27.2657
388, 85.88, 27.9876
389, 86.59, 27.4038
390, 88.77, 26.0443
391, 88.51, 26.2428
392, 91.2, 26.4388
393, 90.78, 26.4093
394, 93.05, 25.9747
395, 93.05, 26.0417
396, 93.41, 25.64385
397, 93.41, 25.81445
398, 93.56, 25.4588
399, 95.71, 24.26835
400, 92.46, 23.21725
401, 92.16, 23.9902
402, 92.64, 26.98205
403, 92.01, 27.03935
404, 91.99, 27.54985
405, 91.56, 25.5575
406, 91.59, 27.42545
407, 90.15, 27.5706
408, 90.87, 27.406
409, 89.75, 27.25345
410, 92.3, 27.5792
411, 91.7, 28.31385
412, 95.48, 27.24435
413, 95.3, 26.7863
414, 94.95, 26.78015
415, 94.46, 26.3926
416, 94.42, 25.9443
417, 98.53, 27.18345
418, 98.59, 25.53165
419, 98.43, 22.48485
420, 96.89, 22.42695
421, 96.79, 21.87425
422, 94.47, 22.08085
423, 94.31, 20.64235
424, 96.17, 20.2451
425, 91.4, 19.43255
426, 92.17, 19.8055
427, 92.55, 18.5625
428, 93.14, 19.1915
429, 93.44, 21.21965
430, 93.41, 21.73155
431, 91.24, 23.2195
432, 91.87, 24.9151


