> 3B2 - Thermo
 %Min windows = 0% of gene
 Largest magnitude %Min = 6 at codon 68 
[codon window], [value], [random reverse translation average]
1, 94.18, 30.1462
2, 100, 29.76835
3, 100, 29.68115
4, 100, 28.93565
5, 95.68, 29.27985
6, 95.61, 29.4399
7, 95.61, 28.89455
8, 95.67, 30.1417
9, 91.32, 29.50855
10, 91.32, 29.816
11, 91.42, 30.6674
12, 91.07, 30.5659
13, 88.32, 29.8366
14, 84.12, 30.0526
15, 83.95, 30.4728
16, 82.95, 29.1683
17, 83.58, 29.8673
18, 83.62, 30.0352
19, 83.16, 31.50705
20, 82.25, 31.8151
21, 77.96, 32.8851
22, 83.92, 33.74175
23, 84.24, 33.64095
24, 84.24, 34.79045
25, 83.65, 34.4172
26, 89.32, 35.6859
27, 89.46, 33.951
28, 88.76, 32.2322
29, 89.15, 32.6798
30, 91.87, 32.29805
31, 94.61, 32.68235
32, 94.61, 31.03815
33, 90.42, 32.4178
34, 90.55, 33.17855
35, 90.52, 33.6102
36, 90.67, 33.79505
37, 90.67, 33.79505
38, 88.39, 33.19625
39, 81.88, 32.2758
40, 75.18, 31.7169
41, 74.77, 29.9159
42, 74.88, 29.2137
43, 72.81, 28.02755
44, 70.17, 28.04825
45, 71.75, 29.767
46, 69.8, 28.4736
47, 71.3, 28.4823
48, 73.75, 28.52245
49, 71.7, 28.821
50, 62.12, 27.56485
51, 62.22, 27.46385
52, 52.06, 26.38385
53, 38.93, 24.2935
54, 34.83, 24.71395
55, 34.83, 24.26875
56, 45.19, 27.03015
57, 50.87, 27.4805
58, 47.02, 27.602
59, 38.69, 28.13425
60, 39.62, 28.0266
61, 39.5, 27.9026
62, 31.82, 26.83105
63, 25.76, 26.8531
64, 19.84, 27.08315
65, 16.79, 26.33685
66, 11.78, 26.35355
67, 17.88, 25.636
68, 6.89, 23.71655
69, 9.33, 23.89365
70, 24.8, 22.2685
71, 30.1, 21.0405
72, 36.22, 24.5484
73, 19.98, 21.32315
74, 12.8, 21.6679
75, 19.4, 21.4289
76, 20.56, 22.1002
77, 27.09, 21.964
78, 27.26, 21.9095
79, 36.06, 21.6535
80, 41.99, 21.73845
81, 48.04, 24.3268
82, 61.54, 26.53725
83, 71.31, 27.7374
84, 74.1, 29.47165
85, 78.3, 30.8643
86, 78.92, 30.1187
87, 69.81, 33.01855
88, 71.63, 32.99535
89, 71.75, 31.82685
90, 77.96, 31.9462
91, 78.77, 31.7538
92, 78.77, 32.4455
93, 81.42, 31.1868
94, 80.11, 31.8861
95, 80.08, 31.98315
96, 78.57, 32.381
97, 78.3, 32.51555
98, 77.98, 32.2711
99, 78.03, 32.9971
100, 78.03, 34.22615
101, 77.21, 32.65735
102, 68.09, 31.38285
103, 69.66, 32.64255
104, 72.21, 31.21605
105, 72.21, 30.14845
106, 72.72, 29.256
107, 73.2, 28.30825
108, 81.29, 29.5507
109, 81.66, 30.9933
110, 87.67, 32.82545
111, 82.02, 32.28035
112, 76.19, 31.79115
113, 76.34, 31.5123
114, 68.37, 30.5117
115, 61.06, 30.027
116, 55.47, 28.3646
117, 53.51, 26.47645
118, 46.58, 26.2074
119, 52.87, 26.15995
120, 54.27, 25.6698
121, 57.38, 25.711
122, 57.24, 26.6169
123, 57.92, 28.63685
124, 58.05, 28.943
125, 48.59, 27.52155
126, 44.83, 25.5978
127, 39.37, 23.77495
128, 42.77, 24.19445
129, 49.29, 24.55635
130, 46.58, 24.826


