>hGCSF_Thermo 
 %Min windows = 0% of gene
 Largest magnitude %Min = 47 at codon 106 
[codon window], [value], [random reverse translation average]
1, 77.2, 26.45065
2, 73.5, 25.16685
3, 65.5, 25.25445
4, 57.53, 25.3217
5, 59.03, 26.14925
6, 55.97, 25.0051
7, 56.01, 25.4639
8, 54.16, 25.716
9, 52.62, 27.3137
10, 54.06, 26.55195
11, 56.15, 27.1499
12, 62.44, 28.7387
13, 59.39, 29.92275
14, 59.39, 30.0011
15, 67.98, 30.6457
16, 62.64, 30.38
17, 65.02, 30.0202
18, 65.02, 30.1292
19, 72.15, 30.5005
20, 79.06, 30.34305
21, 80.54, 29.82015
22, 78.93, 27.90975
23, 72.2, 29.0687
24, 66.35, 28.80435
25, 65.53, 28.67335
26, 63.22, 27.38875
27, 65.9, 27.5073
28, 63.58, 26.857
29, 58.02, 25.0725
30, 66.54, 25.2342
31, 63.04, 26.01995
32, 55.09, 25.13605
33, 66.43, 25.3672
34, 59.37, 25.446
35, 59.37, 25.01
36, 60.77, 24.65845
37, 60.91, 25.5529
38, 64.42, 25.7718
39, 66.67, 25.25725
40, 76.04, 23.8058
41, 81.99, 24.4935
42, 83.11, 24.9751
43, 81.71, 26.37065
44, 79.74, 26.1418
45, 81.2, 28.06145
46, 83.63, 29.2292
47, 84.39, 27.92535
48, 80.46, 27.831
49, 85.77, 28.0518
50, 84.6, 28.48955
51, 91.61, 29.5293
52, 91.34, 29.96045
53, 90.71, 30.4664
54, 82.61, 29.8475
55, 85.77, 29.09605
56, 85.25, 29.22165
57, 85.25, 28.88265
58, 85.42, 29.2502
59, 85.45, 29.9982
60, 86.94, 29.1183
61, 88.13, 29.16655
62, 83.28, 27.33365
63, 82.98, 25.74425
64, 82.98, 25.71465
65, 85.27, 25.76835
66, 80.23, 26.5669
67, 81.34, 27.6931
68, 82.19, 26.6631
69, 79.09, 26.90555
70, 80.39, 27.02925
71, 86.53, 26.79245
72, 79.55, 27.10845
73, 80.37, 28.94705
74, 80.37, 28.9124
75, 80.69, 27.56475
76, 79.91, 26.65955
77, 73.84, 27.60895
78, 73.84, 26.3148
79, 72.48, 26.128
80, 73.52, 27.5042
81, 72.72, 27.8647
82, 75.78, 27.54165
83, 80.05, 28.01955
84, 74, 26.58525
85, 74, 26.55555
86, 77.48, 27.7145
87, 76.39, 28.5463
88, 77.38, 29.0229
89, 83.84, 28.96335
90, 77.66, 27.5567
91, 76.69, 28.3213
92, 66.78, 27.43585
93, 66.78, 27.35425
94, 74.57, 25.84455
95, 66.72, 26.8245
96, 73.14, 27.2786
97, 73.44, 27.76795
98, 66.47, 27.1811
99, 62.26, 27.28055
100, 63.5, 27.45055
101, 69.57, 27.8148
102, 68.15, 27.8679
103, 60.53, 26.8242
104, 58.5, 25.8072
105, 57.45, 25.04105
106, 47.07, 24.6406
107, 52.69, 24.9621
108, 51.15, 24.6687
109, 60.96, 25.3058
110, 51.74, 24.852
111, 49.89, 25.88245
112, 56.32, 25.89855
113, 57.02, 26.98845
114, 55, 26.24205
115, 66.24, 27.89915
116, 59.9, 27.9935
117, 57.25, 26.24975
118, 54.46, 27.2339
119, 54.46, 27.7835
120, 62.09, 27.35575
121, 65.32, 28.6333
122, 67.4, 29.65035
123, 73.21, 30.409
124, 74.66, 30.6863
125, 76.13, 30.5446
126, 75.73, 30.94055
127, 86.21, 32.53625
128, 86.17, 31.84385
129, 87.31, 32.13595
130, 83.89, 31.4241
131, 83.55, 30.32305
132, 83.58, 30.9268
133, 85.75, 33.4596
134, 86.54, 34.90615
135, 88.94, 34.72715
136, 89.13, 35.26085
137, 89.56, 34.99335
138, 89.85, 33.1954
139, 89.73, 32.3542
140, 90.48, 32.57875
141, 90.63, 31.7266
142, 88.35, 31.94745
143, 89.23, 30.96125
144, 83.4, 30.2422
145, 83.4, 30.27905
146, 80.07, 29.73585
147, 83.65, 29.4744
148, 78.81, 29.09325
149, 70.06, 27.8653
150, 72.71, 25.97645
151, 70.69, 24.72405
152, 71.09, 25.1259
153, 63.59, 24.45375
154, 64.59, 24.6573
155, 64.08, 26.64515
156, 60.04, 26.81505
157, 60.73, 25.49995
158, 61.31, 27.0542
159, 63.78, 27.11605


