"[codon window], [value], [random reverse translation average]"
"1, 20.97, 30.9456"
"2, 28.96, 29.85895"
"3, 28.69, 29.88025"
"4, 35.3, 32.2408"
"5, 34.42, 32.383"
"6, 30.55, 32.03055"
"7, 39.58, 34.19125"
"8, 34.96, 32.7772"
"9, 35.53, 34.5425"
"10, 35.61, 35.8651"
"11, 33.92, 35.72325"
"12, 35.11, 35.68935"
"13, 29.26, 35.9498"
"14, 37.05, 35.5171"
"15, 27.7, 35.306"
"16, 21.86, 34.9406"
"17, 14.05, 33.23535"
"18, 21.87, 33.07015"
"19, 21.87, 33.58555"
"20, 13.9, 32.7025"
"21, 16.99, 31.6575"
"22, 17.54, 31.5066"
"23, 16.58, 30.81515"
"24, 5.77, 30.3144"
"25, -1.04, 30.4778"
"26, 0.88, 29.08375"
"27, 9.99, 26.9551"
"28, 8.33, 26.61445"
"29, 6.23, 26.6117"
"30, 6.43, 26.23425"
"31, -1.28, 26.31915"
"32, 11.57, 24.26605"
"33, 7.39, 26.35"
"34, 14.93, 25.4064"
"35, 14.93, 25.2251"
"36, 9.82, 26.20255"
"37, 25.52, 26.84295"
"38, 26.1, 26.5243"
"39, 34.7, 26.3049"
"40, 37.2, 26.61255"
"41, 45.35, 23.7585"
"42, 48.98, 23.28195"
"43, 48.93, 23.41625"
"44, 41.32, 24.03185"
"45, 40.65, 23.94705"
"46, 41.97, 23.95425"
"47, 35.93, 24.1176"
"48, 33.69, 23.6837"
"49, 19.75, 25.60065"
"50, 24.11, 23.4283"
"51, 23.81, 23.9203"
"52, 24.95, 23.7199"
"53, 30.02, 22.4524"
"54, 21.22, 22.781"
"55, 28.23, 25.3361"
"56, 11.1, 26.3899"
"57, 14.01, 25.60315"
"58, 6.78, 25.73555"
"59, 6.27, 25.2007"
"60, 2.32, 26.0636"
"61, 7.01, 26.4486"
"62, 6.35, 27.1704"
"63, 6.69, 28.5755"
"64, 4.46, 29.43845"
"65, 0.64, 30.7801"
"66, 12.15, 29.1947"
"67, 9.74, 29.91715"
"68, 5.73, 31.617"
"69, 5.84, 31.64665"
"70, 5.61, 32.3493"
"71, 6.58, 33.08595"
"72, 1.27, 31.1068"
"73, 7.02, 30.65135"
"74, 4.1, 31.5844"
"75, 8.34, 32.0761"
"76, 11.54, 33.06675"
"77, 13.49, 31.9564"
"78, 15.58, 32.9902"
"79, 13.15, 32.13185"
"80, 18.11, 30.7413"
"81, 25.19, 29.8671"
"82, 32.58, 28.4614"
"83, 18.23, 29.972"
"84, 25.78, 29.79795"
"85, 20.29, 27.32335"
"86, 8.37, 27.05915"
"87, -2.46, 27.5613"
"88, -3.38, 25.82295"
"89, -8.71, 26.9318"
"90, -17.14, 26.3582"
"91, -19.03, 26.34155"
"92, -21.28, 26.48335"
"93, -23.1, 26.44795"
"94, -29.4, 26.65915"
"95, -35.43, 25.42065"
"96, -33.15, 25.7395"
"97, -39.73, 25.376"
"98, -26.75, 27.7081"
"99, -15.1, 28.5636"
"100, -5.17, 27.7938"
"101, -1.97, 27.44265"
"102, 0.22, 27.83765"
"103, 11.3, 28.16905"
"104, 16.28, 26.74995"
"105, 17.32, 26.60535"
"106, 13.94, 28.11345"
"107, 34.79, 27.0347"
"108, 33.53, 26.80095"
"109, 41.98, 27.83535"
"110, 46.71, 28.15685"
"111, 58.55, 27.7334"
"112, 60.86, 27.30635"
"113, 54.78, 26.72375"
"114, 58.77, 26.669"
"115, 45.15, 25.6632"
"116, 35.65, 23.2208"
"117, 29.01, 23.19785"
"118, 24.35, 25.85885"
"119, 18.25, 25.8034"
"120, 24.77, 25.778"
"121, 23.63, 26.16915"
"122, 21.29, 26.3914"
"123, 19.74, 25.07815"
"124, 6.82, 27.09005"
"125, 9.21, 27.30075"
"126, 2.3, 25.9047"
"127, 2.85, 27.59785"
"128, -13.62, 28.4648"
"129, -18.12, 28.5288"
"130, -17.43, 29.5057"
"131, -7.91, 31.1884"
"132, -5.56, 30.07645"
"133, -3.13, 30.175"
"134, -7.3, 31.1938"
"135, -12.49, 30.14795"
"136, -4.17, 29.94995"
"137, -9.86, 31.3485"
"138, -14.57, 31.29825"
"139, -14.42, 31.29555"
"140, -8.51, 31.7739"
"141, -9.27, 31.4058"
"142, -10.66, 31.6665"
"143, -6.84, 33.18715"
"144, -6.52, 31.0111"
"145, -4.38, 30.6544"
"146, -4.38, 29.9942"
"147, -3.73, 30.0215"
"148, -26.26, 28.98045"
"149, -21.5, 28.58065"
"150, -15.49, 28.43665"
"151, -10.08, 29.28065"
"152, -1.53, 29.3083"
"153, -8.38, 30.0306"
"154, 0.3, 30.00535"
"155, -2.13, 29.70715"
"156, -13.13, 31.2266"
"157, -13.92, 31.02165"
"158, -17.32, 30.96255"
"159, -8.14, 31.6078"
"160, -15.94, 30.37315"
"161, -21.82, 32.3534"
"162, -3.88, 31.4244"
"163, 11.79, 31.78395"
"164, 7.11, 31.1948"
"165, 7.19, 29.3184"
"166, 0.78, 29.5076"
"167, -1.82, 29.4831"
"168, -1.49, 27.85965"
"169, -3.01, 27.01625"
"170, -3.07, 26.3323"
"171, -13.75, 25.2766"
"172, -21.62, 26.36825"
"173, -8.18, 25.96055"
"174, -7.89, 26.997"
"175, -3.87, 27.4369"
"176, -0.87, 26.80325"
"177, -3.34, 27.00005"
"178, -4.54, 26.32085"
"179, -17.9, 27.14905"
"180, -30.12, 26.8827"
"181, -26.02, 26.82105"
"182, -19.8, 26.6962"
"183, -20.95, 26.79565"
