[codon window]	 [value]	 [random reverse translation average]
1	36.49	26.51825
2	29.63	24.722
3	30.02	24.19595
4	40.12	26.05585
5	42.66	26.4134
6	52.44	27.9016
7	54.1	27.15485
8	62.97	26.16395
9	66.01	27.6364
10	75.46	25.87915
11	77.41	27.71475
12	80.57	27.7159
13	78.48	28.0673
14	78.48	27.90115
15	90.75	25.69155
16	90.78	26.43185
17	97.11	27.0962
18	98.43	28.93915
19	98.43	28.97715
20	98.45	29.15595
21	98.36	28.011
22	95.8	28.40285
23	95.8	27.89905
24	91.47	28.9856
25	91.86	28.0768
26	77.85	25.5
27	76.12	25.56625
28	73.98	22.9952
29	75.59	22.2721
30	79.13	22.7618
31	76.74	22.62225
32	76.05	22.7291
33	77.95	23.14
34	74.28	22.69415
35	74.44	20.5947
36	74.41	20.84995
37	75.96	21.0347
38	77.55	22.46095
39	80.44	22.24195
40	79.3	21.6743
41	83.83	21.4573
42	83.48	24.5453
43	95.24	25.16545
44	95.24	25.17665
45	95.13	25.31185
46	94.85	26.07325
47	90.66	25.78415
48	91.21	26.20025
49	92.21	25.53195
50	91.39	25.17815
51	95.23	25.7512
52	95.52	25.5036
53	95.52	25.27835
54	95.52	26.071
55	95.21	24.2547
56	91.61	24.2173
57	92.38	23.99415
58	91.79	24.53145
59	91.45	21.5859
60	91.94	22.1023
61	93.95	24.2097
62	94.24	24.4329
63	94.66	24.4565
64	97.52	26.096
65	97.41	25.42915
66	97.28	25.95805
67	95.79	25.9232
68	95.86	27.16195
69	95.52	27.03815
70	95.46	27.2497
71	95.52	27.8614
72	95.52	28.4834
73	98.41	29.01555
74	98.22	30.0731
75	98.37	30.8949
76	95.19	31.0234
77	94.93	31.24005
78	94.54	29.5187
79	91.6	31.05215
80	90.64	31.74115
81	90.64	31.79975
82	88.61	32.80555
83	88.1	32.60875
84	90.52	32.78455
85	89.46	30.7963
86	90.73	30.4171
87	91.16	29.989
88	90	28.60705
89	85.01	28.9147
90	85.56	27.977
91	86.08	27.44755
92	81.89	25.5096
93	87.75	27.9336
94	85.16	27.57115
95	87	28.3482
96	90.48	28.10915
97	91.33	30.50275
98	91.53	27.9439
99	93.71	28.42885
100	94.17	31.0963
101	91.95	31.86595
102	92.1	31.4987
103	91.81	31.8754
104	84.03	31.7235
105	85.16	30.86725
106	87.86	31.04765
107	85	31.6331
108	85.37	32.3671
109	87.68	33.03035
110	84.63	32.0404
111	85.83	32.00845
112	84.68	31.189
113	83.83	29.9166
114	82.56	27.7808
115	72.45	27.6772
116	71.71	27.2538
117	68.08	23.9295
118	73.99	22.71255
119	73.36	22.58945
120	66	22.2032
121	73.82	22.37795
122	47.38	22.15975
123	45.57	22.08565
124	50.83	21.0371
125	52.09	20.4504
126	24.78	20.9769
127	36.49	24.15685
128	42.98	26.52625
129	41.17	27.4087
130	44.55	29.2895
131	41.19	29.80065
132	44.24	30.1242
133	38.42	30.02195
134	44.26	30.7408
135	37.28	32.63065
136	38.56	32.3869
137	48.37	31.88725
138	55.27	31.1869
139	69.47	32.32025
140	71.34	32.2625
141	73.17	33.61295
142	68.25	33.7584
143	88.21	34.0002
144	86.97	32.5039
145	81.78	30.49825
146	61.66	31.4512
147	51.77	30.98805
148	53.83	30.8027
149	58.98	30.84415
150	55.14	30.4894
151	48.12	29.97075
152	48.21	28.57055
153	48.39	28.49165
154	24.44	30.4057
155	22.57	32.11205
156	24.75	32.2274
157	21.37	32.1525
158	8.93	32.54615
159	-0.36	33.9986
160	-11.07	32.69295
161	2.04	32.1819
162	14.43	31.14265
163	29.89	31.2114
164	31.79	30.2872
165	38.66	29.95855
166	37.12	29.8452
167	43.46	29.95625
168	51.06	28.6039
169	54.6	29.46275
170	54.69	29.2065
171	68.84	27.50145
172	68.44	27.5768
173	65.12	27.31085
174	70.04	28.4187
175	78.59	26.892
176	94.86	25.0428
177	95.21	26.1409
178	92.17	25.9227
179	91.55	26.74545
180	91.88	27.44565
181	95.05	27.2086
182	91.88	27.5424
183	91.69	27.6991
184	92.17	28.8064
185	91.9	29.611
186	92.03	28.5362
187	92.01	29.1816
188	89.18	29.5479
189	88.44	28.2932
190	91.88	30.252
191	91.36	28.87515
192	91.52	30.07155
193	91.67	31.0744
194	90.95	30.1439
195	90.95	30.0942
196	91.49	30.7828
197	90.59	29.5691
198	90.39	31.27295
199	94.03	31.1027
200	94.5	31.37325
201	94.51	32.39455
202	94.7	31.9802
203	94.51	32.16795
204	94.51	32.3116
205	97.46	32.7677
206	97.46	32.83825
207	97.4	32.61095
208	94.72	32.876
209	94.71	32.19745
210	94.38	31.92515
211	94.38	31.92865
212	97.39	32.3924
213	97.23	31.1403
214	97.43	31.2668
215	97.39	29.95665
216	94.46	29.68465
217	94.56	27.87325
218	94.48	25.2825
219	94.18	26.16305
220	93.92	25.95495
221	94.4	26.28165
222	94.19	25.58265
223	91.31	25.37625
224	91.52	24.0869
225	94.32	24.072
226	94.12	24.2729
227	87.76	23.70425
228	87.75	23.98595
229	86.62	23.06715
230	86.3	23.33605
231	80.82	23.65135
232	79.87	23.3205
233	85.11	22.7285
234	85.11	22.72765
235	84.27	22.7371
236	83.35	22.01255
237	84.45	24.1736
238	74.04	23.10815
239	73.23	22.54155
240	79.06	25.04445
241	79.39	26.40145
242	79.98	26.00875
243	81.09	25.7375
244	88.3	27.8639
245	88.33	27.3754
246	88.28	27.19325
247	89.01	28.03875
248	92.93	27.529
249	92.9	27.5417
250	92.05	28.74535
251	91.28	30.38135
252	91.33	30.52435
253	91.96	30.2202
254	75.09	28.6649
255	84.02	28.81375
256	71.88	28.99605
257	69.25	26.8892
258	69.92	24.5773
259	65.93	24.83425
260	62.37	23.707
261	54.62	21.3685
262	51.05	21.98715
263	52.59	22.18545
264	43.84	20.03315
265	47.27	21.9683
266	52.76	22.68965
267	58.39	23.4814
268	58.26	23.11365
269	53.99	23.08095
270	53.99	23.1026
271	68.27	22.7685
272	65.53	22.64145
273	82.04	22.7023
274	83.77	24.77995
275	81.97	24.7985
276	86.95	26.3752
277	86.95	26.4497
278	88.42	26.2431
279	91.7	25.6169
280	91.7	25.22885
281	95.05	25.7262
282	92.19	25.8936
283	91.99	27.465
284	91.13	26.4842
285	92.04	25.6181
286	95.82	26.85065
287	95.82	26.13975
288	96.28	25.1309
289	96.58	25.96615
290	96.63	26.6425
291	96.43	25.3157
292	96.37	25.65315
293	96.37	24.67265
294	96.37	24.77925
295	85.88	25.0174
296	85.58	25.1098
297	85.65	25.03135
298	75.34	24.9826
299	74.22	23.6697
300	69.21	22.3838
301	68.23	22.94525
302	62.37	23.32445
303	64.01	23.5358
304	62.03	23.59425
305	61.12	26.29765
306	53.02	24.7393
307	48.99	23.5211
308	52.12	23.874
309	52.12	23.9279
310	54.24	23.64595
311	57.05	26.20465
312	69.45	26.17835
313	69.4	26.3355
314	72.36	26.84865
315	84.59	26.92635
316	88.23	26.60685
317	89.85	26.51475
318	90.93	27.1623
319	93.5	29.37145
320	93.52	30.14675
321	93.37	30.58545
322	82.74	30.97715
323	86.38	30.8176
324	85.93	30.71005
325	71.45	32.1339
326	73.53	32.5531
327	72.54	33.0275
328	61.03	30.50635
329	48.35	30.08775
330	52.93	29.42015
331	52.2	30.99175
332	57.61	30.19325
333	59.69	31.04895
334	58.9	30.9124
335	57.8	31.2276
336	53.28	29.7992
337	50.51	28.236
338	52.67	28.6691
339	60.55	27.6345
340	63.03	27.8662
341	58.81	27.6522
342	64.55	26.84885
343	62.42	26.4193
344	60.01	26.557
345	60.56	28.0985
346	67.04	28.97135
347	48.05	31.1287
348	44.73	28.6089
349	41.11	30.2116
350	34.94	29.20795
351	39.74	29.07685
352	35.96	28.50205
353	37.99	28.59405
354	42.7	30.44525
355	35.71	29.5477
356	37.29	28.8562
357	28.35	28.9609
358	37.54	28.7012
359	42.88	27.94605
360	42.95	27.62395
361	43.1	26.9736
362	54.62	27.56345
363	53.02	24.6097
364	78.47	22.09035
365	78.31	22.5875
366	68.27	20.5144
367	70.3	22.69595
368	70.41	23.8786
369	68.5	23.6481
370	72.58	23.8982
371	72.02	22.46495
372	72.02	22.2001
373	61.34	22.56475
374	59.39	22.67635
375	58.06	23.48385
376	58.06	24.0289
377	63.19	23.69935
378	59.97	24.0141
379	58.72	21.9669
380	71.1	23.50505
381	57.05	24.62745
382	59.7	26.5825
383	59.7	26.9649
384	55.06	25.1737
385	49.97	24.1805
386	48.52	24.03455
387	42.28	23.09685
388	33.23	22.17855
389	45.48	24.6762
390	44.05	24.6378
391	38.24	24.4699
392	31.14	24.53185
393	35.7	25.8757
394	26.22	26.47975
395	32.78	26.5642
396	28.44	26.4033
397	23.7	25.99845
398	34.1	25.23525
399	32.17	25.1495
400	39.75	25.7032
401	46.26	26.5378
402	52.63	26.686
403	57.38	26.77835
404	58.28	28.43865
405	61.42	28.64855
406	62.1	27.52085
407	72.16	28.26375
408	82.01	27.89005
409	92.75	28.22505
410	92.6	27.203
411	94.68	28.41505
412	93.23	28.53295
413	96.39	28.71805
414	99	29.7903
415	96.39	29.9471
416	96.47	28.98295
417	96.61	29.6993
418	96.6	28.9943
419	96.41	28.83315
420	96.24	29.07315
421	93.71	27.9912
422	93.42	27.49405
423	90.35	28.0099
424	77.16	28.77775
425	77.16	29.55735
426	77.53	30.3274
427	72.25	30.31545
428	72.25	30.9216
429	73.51	31.1156
430	71.44	33.16175
431	68.56	32.1405
432	75.67	32.9301
433	73.96	33.41915
434	72.21	30.7977
435	66.32	31.85225
436	71.17	31.2728
437	64.67	30.08685
438	70.56	29.10585
439	62.8	29.0335
440	56.45	29.0544
441	64.6	27.76145
442	57.57	27.8937
443	58.44	27.06305
444	61.3	27.4264
445	60.65	24.93205
446	64.87	24.96695
447	63.29	23.52245
448	63.95	22.94815
449	57.95	21.04515
450	59.21	20.89815
451	57.69	23.2939
452	61.99	23.5823
453	60.64	23.0258
454	65.82	23.2702
455	66.36	25.2742
456	75.08	25.2147
457	86.37	25.37325
458	84.76	25.33245
459	91.53	25.63785
460	90.51	25.30975
461	77.59	25.01515
462	68.98	25.2785
463	67.56	25.05405
464	71.25	24.18005
465	72.73	24.66395
466	74.24	24.79895
467	75.18	27.2783
468	78.42	27.74145
469	77.89	29.3845
470	76.37	30.1219
471	75.78	29.8966
472	75.26	28.12505
473	64.5	30.0402
474	66.45	28.67055
475	69.92	28.8891
476	59.95	28.593
477	60.84	27.84585
478	65.33	27.88445
479	66.6	28.4076
480	64.31	28.6412
481	63.08	28.6729
482	59.66	29.65525
483	58.26	29.3913
484	55.18	27.4813
485	50.55	24.8912
486	47.29	22.613
487	52.44	24.7744
488	53.44	24.4854
489	52.53	24.29965
490	57.41	21.8437
491	54.19	22.91145
492	53	22.52
493	67.93	22.1647
494	70.69	24.88525
495	79.99	25.057
496	88.84	25.3063
497	85.43	25.44635
498	85.01	27.4149
499	73.49	25.1267
500	79.11	26.0904
501	79.11	25.64105
502	79.14	25.77245
503	79.77	26.0455
504	68.18	26.44455
505	60.21	27.38895
506	61.01	28.3816
507	60.78	28.1035
508	55	27.73915
509	47.97	27.95625
510	50.96	28.22685
511	50.96	28.2274
512	54.95	28.56215
513	55.07	27.58405
514	58.43	26.9563
515	60.58	26.152
516	71.03	27.2551
517	66.04	26.8801
518	65.26	27.33195
519	62.14	27.3379
520	63.15	28.2372
521	67.59	25.9466
522	77.09	27.21755
523	76.65	26.18285
524	76.65	26.34425
525	80.18	26.0923
526	87.55	26.23395
527	88.23	24.91735
528	83.97	23.27685
529	83.61	24.67245
530	83.61	24.7355
531	83.01	25.41165
532	81.27	25.8802
533	80.11	25.21785
534	84.06	24.99315
535	85.74	26.3974
536	90.27	28.1591
537	89.78	27.0137
538	93.68	26.6669
539	85.85	24.777
540	85.02	24.5988
541	88.58	25.0335
542	88.31	25.71415
543	84.22	25.02285
544	58.67	27.46255
545	63.64	26.96855
546	60.6	24.42865
547	51.96	24.54665
548	54.2	25.06575
549	55.84	25.8866
550	54.25	26.3216
551	54.25	26.17725
552	54.25	26.54535
553	49.43	23.7895
554	50.89	23.39895
555	50.89	26.2996
556	55.07	26.3793
557	50.33	26.81555
558	57.51	26.72655
559	61.27	26.47625
560	68.26	28.228
561	89.94	29.6536
562	90.4	29.9332
563	90.38	30.48665
564	94.11	31.3125
565	94.47	32.4649
566	94.74	31.308
567	95.05	31.70255
