> HSA Thermo
 %Min windows = 0% of gene
 Largest magnitude %Min = 6 at codon 381 
[codon window], [value], [random reverse translation average]
1, 56.13, 29.7671
2, 47.92, 27.8046
3, 50.88, 27.73335
4, 44.71, 29.43425
5, 33.08, 29.19545
6, 36.67, 29.73665
7, 48.16, 29.09515
8, 47.74, 27.9913
9, 54.01, 29.13065
10, 47.15, 27.5427
11, 53.91, 29.02695
12, 54.77, 28.9315
13, 60.63, 29.37935
14, 60.63, 29.0118
15, 56.66, 27.6281
16, 49.81, 28.0766
17, 48.83, 28.82345
18, 51.38, 29.8344
19, 51.38, 29.7558
20, 46.09, 29.252
21, 44.78, 27.402
22, 49.98, 27.14835
23, 49.98, 26.7135
24, 43.38, 26.94255
25, 56.85, 26.2978
26, 56.09, 24.908
27, 59.06, 24.9481
28, 46.65, 22.37
29, 49.95, 22.7242
30, 53.22, 23.27735
31, 39.31, 22.93955
32, 43.42, 22.27345
33, 44.85, 24.48485
34, 45, 23.9086
35, 45.34, 22.82955
36, 48.67, 23.2996
37, 59.33, 23.7308
38, 70.25, 26.0443
39, 65.36, 25.6027
40, 63.35, 25.3107
41, 65.86, 26.1819
42, 65.11, 28.75635
43, 55.77, 28.5396
44, 55.77, 28.56245
45, 62.24, 28.78595
46, 50.9, 27.9973
47, 47.82, 27.53495
48, 58.78, 27.5721
49, 52.63, 26.5409
50, 56.48, 24.9464
51, 58.86, 24.77395
52, 61.3, 23.8117
53, 58.44, 23.40555
54, 58.44, 25.37955
55, 47.01, 23.25975
56, 54.39, 23.7762
57, 58.58, 24.2351
58, 55.38, 23.70595
59, 53.52, 22.12715
60, 53.08, 22.56725
61, 47.85, 24.1607
62, 44.5, 24.19125
63, 55.28, 24.88575
64, 58.48, 25.99905
65, 56.75, 25.8478
66, 60.6, 26.8893
67, 62.44, 26.84195
68, 63.13, 27.82445
69, 60.03, 28.5457
70, 62.17, 28.85225
71, 62.7, 28.5837
72, 62.7, 28.74745
73, 62.63, 28.73545
74, 58.33, 29.5879
75, 61.87, 30.2322
76, 59.95, 29.6448
77, 67.95, 29.8379
78, 69.02, 28.0214
79, 76.1, 29.0109
80, 73.35, 29.33495
81, 73.35, 30.4601
82, 72.39, 30.9352
83, 70.65, 29.82445
84, 67.2, 30.15595
85, 59.23, 29.3085
86, 64.15, 28.11775
87, 56.46, 28.2149
